id,attr_time,attr_x,attr_y,attr_z
1,1435996968005,-9.6642,-1.65067,0.859924
2,1435996968025,-9.65944,-1.67886,0.864563
3,1435996968045,-9.65341,-1.67523,0.853531
4,1435996968063,-9.65544,-1.6973,0.842896
5,1435996968084,-9.65987,-1.6897,0.825745
6,1435996968104,-9.67444,-1.70901,0.85585
7,1435996968124,-9.65949,-1.69705,0.838364
8,1435996968144,-9.67563,-1.68016,0.846252
9,1435996968163,-9.67392,-1.66902,0.833115
10,1435996968183,-9.66847,-1.66324,0.843719
11,1435996968203,-9.67911,-1.6476,0.838486
12,1435996968223,-9.65167,-1.61765,0.839249
13,1435996968243,-9.63965,-1.58398,0.783173
14,1435996968262,-9.69884,-1.63364,0.804108
15,1435996968281,-9.69496,-1.62181,0.814087
16,1435996968302,-9.67619,-1.60861,0.867371
17,1435996968321,-9.62654,-1.64716,0.895538
18,1435996968342,-9.60506,-1.69069,0.869858
19,1435996968359,-9.63551,-1.69644,0.832794
20,1435996968380,-9.6913,-1.7074,0.864197
21,1435996968401,-9.68272,-1.69249,0.805038
22,1435996968420,-9.66151,-1.65965,0.812332
23,1435996968440,-9.62942,-1.67743,0.862762
24,1435996968480,-9.64444,-1.6615,0.897141
25,1435996968499,-9.68062,-1.68831,0.928253
26,1435996968519,-9.66518,-1.66214,0.890503
27,1435996968539,-9.67909,-1.66177,0.897934
28,1435996968558,-9.64357,-1.68437,0.895966
29,1435996968578,-9.64504,-1.68546,0.899582
30,1435996968598,-9.63876,-1.69542,0.817078
31,1435996968618,-9.65334,-1.70518,0.847473
32,1435996968637,-9.67793,-1.72299,0.865799
33,1435996968657,-9.65956,-1.71667,0.879562
34,1435996968677,-9.64828,-1.69075,0.883148
35,1435996968697,-9.64233,-1.67865,0.87413
36,1435996968716,-9.61441,-1.64444,0.876251
37,1435996968736,-9.66713,-1.6532,0.832901
38,1435996968756,-9.67038,-1.65204,0.80658
39,1435996968776,-9.69447,-1.61604,0.841232
40,1435996968796,-9.66367,-1.60033,0.825241
41,1435996968815,-9.68645,-1.64322,0.816162
42,1435996968835,-9.72046,-1.64064,0.87851
43,1435996968857,-9.63596,-1.60091,0.891388
44,1435996968875,-9.61406,-1.61993,0.853485
45,1435996968896,-9.59367,-1.63176,0.881516
46,1435996968915,-9.63567,-1.68057,0.846832
47,1435996968936,-9.68484,-1.68497,0.830582
48,1435996968957,-9.72142,-1.67795,0.812378
49,1435996968975,-9.69421,-1.68648,0.842819
50,1435996968994,-9.64877,-1.69417,0.878036
51,1435996969014,-9.62874,-1.67975,0.929932
52,1435996969035,-9.63968,-1.6725,0.825531
53,1435996969054,-9.6169,-1.64175,0.867371
54,1435996969074,-9.65479,-1.61549,0.851837
55,1435996969094,-9.65256,-1.63234,0.852875
56,1435996969113,-9.63541,-1.62082,0.870087
57,1435996969134,-9.66385,-1.60753,0.907776
58,1435996969153,-9.66296,-1.6221,0.88385
59,1435996969173,-9.67107,-1.63071,0.856781
60,1435996969191,-9.66638,-1.63133,0.828079
61,1435996969212,-9.67604,-1.63811,0.874405
62,1435996969231,-9.6526,-1.63696,0.828873
63,1435996969252,-9.66725,-1.58682,0.804932
64,1435996969272,-9.62802,-1.59004,0.847809
65,1435996969292,-9.64781,-1.61755,0.797256
66,1435996969311,-9.6393,-1.58263,0.8414
67,1435996969330,-9.62871,-1.54332,0.842819
68,1435996969351,-9.67122,-1.57518,0.744125
69,1435996969370,-9.72611,-1.58676,0.796249
70,1435996969390,-9.63672,-1.5386,0.789352
71,1435996969409,-9.5966,-1.52901,0.81842
72,1435996969430,-9.60388,-1.55765,0.781342
73,1435996969450,-9.62971,-1.55989,0.805222
74,1435996969470,-9.70863,-1.58803,0.802277
75,1435996969489,-9.78082,-1.59465,0.764481
76,1435996969507,-9.73264,-1.603,0.835526
77,1435996969529,-9.6731,-1.61075,0.886246
78,1435996969568,-9.62051,-1.62357,0.830139
79,1435996969587,-9.6456,-1.65761,0.86879
80,1435996969607,-9.61986,-1.64523,0.830017
81,1435996969628,-9.64114,-1.62712,0.853546
82,1435996969644,-9.65645,-1.64752,0.865128
83,1435996969666,-9.63399,-1.65146,0.854736
84,1435996969686,-9.66467,-1.63789,0.832886
85,1435996969706,-9.64134,-1.6274,0.841873
86,1435996969737,-9.64253,-1.60828,0.820633
87,1435996969754,-9.66809,-1.61284,0.797729
88,1435996969764,-9.6563,-1.6091,0.829361
89,1435996969783,-9.65626,-1.61772,0.822662
90,1435996969803,-9.6718,-1.6331,0.841873
91,1435996969823,-9.66914,-1.61682,0.845566
92,1435996969842,-9.68002,-1.61684,0.815948
93,1435996969863,-9.70915,-1.64563,0.842087
94,1435996969882,-9.70084,-1.61,0.847275
95,1435996969902,-9.69299,-1.60168,0.790802
96,1435996969922,-9.73018,-1.66623,0.788345
97,1435996969941,-9.67233,-1.65083,0.838013
98,1435996969961,-9.61658,-1.59486,0.847275
99,1435996969981,-9.61729,-1.59088,0.813965
100,1435996970001,-9.61748,-1.65248,0.881332
101,1435996970020,-9.64954,-1.66888,0.806839
102,1435996970040,-9.69801,-1.65617,0.8181
103,1435996970060,-9.70284,-1.66035,0.788528
104,1435996970080,-9.65395,-1.66853,0.838592
105,1435996970100,-9.63106,-1.6799,0.843475
106,1435996970119,-9.65712,-1.66588,0.854004
107,1435996970138,-9.66042,-1.67389,0.901505
108,1435996970159,-9.65761,-1.66804,0.910095
109,1435996970178,-9.65083,-1.68611,0.936508
110,1435996970198,-9.66374,-1.6859,0.899368
111,1435996970218,-9.66362,-1.70151,0.932663
112,1435996970238,-9.65681,-1.69681,0.882507
113,1435996970258,-9.65234,-1.72852,0.889145
114,1435996970277,-9.64108,-1.71896,0.853287
115,1435996970297,-9.63362,-1.75209,0.856491
116,1435996970316,-9.65555,-1.75381,0.808639
117,1435996970336,-9.63609,-1.7227,0.850601
118,1435996970356,-9.63934,-1.69794,0.830383
119,1435996970376,-9.62528,-1.6877,0.845779
120,1435996970396,-9.67329,-1.70427,0.837494
121,1435996970415,-9.68497,-1.64287,0.888016
122,1435996970435,-9.66092,-1.64005,0.814911
123,1435996970455,-9.68155,-1.60854,0.774734
124,1435996970475,-9.68694,-1.66386,0.851807
125,1435996970494,-9.64334,-1.66061,0.852814
126,1435996970534,-9.61008,-1.63268,0.853043
127,1435996970554,-9.59808,-1.66191,0.87709
128,1435996970573,-9.62059,-1.7057,0.845413
129,1435996970593,-9.67047,-1.6973,0.825821
130,1435996970613,-9.70488,-1.70865,0.814438
131,1435996970633,-9.70087,-1.69446,0.830765
132,1435996970653,-9.66771,-1.69318,0.817947
