id,attr_time,attr_x,attr_y,attr_z
1,1435996968006,-4.325125,8.66282,0.31244332
2,1435996968027,-4.313154,8.675988,0.28909984
3,1435996968049,-4.326921,8.726865,0.27952304
4,1435996968072,-4.317344,8.771756,0.24121583
5,1435996968087,-4.3478703,8.815451,0.19991584
6,1435996968108,-4.3478703,8.743625,0.24061728
7,1435996968150,-4.297592,8.713697,0.26994625
8,1435996968151,-4.27365,8.686164,0.30885202
9,1435996968166,-4.2676644,8.658031,0.31244332
10,1435996968186,-4.26946,8.670003,0.30166942
11,1435996968206,-4.2730513,8.738836,0.26635495
12,1435996968226,-4.270657,8.79091,0.24420857
13,1435996968252,-4.256891,8.778939,0.24001873
14,1435996968267,-4.2598834,8.800487,0.21308395
15,1435996968286,-4.2700586,8.768166,0.22804771
16,1435996968306,-4.268862,8.755595,0.26994625
17,1435996968328,-4.283227,8.718486,0.29987377
18,1435996968348,-4.280234,8.707711,0.29149407
19,1435996968453,-4.2940006,8.720282,0.29269117
20,1435996968454,-4.249708,8.748413,0.2777274
21,1435996968455,-4.2598834,8.747216,0.2789245
22,1435996968456,-4.2676644,8.772954,0.23642741
23,1435996968457,-4.284424,8.737639,0.25258827
24,1435996968486,-4.32333,8.729858,0.2705448
25,1435996968487,-4.325724,8.726865,0.25857377
26,1435996968506,-4.3197384,8.709507,0.2717419
27,1435996968526,-4.313154,8.69993,0.2813187
28,1435996968549,-4.3197384,8.704121,0.2825158
29,1435996968568,-4.2676644,8.701726,0.24779987
30,1435996968588,-4.2676644,8.689755,0.2645593
31,1435996968609,-4.308366,8.770559,0.23044191
32,1435996968629,-4.3580456,8.826823,0.2148796
33,1435996968648,-4.3556514,8.763975,0.24720132
34,1435996968667,-4.3167458,8.68796,0.32022446
35,1435996968688,-4.2742486,8.654441,0.3573346
36,1435996968711,-4.2742486,8.626907,0.35793316
37,1435996968731,-4.2754455,8.667608,0.3357868
38,1435996968751,-4.2880154,8.726865,0.2861071
39,1435996968769,-4.296395,8.780735,0.22685061
40,1435996968788,-4.307169,8.7609825,0.20350714
41,1435996968808,-4.337096,8.755595,0.23163901
42,1435996968828,-4.3646297,8.732851,0.23403321
43,1435996968848,-4.4113164,8.705916,0.27114335
44,1435996968910,-4.3897686,8.674791,0.28670564
45,1435996968911,-4.3700166,8.674192,0.30406362
46,1435996968912,-4.3520603,8.677185,0.29209262
47,1435996968930,-4.3263226,8.71669,0.25318682
48,1435996968954,-4.3119574,8.716091,0.24959552
49,1435996968966,-4.3209357,8.723274,0.24720132
50,1435996968989,-4.345476,8.746018,0.26635495
51,1435996969007,-4.348469,8.734647,0.25737667
52,1435996969029,-4.334702,8.698134,0.2705448
53,1435996969048,-4.3448777,8.72088,0.28491
54,1435996969075,-4.3275194,8.67958,0.2645593
55,1435996969087,-4.325125,8.701726,0.26396075
56,1435996969107,-4.348469,8.710705,0.26755205
57,1435996969137,-4.322731,8.707711,0.2645593
58,1435996969147,-4.3526587,8.736442,0.23463176
59,1435996969170,-4.4023385,8.783129,0.207697
60,1435996969189,-4.429273,8.781932,0.21068975
61,1435996969209,-4.353257,8.660426,0.2693477
62,1435996969230,-4.3221326,8.593389,0.29628247
63,1435996969251,-4.3436804,8.6257105,0.31184477
64,1435996969271,-4.3664255,8.63828,0.29448682
65,1435996969291,-4.39755,8.690353,0.28550854
66,1435996969307,-4.4035354,8.735245,0.24121583
67,1435996969328,-4.36044,8.74123,0.2220622
68,1435996969347,-4.361637,8.723872,0.23762453
69,1435996969370,-4.338892,8.731653,0.23403321
70,1435996969404,-4.3622355,8.705916,0.23942018
71,1435996969430,-4.35625,8.656835,0.2645593
72,1435996969431,-4.370615,8.678981,0.2777274
73,1435996969467,-4.381389,8.662222,0.2908955
74,1435996969468,-4.3927617,8.682572,0.2717419
75,1435996969489,-4.365228,8.701726,0.25737667
76,1435996969510,-4.3795934,8.684967,0.2621651
77,1435996969527,-4.3861775,8.710106,0.24899697
78,1435996969547,-4.406528,8.671799,0.26396075
79,1435996969570,-4.4179006,8.6813755,0.27712885
80,1435996969589,-4.441244,8.670003,0.272939
81,1435996969637,-4.413112,8.659229,0.2885013
82,1435996969638,-4.441244,8.641871,0.28909984
83,1435996969649,-4.441244,8.646061,0.29388827
84,1435996969670,-4.4328647,8.6496525,0.2825158
85,1435996969690,-4.3915644,8.63828,0.30765492
86,1435996969710,-4.429273,8.743625,0.25857377
87,1435996969729,-4.4478283,8.751406,0.25617957
