id,attr_time,attr_x,attr_y,attr_z
1,1435996968008,0.17417817,9.889849,2.0649989
2,1435996968027,0.1933318,9.874287,2.070386
3,1435996968047,0.18136078,9.883265,2.078167
4,1435996968067,0.207697,9.873688,2.0805612
5,1435996968088,0.18614918,9.880272,2.0709844
6,1435996968109,0.18435353,9.882666,2.0811598
7,1435996968129,0.19273324,9.866506,2.0548236
8,1435996968148,0.17896658,9.894637,2.0620062
9,1435996968181,0.18555063,9.8754835,2.0416555
10,1435996968259,0.20051439,9.869498,2.0679917
11,1435996968260,0.19812019,9.881469,2.0775685
12,1435996968261,0.1921347,9.87668,2.0560207
13,1435996968262,0.19033903,9.877279,2.0841527
14,1435996968294,0.1933318,9.883863,2.0757728
15,1435996968295,0.18974048,9.861717,2.0817583
16,1435996968377,0.18974048,9.870096,2.0482395
17,1435996968378,0.20590134,9.883863,2.0811598
18,1435996968379,0.19153613,9.876082,2.0811598
19,1435996968380,0.18614918,9.886257,2.0649989
20,1435996968396,0.18435353,9.8683,2.0524294
21,1435996968408,0.18794483,9.890448,2.0632033
22,1435996968433,0.19512744,9.885659,2.0362685
23,1435996968448,0.18435353,9.8916445,2.071583
24,1435996968468,0.19692309,9.884461,2.0626047
25,1435996968488,0.18255788,9.8916445,2.0733786
26,1435996968509,0.20530279,9.883265,2.079364
27,1435996968528,0.20171149,9.898827,2.067393
28,1435996968548,0.17537527,9.891046,2.0404584
29,1435996968570,0.18076223,9.883265,2.0572178
30,1435996968589,0.20709845,9.880871,2.0638018
31,1435996968608,0.19931729,9.876082,2.0679917
32,1435996968630,0.18495208,9.883265,2.0602105
33,1435996968650,0.18974048,9.888652,2.067393
34,1435996968668,0.17836803,9.895834,2.0626047
35,1435996968689,0.18974048,9.888053,2.067393
36,1435996968711,0.20051439,9.8916445,2.054225
37,1435996968731,0.19931729,9.879673,2.0560207
38,1435996968750,0.19692309,9.88925,2.0566192
39,1435996968769,0.19812019,9.874885,2.0572178
40,1435996968789,0.20350714,9.891046,2.0638018
41,1435996968810,0.19692309,9.891046,2.0685902
42,1435996968831,0.18076223,9.887454,2.059612
43,1435996968848,0.18674773,9.881469,2.0649989
44,1435996968869,0.19871874,9.861717,2.0739772
45,1435996968889,0.20530279,9.886257,2.0638018
46,1435996968909,0.1945289,9.877877,2.046444
47,1435996968937,0.1921347,9.884461,2.046444
48,1435996968991,0.18375498,9.879075,2.0482395
49,1435996968992,0.19093758,9.901221,2.0482395
50,1435996968993,0.1933318,9.882068,2.0392613
51,1435996969010,0.19692309,9.888652,2.0572178
52,1435996969080,0.21068975,9.890448,2.0709844
53,1435996969081,0.18315643,9.874885,2.066196
54,1435996969082,0.20171149,9.8754835,2.067393
55,1435996969098,0.19512744,9.880272,2.0524294
56,1435996969110,0.18974048,9.877877,2.0745757
57,1435996969135,0.18614918,9.864111,2.0632033
58,1435996969149,0.19033903,9.889849,2.0769699
59,1435996969173,0.19393034,9.898827,2.067393
60,1435996969189,0.16639702,9.877877,2.055422
61,1435996969211,0.18974048,9.895834,2.0410569
62,1435996969229,0.19393034,9.885659,2.0536265
63,1435996969248,0.18974048,9.881469,2.070386
64,1435996969268,0.1945289,9.881469,2.0721815
65,1435996969289,0.2208651,9.886257,2.079364
66,1435996969309,0.19512744,9.889849,2.106299
67,1435996969331,0.19572599,9.888652,2.0644004
68,1435996969351,0.20231004,9.897031,2.0590134
69,1435996969374,0.17836803,9.871294,2.0506337
70,1435996969391,0.18136078,9.886257,2.058415
71,1435996969414,0.20290859,9.884461,2.083554
72,1435996969429,0.19812019,9.87668,2.0709844
73,1435996969454,0.18854338,9.873688,2.0853498
74,1435996969471,0.18076223,9.877877,2.0769699
75,1435996969488,0.18734628,9.88925,2.070386
76,1435996969508,0.19033903,9.871294,2.0745757
77,1435996969529,0.19093758,9.877877,2.0638018
78,1435996969555,0.20590134,9.880272,2.083554
79,1435996969569,0.17298107,9.883863,2.059612
80,1435996969589,0.17417817,9.897031,2.034473
81,1435996969610,0.18375498,9.882068,2.0518308
