id,attr_time,attr_x,attr_y,attr_z
1,1435996968020,-0.7182605,9.26556,2.0482395
2,1435996968069,-0.7224504,9.267356,2.0278888
3,1435996968070,-0.7445967,9.279925,2.0428526
4,1435996968089,-0.7386112,9.271546,2.0500352
5,1435996968115,-0.74399817,9.272743,2.0524294
6,1435996968120,-0.75118077,9.285313,2.0452468
7,1435996968140,-0.74639237,9.282919,2.0518308
8,1435996968160,-0.729633,9.282919,2.0667946
9,1435996968181,-0.7350199,9.270349,2.0572178
10,1435996968222,-0.75477207,9.276335,2.0512323
11,1435996968223,-0.7320272,9.320028,2.0362685
12,1435996968242,-0.7260417,9.284714,2.0410569
13,1435996968260,-0.7529764,9.258977,2.0404584
14,1435996968281,-0.7428011,9.276335,2.0518308
15,1435996968300,-0.7649474,9.267356,2.079364
16,1435996968320,-0.75357497,9.288305,2.0494366
17,1435996968340,-0.7433996,9.285912,2.0566192
18,1435996968366,-0.74998367,9.271546,2.042254
19,1435996968382,-0.748188,9.266758,2.03567
20,1435996968406,-0.7577648,9.267356,2.0524294
21,1435996968422,-0.7493851,9.261371,2.0410569
22,1435996968441,-0.7398083,9.281123,2.0446482
23,1435996968461,-0.7170634,9.287707,2.0590134
24,1435996968481,-0.7206547,9.295488,2.0697873
25,1435996968501,-0.7302315,9.278131,2.0494366
26,1435996968520,-0.7272388,9.27394,2.0626047
27,1435996968606,-0.74758947,9.26556,2.058415
28,1435996968607,-0.74758947,9.274539,2.0685902
29,1435996968608,-0.75237787,9.282919,2.054225
30,1435996968609,-0.7613561,9.266758,2.054225
31,1435996968639,-0.748188,9.274539,2.059612
32,1435996968640,-0.76434886,9.26556,2.0638018
33,1435996968660,-0.7422025,9.296685,2.0644004
34,1435996968680,-0.7517793,9.252393,2.066196
35,1435996968701,-0.7529764,9.241618,2.0787656
36,1435996968810,-0.7320272,9.272743,2.0524294
37,1435996968811,-0.7302315,9.290101,2.0458453
38,1435996968812,-0.7374141,9.258378,2.055422
39,1435996968813,-0.7422025,9.26197,2.0638018
40,1435996968814,-0.7445967,9.287108,2.0386627
41,1435996968824,-0.7703344,9.272743,2.0667946
42,1435996968842,-0.7781156,9.282919,2.0380642
43,1435996968865,-0.777517,9.282919,2.0614076
44,1435996968885,-0.7541735,9.26556,2.0644004
45,1435996968906,-0.7445967,9.266758,2.0488381
46,1435996968924,-0.74639237,9.267356,2.0512323
47,1435996968941,-0.74399817,9.269152,2.0608091
48,1435996968962,-0.74758947,9.252393,2.0602105
49,1435996968982,-0.7757214,9.272743,2.0470424
50,1435996969006,-0.7541735,9.275137,2.0500352
51,1435996969026,-0.7469909,9.259575,2.0374656
52,1435996969046,-0.748188,9.272144,2.0398598
53,1435996969063,-0.75477207,9.258378,2.0350714
54,1435996969086,-0.7613561,9.272743,2.0644004
55,1435996969180,-0.7673417,9.276335,2.0512323
56,1435996969181,-0.7613561,9.280524,2.0219033
57,1435996969182,-0.7649474,9.271546,2.0231004
58,1435996969183,-0.76315176,9.279925,2.0518308
59,1435996969184,-0.748188,9.292496,2.0428526
