id,attr_time,attr_x,attr_y,attr_z
1,1435996968008,0.5650316,10.180744,0.40462008
2,1435996968028,0.5781997,10.162787,0.41359833
3,1435996968051,0.5410896,10.187328,0.40880993
4,1435996968071,0.49200845,10.211869,0.41240123
5,1435996968088,0.48961425,10.16578,0.37110126
6,1435996968108,0.59256494,10.213664,0.4141969
7,1435996968129,0.5686229,10.26933,0.45789108
8,1435996968149,0.52971715,10.224439,0.427365
9,1435996968169,0.60573304,10.166379,0.38367084
10,1435996968195,0.62009823,10.118495,0.40282443
11,1435996968245,0.5722142,10.155605,0.39145198
12,1435996968246,0.55006784,10.213066,0.3842694
13,1435996968248,0.5327099,10.275315,0.40761283
14,1435996968277,0.5315128,10.247183,0.39923313
15,1435996968304,0.53809685,10.213066,0.4213795
16,1435996968309,0.53091425,10.19092,0.41000703
17,1435996968328,0.5243302,10.19092,0.41000703
18,1435996968349,0.5303157,10.19092,0.41060558
19,1435996968370,0.5201403,10.19451,0.43394905
20,1435996968388,0.49559975,10.1861315,0.41718966
21,1435996968417,0.50876784,10.208876,0.40940848
22,1435996968433,0.51714754,10.19451,0.42078096
23,1435996968452,0.5033809,10.171766,0.43275195
24,1435996968470,0.4938041,10.189124,0.42437226
25,1435996968487,0.50278234,10.205285,0.41838676
26,1435996968509,0.5117606,10.209475,0.39983168
27,1435996968532,0.52732295,10.196306,0.41599256
28,1435996968548,0.58119243,10.196306,0.41479546
29,1435996968569,0.57640404,10.177153,0.42916065
30,1435996968593,0.50996494,10.20289,0.39923313
31,1435996968612,0.46806642,10.187328,0.38367084
32,1435996968632,0.5793968,10.1226845,0.42916065
33,1435996968651,0.6183026,10.228628,0.42796355
34,1435996968673,0.52133745,10.236409,0.4285621
35,1435996968690,0.55006784,10.20289,0.4321534
36,1435996968708,0.57400984,10.144233,0.40342298
37,1435996968729,0.5662287,10.125677,0.39564183
38,1435996968748,0.54887074,10.1382475,0.38606504
39,1435996968770,0.5105635,10.187927,0.39923313
40,1435996968793,0.4782418,10.222643,0.41000703
41,1435996968813,0.5117606,10.222643,0.44592008
42,1435996968829,0.521936,10.220847,0.4405331
43,1435996968849,0.51954174,10.201694,0.44771573
44,1435996968873,0.4985925,10.2178545,0.4369418
45,1435996968891,0.5021838,10.188525,0.46686932
46,1435996968911,0.51235914,10.193314,0.46447513
47,1435996968933,0.46567222,10.216658,0.45190558
48,1435996968952,0.45429978,10.216059,0.46327803
49,1435996968983,0.46746787,10.196905,0.45370123
50,1435996968992,0.45549688,10.207679,0.46088383
51,1435996969026,0.47524905,10.225636,0.4141969
52,1435996969029,0.48123455,10.237008,0.45070848
53,1435996969049,0.4782418,10.220248,0.43993455
54,1435996969069,0.52971715,10.186729,0.40821138
55,1435996969151,0.5303157,10.153211,0.40761283
56,1435996969152,0.54408234,10.1861315,0.4189853
57,1435996969153,0.50996494,10.201095,0.42078096
58,1435996969180,0.42197806,10.214862,0.3824737
59,1435996969181,0.427365,10.192716,0.38307226
60,1435996969211,0.55964464,10.192117,0.45429978
61,1435996969212,0.54527944,10.271724,0.44891283
62,1435996969250,0.47465047,10.220847,0.40043023
63,1435996969251,0.5201403,10.151415,0.39803603
64,1435996969269,0.55365914,10.119094,0.40462008
65,1435996969292,0.4914099,10.125079,0.4165911
66,1435996969309,0.46327803,10.180145,0.38845924
67,1435996969329,0.46267948,10.22384,0.40342298
68,1435996969353,0.4914099,10.248381,0.4417302
69,1435996969369,0.50517654,10.238804,0.4357447
70,1435996969392,0.50637364,10.198102,0.4309563
71,1435996969412,0.50038815,10.170568,0.44113165
72,1435996969432,0.48003745,10.173561,0.45130703
73,1435996969450,0.46267948,10.186729,0.4429273
74,1435996969471,0.43634325,10.192716,0.4201824
75,1435996969493,0.44891283,10.192716,0.4141969
76,1435996969513,0.47225627,10.190321,0.4333505
77,1435996969533,0.49320555,10.198102,0.4177882
78,1435996969551,0.5057751,10.22384,0.4141969
79,1435996969571,0.53689975,10.199898,0.42796355
80,1435996969593,0.5398925,10.209475,0.43155485
81,1435996969609,0.5129577,10.195708,0.40761283
82,1435996969629,0.5231331,10.184934,0.3878607
83,1435996969649,0.5129577,10.147225,0.40162733
84,1435996969669,0.5566519,10.16578,0.40342298
85,1435996969691,0.504578,10.142437,0.34596214
86,1435996969712,0.45669398,10.121488,0.36272156
87,1435996969733,0.5626374,10.14124,0.41359833
88,1435996969750,0.62009823,10.248381,0.3573346
89,1435996969770,0.51834464,10.208278,0.35553896
90,1435996969791,0.53450555,10.135853,0.38965634
91,1435996969814,0.60094464,10.102334,0.39683893
92,1435996969834,0.581791,10.099341,0.38187516
93,1435996969851,0.5650316,10.166379,0.3842694
94,1435996969870,0.6063316,10.241198,0.37469256
95,1435996969891,0.5847838,10.275913,0.40641573
96,1435996969911,0.5931635,10.26933,0.427365
97,1435996969931,0.60812724,10.1861315,0.4369418
98,1435996969955,0.5470751,10.196306,0.4249708
99,1435996969972,0.516549,10.160992,0.40162733
100,1435996969991,0.50278234,10.160992,0.42676646
101,1435996970016,0.51235914,10.180744,0.4285621
102,1435996970086,0.52732295,10.1939125,0.40701428
103,1435996970087,0.516549,10.20289,0.4201824
104,1435996970088,0.52492875,10.192716,0.41718966
