id,attr_time,attr_x,attr_y,attr_z
1,1435996968006,8.102577,-0.20410569,5.543774
2,1435996968026,8.104971,-0.11492168,5.5288105
3,1435996968046,8.114548,-0.0688333,5.419874
4,1435996968066,8.124723,-0.06344634,5.42167
5,1435996968086,8.128913,-0.14784196,5.497087
6,1435996968107,8.147469,-0.16938977,5.5743003
7,1435996968129,8.164826,-0.14784196,5.527613
8,1435996968149,8.12233,-0.13227965,5.524022
9,1435996968167,8.108562,-0.12090719,5.511452
10,1435996968188,8.113351,-0.12090719,5.5102553
11,1435996968208,8.14687,-0.1316811,5.531803
12,1435996968229,8.179192,-0.1412579,5.551555
13,1435996968249,8.156446,-0.1400608,5.542577
14,1435996968268,8.124723,-0.1400608,5.544971
15,1435996968288,8.130709,-0.1364695,5.54138
16,1435996968308,8.116942,-0.1376666,5.525219
17,1435996968327,8.139688,-0.11791443,5.559935
18,1435996968383,8.149264,-0.1376666,5.573103
19,1435996968384,8.157643,-0.13467385,5.568913
20,1435996968388,8.154651,-0.15741876,5.5222263
21,1435996968408,8.188768,-0.12749124,5.5120506
22,1435996968426,8.175002,-0.12030864,5.493496
23,1435996968448,8.139688,-0.13347675,5.522825
24,1435996968465,8.122928,-0.1388637,5.479729
25,1435996968486,8.109161,-0.14903906,5.4617724
26,1435996968505,8.208521,-0.12210429,5.490503
27,1435996968526,8.225879,-0.090979666,5.480926
28,1435996968546,8.158841,-0.16340427,5.4881086
29,1435996968566,8.147469,-0.15622166,5.519832
30,1435996968587,8.106767,-0.09995792,5.473145
31,1435996968609,8.097789,-0.08259996,5.4007206
32,1435996968629,8.177995,-0.12808979,5.4264584
33,1435996968649,8.185177,-0.15023616,5.483919
34,1435996968667,8.1881695,-0.12210429,5.513248
35,1435996968687,8.167819,-0.11492168,5.490503
36,1435996968708,8.1343,-0.12150574,5.489306
37,1435996968729,8.131308,-0.11432313,5.481525
38,1435996968749,8.161834,-0.10175357,5.4821234
39,1435996968806,8.194754,-0.12629414,5.5096564
40,1435996968807,8.191761,-0.13347675,5.523423
41,1435996968808,8.18398,-0.12210429,5.4342394
42,1435996968829,8.140884,-0.12030864,5.3833623
43,1435996968848,8.139089,-0.13227965,5.41748
44,1435996968872,8.16363,-0.1364695,5.427655
45,1435996968889,8.164826,-0.12270284,5.4162827
46,1435996968908,8.179192,-0.12389994,5.439626
47,1435996968928,8.180987,-0.13826515,5.441422
48,1435996968948,8.2276745,-0.12808979,5.42167
49,1435996968969,8.203134,-0.1388637,5.4168816
50,1435996969024,8.200141,-0.12988544,5.4091
51,1435996969025,8.186973,-0.13587095,5.393538
52,1435996969028,8.1720085,-0.13227965,5.3737855
53,1435996969046,8.221688,-0.12509704,5.433641
54,1435996969066,8.286931,-0.090381116,5.4486046
55,1435996969086,8.252813,-0.14724341,5.3678
56,1435996969106,8.1163435,-0.16460137,5.2582655
57,1435996969126,8.088212,-0.12210429,5.3558292
58,1435996969150,8.170214,-0.09636662,5.271434
59,1435996969170,8.219295,-0.13706805,5.2444987
60,1435996969187,8.236652,-0.16579847,5.357625
61,1435996969209,8.248025,-0.14903906,5.480926
62,1435996969227,8.227076,-0.13946225,5.510854
63,1435996969249,8.19236,-0.15083471,5.4138885
64,1435996969270,8.19236,-0.13347675,5.3983264
65,1435996969288,8.189965,-0.12330139,5.3857565
66,1435996969309,8.210316,-0.1412579,5.422867
67,1435996969328,8.24204,-0.17118542,5.5312047
68,1435996969350,8.189367,-0.15083471,5.465364
69,1435996969370,8.202535,-0.12090719,5.4605756
70,1435996969389,8.169016,-0.15023616,5.4168816
71,1435996969407,8.16722,-0.1448492,5.4043117
72,1435996969427,8.171411,-0.12629414,5.3678
73,1435996969452,8.186374,-0.12808979,5.348048
74,1435996969473,8.143278,-0.14963761,5.3558292
75,1435996969500,8.15525,-0.15083471,5.3863554
76,1435996969511,8.196549,-0.12689269,5.3941364
77,1435996969527,8.236652,-0.09995792,5.466561
78,1435996969547,8.224682,-0.12868834,5.5204306
79,1435996969568,8.209718,-0.1388637,5.4917
80,1435996969596,8.196549,-0.14724341,5.4964886
81,1435996969650,8.274361,-0.11731588,5.530606
82,1435996969651,8.293514,-0.12330139,5.530606
83,1435996969653,8.209718,-0.15562311,5.485116
84,1435996969673,8.177396,-0.15622166,5.48332
85,1435996969689,8.142081,-0.15741876,5.4671597
86,1435996969706,8.115746,-0.079008654,5.389348
87,1435996969728,8.112154,-0.11312603,5.4168816
88,1435996969748,8.098986,-0.18794483,5.5527525
89,1435996969769,8.15106,-0.16639702,5.5826797
90,1435996969787,8.180987,-0.12689269,5.5910597
91,1435996969833,8.165425,-0.12330139,5.542577
92,1435996969834,8.152257,-0.12689269,5.4887075
93,1435996969857,8.126519,-0.12449849,5.4659624
94,1435996969868,8.1642275,-0.14185645,5.502474
95,1435996969887,8.14687,-0.14844051,5.5258174
96,1435996969918,8.132504,-0.13467385,5.5270147
97,1435996969927,8.110358,-0.11432313,5.5222263
98,1435996969947,8.119935,-0.12988544,5.5377884
99,1435996969966,8.098986,-0.13946225,5.525219
100,1435996969987,8.104971,-0.11192893,5.5180364
101,1435996970007,8.115746,-0.12090719,5.551555
102,1435996970032,8.10557,-0.11372458,5.530606
103,1435996970050,8.133103,-0.12449849,5.5312047
104,1435996970071,8.133701,-0.11252748,5.549161
105,1435996970100,8.126519,-0.10354923,5.531803
106,1435996970110,8.108562,-0.092775315,5.5509567
107,1435996970130,8.087015,-0.12330139,5.555745
108,1435996970147,8.120534,-0.12030864,5.5461683
109,1435996970172,8.193557,-0.08559271,5.580884
110,1435996970189,8.117541,-0.1352724,5.5324016
111,1435996970209,8.085817,-0.20350714,5.5623293
112,1435996970229,8.098986,-0.1448492,5.590461
113,1435996970255,8.096592,-0.10055647,5.5467668
114,1435996970315,8.106169,-0.037110128,5.427655
115,1435996970316,8.095394,-0.13826515,5.448006
116,1435996970317,8.10557,-0.15502456,5.559336
117,1435996970334,8.139089,-0.12270284,5.5922565
118,1435996970347,8.145074,-0.10534488,5.5581393
119,1435996970367,8.112154,-0.12150574,5.5485625
120,1435996970392,8.106169,-0.12090719,5.509058
121,1435996970408,8.119935,-0.11911154,5.517438
122,1435996970431,8.134899,-0.14784196,5.575497
123,1435996970452,8.157643,-0.1400608,5.5826797
124,1435996970473,8.100183,-0.12090719,5.5407815
125,1435996970491,8.096592,-0.09876082,5.5246205
126,1435996970513,8.113351,-0.10235212,5.5258174
127,1435996970531,8.123527,-0.093972415,5.547365
128,1435996970551,8.121731,-0.08559271,5.530606
129,1435996970572,8.123527,-0.110731825,5.5246205
130,1435996970591,8.130709,-0.12270284,5.5324016
131,1435996970611,8.151658,-0.13108255,5.544971
132,1435996970632,8.150461,-0.1316811,5.5467668
133,1435996970649,8.150461,-0.12150574,5.567716
134,1435996970672,8.154053,-0.15801731,5.5856724
135,1435996970691,8.136695,-0.15083471,5.5431757
136,1435996970713,8.177995,-0.15502456,5.533
137,1435996970731,8.201338,-0.09756372,5.5671177
138,1435996970751,8.128913,-0.18076223,5.5168395
139,1435996970772,8.078036,-0.18734628,5.531803
140,1435996970791,8.110358,-0.11851298,5.551555
141,1435996970811,8.112154,-0.06344634,5.4521956
142,1435996970831,8.128315,-0.089184016,5.4168816
143,1435996970852,8.15106,-0.16879122,5.5300074
144,1435996970873,8.164826,-0.16998832,5.565322
145,1435996970890,8.178593,-0.108337626,5.628768
146,1435996970911,8.174403,-0.12270284,5.5820813
147,1435996970977,8.1343,-0.11133038,5.5192337
148,1435996970978,8.124125,-0.109534726,5.450999
149,1435996970979,8.132504,-0.11971009,5.3965306
150,1435996970995,8.135497,-0.1340753,5.469554
151,1435996971008,8.142081,-0.11971009,5.482722
152,1435996971028,8.128913,-0.110133275,5.4857144
153,1435996971048,8.122928,-0.11432313,5.4701524
154,1435996971068,8.140884,-0.1340753,5.4683566
155,1435996971088,8.157643,-0.10534488,5.4845176
156,1435996971112,8.149862,-0.10474633,5.486912
157,1435996971129,8.144476,-0.11372458,5.4964886
158,1435996971152,8.183381,-0.13227965,5.473145
159,1435996971169,8.185177,-0.108337626,5.4342394
160,1435996971191,8.178593,-0.10534488,5.4192758
161,1435996971212,8.164826,-0.10654198,5.4282537
162,1435996971232,8.150461,-0.130484,5.407305
163,1435996971251,8.174403,-0.10354923,5.418677
164,1435996971274,8.244433,-0.108936176,5.449203
165,1435996971290,8.2354555,-0.12090719,5.4258595
166,1435996971312,8.1480665,-0.1436521,5.389348
167,1435996971329,8.115746,-0.14065935,5.3983264
168,1435996971350,8.106169,-0.11372458,5.3899465
169,1435996971370,8.150461,-0.08499416,5.3408656
170,1435996971394,8.189367,-0.1448492,5.446809
171,1435996971414,8.174403,-0.16280572,5.5539494
172,1435996971435,8.1797905,-0.11791443,5.5377884
173,1435996971451,8.18398,-0.09816227,5.5018754
174,1435996971469,8.183381,-0.12389994,5.45878
175,1435996971489,8.1881695,-0.12270284,5.4521956
176,1435996971511,8.181585,-0.10354923,5.425261
177,1435996971532,8.215703,-0.1364695,5.468955
178,1435996971550,8.191761,-0.16101007,5.5258174
179,1435996971596,8.170812,-0.12090719,5.5347958
180,1435996971597,8.143278,-0.11492168,5.522825
181,1435996971611,8.146272,-0.142455,5.506664
182,1435996971628,8.16363,-0.12988544,5.497087
183,1435996971653,8.156446,-0.12389994,5.48751
184,1435996971670,8.16363,-0.10534488,5.4737434
185,1435996971691,8.171411,-0.12389994,5.48332
186,1435996971709,8.169615,-0.12988544,5.4887075
187,1435996971732,8.168418,-0.09636662,5.466561
188,1435996971751,8.164826,-0.11671733,5.533599
189,1435996971772,8.144476,-0.12988544,5.498883
190,1435996971792,8.1319065,-0.12150574,5.5377884
191,1435996971809,8.195353,-0.10295067,5.5222263
192,1435996971832,8.20433,-0.09816227,5.533
193,1435996971852,8.130111,-0.15562311,5.5150437
194,1435996971872,8.106767,-0.18255788,5.5707088
195,1435996971892,8.125322,-0.11432313,5.561132
196,1435996971912,8.120534,-0.045489833,5.427057
197,1435996971933,8.10557,-0.12868834,5.445013
198,1435996971950,8.102577,-0.19273324,5.575497
199,1435996971973,8.128913,-0.14185645,5.627571
200,1435996971990,8.140884,-0.11133038,5.544971
201,1435996972010,8.128315,-0.12270284,5.5192337
202,1435996972029,8.1163435,-0.12270284,5.5270147
203,1435996972054,8.1163435,-0.11671733,5.504868
204,1435996972075,8.137892,-0.14724341,5.5617304
205,1435996972095,8.127118,-0.1376666,5.5527525
206,1435996972112,8.119336,-0.09636662,5.569512
207,1435996972130,8.106767,-0.10654198,5.5461683
208,1435996972152,8.108562,-0.12389994,5.5509567
209,1435996972171,8.121731,-0.12749124,5.5120506
210,1435996972190,8.115147,-0.09696517,5.524022
211,1435996972210,8.114548,-0.093972415,5.5126495
212,1435996972282,8.123527,-0.12150574,5.5282116
