id,attr_time,attr_x,attr_y,attr_z
1,1435996968010,5.616797,8.06427,0.87807345
2,1435996968032,5.589264,8.054693,0.8690952
3,1435996968052,5.580884,8.06008,0.908001
4,1435996968073,5.5880666,8.033744,0.8846575
5,1435996968093,5.583877,8.0606785,0.87567925
6,1435996968113,5.5964465,8.04751,0.85891986
7,1435996968131,5.609016,8.051102,0.86251116
8,1435996968150,5.6006365,8.058883,0.86969376
9,1435996968170,5.589264,8.024167,0.8912416
10,1435996968230,5.547365,8.076241,0.95947635
11,1435996968231,5.5347958,8.110358,0.78050977
12,1435996968232,5.5168395,7.963713,0.7104794
13,1435996968250,5.649119,8.003218,0.878672
14,1435996968278,5.6221843,8.16363,0.961272
15,1435996968296,5.533,8.03554,0.83856916
16,1435996968311,5.593454,8.06427,0.7104794
17,1435996968332,5.6347537,8.057087,0.760159
18,1435996968351,5.6030307,8.023568,0.88765025
19,1435996968370,5.5671177,8.006809,0.9331401
20,1435996968394,5.5743003,7.9942393,0.8936358
21,1435996968412,5.5629277,8.054094,0.76434886
22,1435996968430,5.5647235,8.101978,0.6745663
23,1435996968454,5.605425,8.147469,0.7356185
24,1435996968473,5.583278,8.04751,0.9032126
25,1435996968492,5.5910597,8.019379,0.89662856
26,1435996968510,5.583278,8.024167,0.830788
27,1435996968532,5.5880666,8.046313,0.80684596
28,1435996968553,5.551555,8.057087,0.7930793
29,1435996968574,5.5659204,8.073847,0.81522566
30,1435996968593,5.5659204,8.054693,0.8535329
31,1435996968613,5.5605335,8.058285,0.8206126
32,1435996968638,5.555745,8.051102,0.8050503
33,1435996968654,5.583877,8.049306,0.78290397
34,1435996968673,5.589264,8.049905,0.8098387
35,1435996968692,5.60722,8.046313,0.84335756
36,1435996968710,5.592855,8.042722,0.92775315
37,1435996968731,5.5587378,8.087015,0.80445176
38,1435996968754,5.559336,8.061875,0.712275
39,1435996968774,5.551555,7.875128,0.6775591
40,1435996968794,5.631162,8.001422,0.9103952
41,1435996968810,5.6042275,8.129512,0.9840169
42,1435996968833,5.5138464,7.992444,0.8463503
43,1435996968851,5.5497594,8.061875,0.74758947
44,1435996968870,5.604826,8.056489,0.7529764
45,1435996968891,5.6305637,8.002619,0.8559271
46,1435996968911,5.549161,7.9852614,0.99179804
47,1435996968968,5.531803,8.022371,0.8750807
48,1435996968969,5.531803,8.062474,0.7745243
49,1435996968971,5.581483,8.126519,0.7445967
50,1435996968993,5.5898623,8.09719,0.84814596
51,1435996969013,5.6018333,8.046912,0.9379285
52,1435996969034,5.5826797,8.039729,0.9504981
53,1435996969051,5.591658,8.030751,0.90261406
54,1435996969074,5.551555,8.072051,0.86729956
55,1435996969094,5.542577,8.074445,0.8523358
56,1435996969113,5.5407815,8.087015,0.88046765
57,1435996969132,5.547964,8.122928,0.88286185
58,1435996969151,5.5383873,8.078036,0.90500826
59,1435996969178,5.5605335,8.09719,0.9032126
60,1435996969193,5.5790887,8.091804,0.8972271
61,1435996969214,5.5563436,8.081628,0.88645315
62,1435996969235,5.542577,8.028357,0.8900445
63,1435996969254,5.5270147,8.006809,0.89303726
64,1435996969274,5.505467,8.045116,0.9660604
65,1435996969292,5.511452,8.118139,0.82360536
66,1435996969311,5.492897,8.029554,0.7278373
