id,attr_time,attr_x,attr_y,attr_z
1,1438190587015,-3.3381157,8.971672,1.1420342
2,1438190587032,-3.3973722,8.966884,1.240795
3,1438190587055,-3.3704374,8.92738,1.2132617
4,1438190587135,-3.3506854,8.89805,1.2108675
5,1438190587136,-3.3632548,8.918402,1.2294226
6,1438190587137,-3.4249055,8.890269,1.2126632
7,1438190587138,-3.4159272,8.924985,1.2258313
8,1438190587152,-3.4261026,8.935161,1.1923125
9,1438190587171,-3.4237084,8.911219,1.2054806
10,1438190587193,-3.4117374,8.896255,1.1791444
11,1438190587212,-3.430891,8.897452,1.2611457
12,1438190587233,-3.3865983,8.893861,1.2090719
13,1438190587253,-3.4201171,8.882488,1.2491747
14,1438190587272,-3.453636,8.877101,1.2497733
15,1438190587293,-3.433884,8.908226,1.1923125
16,1438190587313,-3.4320881,8.881291,1.2192472
17,1438190587332,-3.4302924,8.870518,1.2360066
18,1438190587353,-3.41473,8.8777,1.2204443
19,1438190587381,-3.4093432,8.896255,1.2180501
20,1438190587392,-3.41473,8.900445,1.2054806
21,1438190587413,-3.4272997,8.889072,1.2162545
22,1438190587431,-3.4075475,8.924985,1.2138603
23,1438190587452,-3.3859997,8.896853,1.2258313
24,1438190587472,-3.3931823,8.917204,1.2108675
25,1438190587493,-3.4087446,8.896853,1.2228385
26,1438190587513,-3.405752,8.919,1.2012907
27,1438190587533,-3.3871968,8.901642,1.2036849
28,1438190587553,-3.3842041,8.901043,1.2264298
29,1438190587572,-3.383007,8.930372,1.2036849
30,1438190587591,-3.4141316,8.920795,1.2773066
31,1438190587614,-3.4231098,8.939949,1.1965023
32,1438190587633,-3.3991678,9.001001,1.1563994
33,1438190587653,-3.292626,8.942942,1.1623849
34,1438190587673,-3.4153287,8.963891,1.3814543
35,1438190587693,-3.435081,8.915408,1.1510124
36,1438190587716,-3.3327289,8.959103,1.1815386
37,1438190587734,-3.3381157,8.945934,1.2545617
38,1438190587754,-3.366846,8.945934,1.2593501
39,1438190587773,-3.323152,8.9279785,1.1935096
40,1438190587795,-3.3195608,8.93576,1.2186487
41,1438190587814,-3.3518825,8.941146,1.2318168
42,1438190587842,-3.3542767,8.933964,1.2072762
43,1438190587855,-3.353678,8.959702,1.1988965
44,1438190587875,-3.364452,8.954314,1.2210429
45,1438190587894,-3.3435028,8.949526,1.2198458
46,1438190587913,-3.354875,8.933365,1.2473791
47,1438190587933,-3.3357215,8.932168,1.2366052
48,1438190587953,-3.333926,8.965687,1.2240356
49,1438190587973,-3.3464954,8.934562,1.2617443
50,1438190588020,-3.389591,8.948928,1.2300211
51,1438190588021,-3.3770216,8.947132,1.2294226
52,1438190588075,-3.3734303,8.948928,1.2389994
53,1438190588076,-3.3746274,8.925584,1.2515689
54,1438190588077,-3.3452983,8.911818,1.2270284
55,1438190588104,-3.3267434,8.924985,1.228824
56,1438190588113,-3.3363202,8.9279785,1.234211
57,1438190588135,-3.3530796,8.942344,1.2306197
58,1438190588155,-3.347094,8.957906,1.2258313
59,1438190588172,-3.3375173,8.944139,1.2282255
60,1438190588193,-3.321955,8.924985,1.2234371
61,1438190588214,-3.333926,8.93576,1.2306197
62,1438190588233,-3.335123,8.931569,1.2258313
63,1438190588254,-3.3500867,8.942942,1.2300211
64,1438190588275,-3.3500867,8.934562,1.2336124
65,1438190588294,-3.3363202,8.940548,1.2467805
66,1438190588313,-3.3369186,8.931569,1.2826935
67,1438190588334,-3.3584664,8.940548,1.1665748
68,1438190588354,-3.2495303,8.940548,1.1294646
69,1438190588375,-3.2477345,8.962095,1.2659341
70,1438190588394,-3.3506854,9.015367,1.2779051
71,1438190588414,-3.3638535,9.020754,1.103727
72,1438190588434,-3.2992098,9.072228,1.1264719
73,1438190588453,-3.1836896,9.054871,1.1713632
74,1438190588475,-3.1549592,8.975264,1.1845313
75,1438190588495,-3.063381,8.813056,1.1294646
76,1438190588514,-3.0065188,8.756793,1.1115081
77,1438190588534,-3.0023289,8.749012,1.1115081
78,1438190588554,-3.05141,8.758589,1.0737995
79,1438190588574,-3.1358056,8.834604,1.0019734
80,1438190588593,-3.1573534,8.866926,0.9935937
81,1438190588615,-3.181894,8.84059,0.98581254
82,1438190588635,-3.1723173,8.7771435,0.9415198
83,1438190588655,-3.0759506,8.748413,0.86370826
84,1438190588677,-2.9963434,8.729858,0.75716627
85,1438190588698,-2.971803,8.730456,0.670975
86,1438190588716,-2.938284,8.7292595,0.59974754
87,1438190588739,-2.9508536,8.708909,0.5189432
88,1438190588797,-2.8532898,8.674791,0.44951138
89,1438190588798,-2.7299886,8.66701,0.3453636
90,1438190588799,-2.5073278,8.746018,0.17298107
91,1438190588817,-2.4474726,8.987833,0.037110128
92,1438190588834,-2.3971944,9.19134,-0.05267244
93,1438190588861,-2.2667105,9.254189,-0.10055647
