id,attr_time,attr_x,attr_y,attr_z
1,1435995489003,-1.5053543,9.486425,0.623091
2,1435995489024,-1.3521254,9.406818,0.64942724
3,1435995489043,-1.4041992,9.419987,0.7218518
4,1435995489063,-1.472434,9.4696665,0.6254852
5,1435995489085,-1.4101849,9.442732,0.5650316
6,1435995489103,-1.3802572,9.459491,0.53809685
7,1435995489123,-1.3796587,9.482236,0.54408234
8,1435995489149,-1.3892355,9.498995,0.51116204
9,1435995489163,-1.3958195,9.515755,0.50757074
10,1435995489183,-1.3557167,9.53012,0.58538234
11,1435995489206,-1.3036429,9.51336,0.59974754
12,1435995489223,-1.311424,9.5253315,0.6278794
13,1435995489243,-1.311424,9.548077,0.6476316
14,1435995489265,-1.359308,9.527127,0.65541273
15,1435995489283,-1.4544775,9.509769,0.5919664
16,1435995489303,-1.5717934,9.553463,0.59735334
17,1435995489325,-1.5735891,9.6049385,0.51116204
18,1435995489349,-1.5292963,9.660604,0.4770447
19,1435995489366,-1.4628572,9.656414,0.52373165
20,1435995489388,-1.42455,9.638457,0.54049104
21,1435995489403,-1.3958195,9.63726,0.59256494
22,1435995489423,-1.4047978,9.633669,0.6242881
23,1435995489445,-1.3718776,9.624092,0.59974754
24,1435995489463,-1.3563153,9.613917,0.5883751
25,1435995489483,-1.3551182,9.572019,0.587178
26,1435995489505,-1.400608,9.554062,0.60573304
27,1435995489523,-1.4520833,9.524135,0.6434417
28,1435995489543,-1.496376,9.540296,0.664391
29,1435995489565,-1.5053543,9.564836,0.5979519
30,1435995489583,-1.5107412,9.584588,0.59136784
31,1435995489604,-1.4891934,9.589376,0.59017074
32,1435995489625,-1.4682442,9.5492735,0.60333884
33,1435995489643,-1.4514848,9.524135,0.59615624
34,1435995489663,-1.4676456,9.564238,0.66379243
35,1435995489685,-1.4975731,9.545084,0.52612585
36,1435995489704,-1.4939818,9.519346,0.59376204
37,1435995489723,-1.4688427,9.548077,0.66259533
38,1435995489745,-1.4933833,9.592369,0.6691794
39,1435995489763,-1.4957775,9.59177,0.58418524
40,1435995489783,-1.4556746,9.537901,0.533907
41,1435995489805,-1.4221559,9.545084,0.53211135
42,1435995489823,-1.3611037,9.546281,0.58777654
43,1435995489843,-1.3676877,9.536105,0.61112
44,1435995489865,-1.4131776,9.535507,0.6063316
45,1435995489883,-1.3814543,9.545682,0.60573304
46,1435995489906,-1.3808558,9.518747,0.62967503
47,1435995489932,-1.3742718,9.558251,0.65660983
48,1435995489943,-1.352724,9.565434,0.64823014
49,1435995489963,-1.3377602,9.578603,0.65541273
50,1435995489985,-1.335366,9.587581,0.6596026
51,1435995490003,-1.3431472,9.595362,0.66259533
52,1435995490023,-1.3120226,9.625888,0.62608373
53,1435995490046,-1.3293805,9.64564,0.59735334
54,1435995490064,-1.34195,9.619304,0.62009823
55,1435995490084,-1.3341689,9.644443,0.5734113
56,1435995490105,-1.3371617,9.61272,0.55365914
57,1435995490123,-1.2916719,9.625289,0.5530606
58,1435995490144,-1.2677298,9.5798,0.5530606
59,1435995490166,-1.2401965,9.576807,0.5943606
60,1435995490184,-1.2551602,9.595362,0.5554548
61,1435995490203,-1.2443863,9.612122,0.5770026
62,1435995490225,-1.2401965,9.617508,0.58298814
63,1435995490243,-1.2198458,9.622895,0.5781997
64,1435995490264,-1.2294226,9.60853,0.5823896
65,1435995490287,-1.2683283,9.604341,0.5919664
66,1435995490303,-1.2862848,9.607931,0.5470751
67,1435995490324,-1.2802993,9.57561,0.5883751
68,1435995490346,-1.2545617,9.589975,0.60812724
69,1435995490364,-1.2749124,9.60853,0.55725044
70,1435995490386,-1.316811,9.658808,0.60333884
71,1435995490406,-1.2814964,9.664195,0.43035775
72,1435995490424,-1.2294226,9.58818,0.4794389
73,1435995490444,-1.1994951,9.589975,0.55485624
74,1435995490466,-1.2563573,9.619304,0.6183026
75,1435995490484,-1.287482,9.552266,0.55246204
76,1435995490504,-1.2659341,9.516952,0.44891283
77,1435995490526,-1.2312182,9.516354,0.46806642
78,1435995490544,-1.2078748,9.557653,0.48961425
79,1435995490564,-1.1971009,9.579201,0.5009867
80,1435995490586,-1.18094,9.59177,0.47405192
81,1435995490604,-1.1845313,9.564238,0.50397944
82,1435995490624,-1.2084733,9.544485,0.55006784
83,1435995490646,-1.2258313,9.568427,0.5602432
84,1435995490664,-1.2491747,9.601946,0.5231331
85,1435995490684,-1.2569559,9.583391,0.51834464
86,1435995490712,-1.2384008,9.576807,0.5141548
87,1435995490724,-1.2306197,9.585785,0.59974754
88,1435995490744,-1.2108675,9.570822,0.55006784
89,1435995490768,-1.2318168,9.577405,0.5327099
90,1435995490785,-1.2455834,9.624691,0.54049104
91,1435995490804,-1.2216414,9.61691,0.56922144
92,1435995490826,-1.2240356,9.629479,0.59017074
93,1435995490844,-1.2437878,9.618107,0.59615624
94,1435995490864,-1.2785037,9.601347,0.5847838
95,1435995490886,-1.2856863,9.582792,0.59136784
96,1435995490905,-1.2982559,9.55885,0.545878
97,1435995490924,-1.2958617,9.558251,0.5255273
98,1435995490946,-1.2785037,9.553463,0.51954174
99,1435995490964,-1.2755109,9.590573,0.5422867
100,1435995490985,-1.2623428,9.610924,0.5638345
101,1435995491008,-1.2485762,9.656414,0.545878
102,1435995491030,-1.2605472,9.639654,0.53809685
103,1435995491047,-1.2449849,9.605537,0.54887074
104,1435995491068,-1.2294226,9.5798,0.55725044
105,1435995491087,-1.2132617,9.57142,0.5434838
106,1435995491105,-1.2389994,9.607333,0.57879823
107,1435995491126,-1.2695254,9.630077,0.50397944
108,1435995491146,-1.2689269,9.616311,0.48482585
109,1435995491165,-1.2192472,9.554661,0.55485624
110,1435995491187,-1.2521675,9.623494,0.59615624
