电影名称,上映时间,票房(万元),平均票价,场均人次,电影链接
哪吒之魔童降世,2019-07-26 上映,322752,73.810269,117,http://piaofang.maoyan.com/movie/1211270
流浪地球,2019-02-05 上映,5104666,55.34344,119,http://piaofang.maoyan.com/movie/248906
复仇者联盟4：终局之战,2019-04-24 上映,5115922,54.93784,117,http://piaofang.maoyan.com/movie/248172
我和我的祖国,2019-09-30 上映,76117710,78.4611628,73,http://piaofang.maoyan.com/movie/1277939
中国机长,2019-09-30 上映,1192733,78.789285,1110,http://piaofang.maoyan.com/movie/1230121
疯狂的外星人,2019-02-05 上映,11116688,56.9931097,72,http://piaofang.maoyan.com/movie/344869
飞驰人生,2019-02-05 上映,681110115,56.1087244,113,http://piaofang.maoyan.com/movie/1218091
烈火英雄,2019-08-01 上映,682764,73.41051073,69,http://piaofang.maoyan.com/movie/1243361
少年的你,2019-10-25 上映,6331028,710.69107118,610,http://piaofang.maoyan.com/movie/1218029
速度与激情：特别行动,2019-08-23 上映,6575115,73.101075105,63,http://piaofang.maoyan.com/movie/1215605
蜘蛛侠：英雄远征,2019-06-28 上映,656856,73.491044,68,http://piaofang.maoyan.com/movie/1198925
扫毒2天地对决,2019-07-05 上映,6766710,710.7785108,610,http://piaofang.maoyan.com/movie/1218141
大黄蜂,2019-01-04 上映,665953,73.9210310,66,http://piaofang.maoyan.com/movie/1206875
攀登者,2019-09-30 上映,629599,78.25106610,1111,http://piaofang.maoyan.com/movie/1250700
惊奇队长,2019-03-08 上映,6275910,78.6810115,65,http://piaofang.maoyan.com/movie/341139
比悲伤更悲伤的故事,2019-03-14 上映,93883,72.8115114,63,http://piaofang.maoyan.com/movie/1216383
哥斯拉2：怪兽之王,2019-05-31 上映,9781111,710.2109911,65,http://piaofang.maoyan.com/movie/246061
阿丽塔：战斗天使,2019-02-22 上映,491084,78.471125,65,http://piaofang.maoyan.com/movie/410629
