名次,会员简称,持买单量,比上交易日增减
19,大地期货,1095,41
18,大越期货,1184,-29
15,东兴期货,994,224
16,东兴期货,1231,197
20,方正中期,847,360
12,光大期货,1583,19
11,广发期货,1834,194
16,国富期货,957,604
14,国富期货,1449,31
1,国泰君安,5667,3430
2,国泰君安,6845,-1453
3,国泰君安,5738,858
9,国投安信,1217,451
13,国投安信,1419,19
9,国投安信,2165,22
11,国信期货,1135,446
15,国信期货,1411,124
4,海通期货,2575,963
4,海通期货,3886,295
6,海通期货,3227,106
6,华泰期货,2112,794
5,华泰期货,2952,342
4,华泰期货,5526,308
3,华闻期货,3001,1122
20,华闻期货,1068,401
20,华闻期货,1064,364
11,建信期货,1682,18
19,鲁证期货,847,451
17,南华期货,937,361
18,南华期货,1096,146
7,平安期货,2614,424
3,瑞银期货,4926,694
5,上海东证,2394,498
9,上海东证,1953,52
1,上海东证,13162,240
6,申银万国,2511,19
17,申银万国,1218,110
8,五矿经易,1309,365
12,西部期货,1030,402
16,兴业期货,1336,-34
7,兴证期货,1639,490
15,兴证期货,1274,202
19,兴证期货,1090,211
13,一德期货,1014,790
8,一德期货,2163,-260
10,银河期货,1151,-71
12,银河期货,1767,84
13,银河期货,1465,29
18,永安期货,869,410
10,永安期货,1890,305
10,永安期货,2028,90
8,招商期货,2245,77
14,浙商期货,1405,64
7,中金期货,2218,0
17,中粮期货,1207,216
14,中信建投,1008,341
5,中信建投,3461,157
2,中信期货,4524,1469
1,中信期货,7035,1323
2,中信期货,9555,177
