date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,196,中度污染,147,208,49,3.9,91,16
2014-01-02,184,中度污染,138,179,38,3.5,84,12
2014-01-03,248,重度污染,198,287,71,4.2,94,13
2014-01-04,251,重度污染,201,250,104,2.6,101,8
2014-01-05,132,轻度污染,101,158,41,2,73,21
2014-01-06,135,轻度污染,103,143,54,1.8,65,17
2014-01-07,184,中度污染,139,186,61,2.9,70,13
2014-01-08,180,中度污染,136,184,83,2.3,69,15
2014-01-09,240,重度污染,190,273,70,3.8,78,13
2014-01-10,249,重度污染,199,311,41,4.5,71,10
2014-01-11,197,中度污染,148,306,39,3.9,46,12
2014-01-12,142,轻度污染,109,232,54,2.3,41,16
2014-01-13,125,轻度污染,73,199,40,2.2,43,12
2014-01-14,230,重度污染,149,371,34,3.7,46,11
2014-01-15,289,重度污染,238,412,50,4.8,59,11
2014-01-16,209,重度污染,159,255,53,4,63,12
2014-01-17,136,轻度污染,104,184,43,2.9,67,22
2014-01-18,83,良,60,116,19,1.8,52,22
2014-01-19,92,良,68,131,35,2.3,54,22
2014-01-20,129,轻度污染,98,144,33,2.7,62,13
2014-01-21,146,轻度污染,112,143,41,3.3,72,7
2014-01-22,95,良,71,108,42,2.7,74,18
2014-01-23,81,良,60,90,41,2.1,75,17
2014-01-24,107,轻度污染,80,122,47,2.4,70,19
2014-01-25,117,轻度污染,88,144,61,2.6,74,19
2014-01-26,93,良,69,112,57,3,84,13
2014-01-27,94,良,70,109,64,2.3,72,22
2014-01-28,58,良,41,59,44,1.8,63,16
2014-01-29,81,良,60,100,31,2.2,54,18
2014-01-30,83,良,62,104,57,2.1,63,19
2014-01-31,101,轻度污染,76,128,63,2,61,36
2014-02-01,31,优,12,19,10,0.8,28,61
2014-02-02,45,优,24,45,27,1.5,46,43
2014-02-03,40,优,24,40,27,1.5,50,55
2014-02-04,48,优,26,48,36,1.6,53,42
2014-02-05,73,良,53,79,32,1.6,53,37
2014-02-06,71,良,52,85,50,1.7,51,39
2014-02-07,108,轻度污染,81,166,42,1.8,72,28
2014-02-08,115,轻度污染,87,161,37,2.2,59,27
2014-02-09,105,轻度污染,79,145,50,2.6,70,31
2014-02-10,103,轻度污染,77,112,52,2.7,74,40
2014-02-11,107,轻度污染,81,141,44,2.4,73,31
2014-02-12,165,中度污染,125,201,60,3.1,92,34
2014-02-13,163,中度污染,124,187,57,3.1,86,45
2014-02-14,201,重度污染,151,222,101,3.9,99,34
2014-02-15,177,中度污染,134,199,90,3.3,87,49
2014-02-16,88,良,65,86,54,2,74,44
2014-02-17,131,轻度污染,100,171,59,2.6,79,35
