date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,141,轻度污染,108,141,102,1.3,55,31
2014-01-02,131,轻度污染,100,140,123,1.4,68,25
2014-01-03,191,中度污染,144,197,137,1.7,73,28
2014-01-04,247,重度污染,197,246,146,2.2,91,19
2014-01-05,412,严重污染,369,450,184,3.2,123,22
2014-01-06,217,重度污染,167,216,173,1.4,85,26
2014-01-07,150,轻度污染,115,148,104,1.4,62,28
2014-01-08,77,良,56,71,82,1,47,33
2014-01-09,90,良,67,89,94,1,54,32
2014-01-10,119,轻度污染,90,127,125,1.2,61,29
2014-01-11,114,轻度污染,86,124,111,1.2,59,23
2014-01-12,80,良,59,81,91,0.9,45,34
2014-01-13,195,中度污染,147,162,141,1.4,70,29
2014-01-14,207,重度污染,157,209,178,1.6,85,22
2014-01-15,200,中度污染,150,200,168,1.4,78,30
2014-01-16,157,中度污染,120,171,127,1.4,66,28
2014-01-17,216,重度污染,166,201,158,1.6,84,28
2014-01-18,223,重度污染,173,232,155,1.9,88,29
2014-01-19,173,中度污染,131,180,163,1.4,78,19
2014-01-20,130,轻度污染,99,131,138,1.2,70,26
2014-01-21,193,中度污染,145,192,107,1.7,72,24
2014-01-22,215,重度污染,165,225,214,1.6,94,35
2014-01-23,126,轻度污染,96,144,178,1.2,70,45
2014-01-24,162,中度污染,123,165,98,1.7,68,46
2014-01-25,181,中度污染,137,189,85,1.7,82,36
2014-01-26,113,轻度污染,86,125,96,1.1,60,49
2014-01-27,66,良,45,83,80,0.8,47,47
2014-01-28,54,良,36,59,58,0.8,37,52
2014-01-29,76,良,56,98,99,1,54,51
2014-01-30,74,良,54,72,64,1,34,55
2014-01-31,220,重度污染,170,205,118,1.3,54,55
2014-02-01,147,轻度污染,113,163,133,1.2,65,49
2014-02-02,78,良,56,106,68,0.9,37,57
2014-02-03,46,优,28,46,54,0.8,31,57
2014-02-04,75,良,55,79,78,1,42,50
2014-02-05,124,轻度污染,94,134,91,1.5,60,52
2014-02-06,123,轻度污染,93,136,96,1.2,55,55
2014-02-07,198,中度污染,148,213,198,1.6,108,40
2014-02-08,142,轻度污染,108,146,133,1.5,73,48
2014-02-09,73,良,54,85,101,1,52,49
2014-02-10,134,轻度污染,102,154,125,1.6,73,48
2014-02-11,148,轻度污染,114,173,172,1.6,87,42
2014-02-12,149,轻度污染,114,166,121,1.6,84,44
2014-02-13,133,轻度污染,102,150,118,1.6,77,49
2014-02-14,128,轻度污染,97,149,125,1.3,72,50
2014-02-15,209,重度污染,159,200,107,1.7,74,54
