date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,227,重度污染,177,244,18,1.5,73,20
2014-01-02,229,重度污染,179,270,28,1.8,76,31
2014-01-03,200,中度污染,150,229,30,1.9,81,50
2014-01-04,192,中度污染,144,234,32,2,99,54
2014-01-05,253,重度污染,203,296,59,1.8,108,42
2014-01-06,205,重度污染,155,226,40,1.5,77,36
2014-01-07,99,良,74,98,19,1.1,64,44
2014-01-08,78,良,58,98,20,0.9,59,55
2014-01-09,121,轻度污染,92,154,26,1,59,55
2014-01-10,135,轻度污染,103,135,31,1,51,39
2014-01-11,119,轻度污染,90,127,25,1.2,61,40
2014-01-12,106,轻度污染,80,130,26,1.1,64,59
2014-01-13,110,轻度污染,83,132,24,1,70,66
2014-01-14,215,重度污染,165,257,52,1.7,88,43
2014-01-15,235,重度污染,185,268,38,1.7,78,21
2014-01-16,255,重度污染,205,304,39,1.8,85,54
2014-01-17,269,重度污染,219,308,37,1.8,92,36
2014-01-18,305,严重污染,255,344,42,2.1,73,29
2014-01-19,148,轻度污染,114,157,30,1.3,54,61
2014-01-20,74,良,54,98,17,1,57,61
2014-01-21,157,中度污染,120,199,39,1.4,71,38
2014-01-22,248,重度污染,198,303,39,1.7,99,75
2014-01-23,293,重度污染,243,355,52,1.9,106,68
2014-01-24,273,重度污染,223,323,46,1.9,99,71
2014-01-25,242,重度污染,192,286,37,1.8,96,46
2014-01-26,262,重度污染,212,282,37,1.8,79,89
2014-01-27,347,严重污染,297,379,24,1.9,61,61
2014-01-28,357,严重污染,307,401,25,2.1,61,62
2014-01-29,333,严重污染,283,352,16,1.8,47,58
2014-01-30,345,严重污染,295,377,11,1.8,48,38
2014-01-31,462,严重污染,396,562,19,1.9,42,39
2014-02-01,211,重度污染,161,207,14,1.6,44,73
2014-02-02,193,中度污染,145,177,14,1.4,34,78
2014-02-03,203,重度污染,153,188,14,1.3,41,66
2014-02-04,207,重度污染,157,194,16,1.3,33,55
2014-02-05,93,良,69,94,13,1.4,22,44
2014-02-06,43,优,26,43,10,1.4,20,33
2014-02-07,99,良,74,97,26,1.2,41,44
2014-02-08,100,良,75,107,25,1.2,36,42
2014-02-09,70,良,51,71,11,1,24,59
2014-02-10,109,轻度污染,82,104,15,1.4,32,57
2014-02-11,130,轻度污染,99,121,16,1.5,45,51
2014-02-12,132,轻度污染,100,121,17,1.5,40,56
2014-02-13,169,中度污染,128,159,16,1.7,51,75
2014-02-14,150,轻度污染,115,150,29,1.4,56,67
2014-02-15,181,中度污染,136,175,36,1.3,57,66
2014-02-16,203,重度污染,153,202,26,1.7,68,42
2014-02-17,147,轻度污染,113,142,29,1.3,43,42
2014-02-18,115,轻度污染,87,107,19,1.5,54,68
2014-02-19,137,轻度污染,105,138,27,1.4,58,65
2014-02-20,226,重度污染,176,252,45,1.9,73,38
2014-02-21,212,重度污染,162,223,50,1.8,89,41
2014-02-22,231,重度污染,181,259,40,1.9,75,70
2014-02-23,234,重度污染,184,252,50,1.9,75,68
2014-02-24,200,中度污染,150,200,32,1.5,65,70
2014-02-25,140,轻度污染,107,153,27,1.2,60,44
2014-02-26,103,轻度污染,77,112,39,1.2,51,30
2014-02-27,55,良,34,60,18,0.9,45,43
2014-02-28,70,良,50,90,19,1,45,30
2014-03-01,70,良,49,90,21,1,55,45
2014-03-02,73,良,54,95,15,1.1,52,49
2014-03-03,66,良,48,71,16,1.1,44,31
2014-03-04,61,良,43,72,16,1.2,46,80
