Airport,Year,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out
ADELAIDE,2014,1,277737,278835,53530,41795
BRISBANE,2014,1,683604,688577,243665,197869
CAIRNS,2014,1,160822,172757,23911,20221
CANBERRA,2014,1,97433,90215,0,0
DARWIN,2014,1,66935,57723,20907,13760
GOLD COAST,2014,1,233478,248687,49373,43639
HAMILTON ISLAND,2014,1,21333,23441,0,0
HOBART,2014,1,99727,112709,0,0
LAUNCESTON,2014,1,63827,71154,0,0
MACKAY,2014,1,41690,39182,0,0
MELBOURNE,2014,1,1015397,972715,405925,345753
NEWCASTLE,2014,1,50137,51529,0,0
PERTH,2014,1,373794,384806,244756,188565
SYDNEY,2014,1,1065915,1082908,698668,608317
TOWNSVILLE,2014,1,58441,53757,0,0
ADELAIDE,2014,2,253235,250818,40484,29320
BRISBANE,2014,2,611754,613347,184183,168744
CAIRNS,2014,2,126598,135121,20129,19117
CANBERRA,2014,2,106417,102807,0,0
DARWIN,2014,2,50136,52756,12288,10867
GOLD COAST,2014,2,175850,180341,38138,35156
HAMILTON ISLAND,2014,2,17279,17282,0,0
HOBART,2014,2,85952,85280,0,0
LAUNCESTON,2014,2,52717,51591,0,0
MACKAY,2014,2,35301,35937,0,0
MELBOURNE,2014,2,879950,874523,317446,271754
NEWCASTLE,2014,2,42668,43461,0,0
PERTH,2014,2,323572,327180,165809,138879
SYDNEY,2014,2,966175,953742,541240,495993
TOWNSVILLE,2014,2,50287,50424,0,0
ADELAIDE,2014,3,287307,293996,35407,35805
BRISBANE,2014,3,697430,695026,182017,180736
CAIRNS,2014,3,135222,137603,19065,18792
CANBERRA,2014,3,124681,125533,0,0
DARWIN,2014,3,61191,60331,12264,11944
GOLD COAST,2014,3,196731,198767,37933,37464
HAMILTON ISLAND,2014,3,17274,17414,0,0
HOBART,2014,3,94087,98207,0,0
LAUNCESTON,2014,3,57992,59751,0,0
MACKAY,2014,3,41032,40076,0,0
MELBOURNE,2014,3,982380,989492,298547,301050
NEWCASTLE,2014,3,50262,50391,0,0
PERTH,2014,3,368083,363511,157118,158112
SYDNEY,2014,3,1075212,1065090,513803,530525
TOWNSVILLE,2014,3,58520,57261,0,0
ADELAIDE,2014,4,283121,285267,39176,42911
BRISBANE,2014,4,717116,713104,203052,203842
