Username,PercentageMark
mbasnji9,35.00%
mbasafw4,50.00%
mbastxd8,65.00%
mbasfep1,50.00%
mbasagi8,85.00%
mbasrrd1,70.00%
mbasspj1,70.00%
mbasfoq6,75.00%
mbasifh1,80.00%
mbasysz7,65.00%
mbashbs7,55.00%
mbasnug4,75.00%
mbasogw4,95.00%
mbasjba8,70.00%
mbaspeb0,80.00%
mbastve9,65.00%
mbaswqs6,40.00%
mbasyss8,70.00%
mbasitv1,95.00%
mbaswkt5,70.00%
mbaslbr6,25.00%
mbaslmi1,65.00%
mbasrue6,80.00%
mbasvsz9,75.00%
mbaslks6,60.00%
mbasrye8,80.00%
mbasglb2,65.00%
mbasobp0,60.00%
mbasvlc8,65.00%
mbasmko4,45.00%
mbasqaz9,90.00%
mbasybe0,45.00%
mbasmee6,55.00%
mbasyik7,65.00%
mbaschr8,65.00%
mbasarc5,70.00%
mbasoto0,55.00%
mbasfix3,70.00%
mbasqmp6,60.00%
mbasysk2,35.00%
mbaskku7,50.00%
mbasgnz4,70.00%
mbaseve5,45.00%
mbashvx2,85.00%
mbasnpn2,55.00%
mbaselh5,85.00%
mbaszgm7,70.00%
mbasgie0,60.00%
mbasdwk9,90.00%
mbasafe8,45.00%
mbasang7,70.00%
mbasrgt6,65.00%
mbasfss3,60.00%
mbastky6,85.00%
mbasmie7,65.00%
mbaspxa1,65.00%
mbasvvs3,90.00%
mbasvev1,65.00%
mbasccm3,50.00%
mbasflt6,75.00%
mbasjvg8,70.00%
mbastnm1,65.00%
mbasqjn1,65.00%
mbasvjn9,45.00%
mbaside6,70.00%
mbasavk3,70.00%
mbasgbk5,50.00%
mbaskwy2,95.00%
