Username,RawAutogradedMark,RawManualMark,RawTotalMark
mbasnji9,2.0,1.5,3.5
mbasafw4,3.0,2.0,5.0
mbastxd8,2.0,4.5,6.5
mbasfep1,2.0,3.0,5.0
mbasagi8,5.0,3.5,8.5
mbasrrd1,4.0,3.0,7.0
mbasspj1,4.0,3.0,7.0
mbasfoq6,5.0,2.5,7.5
mbasifh1,4.0,4.0,8.0
mbasysz7,4.0,2.5,6.5
mbashbs7,3.0,2.5,5.5
mbasnug4,4.0,3.5,7.5
mbasogw4,5.0,4.5,9.5
mbasjba8,3.0,4.0,7.0
mbaspeb0,5.0,3.0,8.0
mbastve9,3.0,3.5,6.5
mbaswqs6,2.0,2.0,4.0
mbasyss8,5.0,2.0,7.0
mbasitv1,5.0,4.5,9.5
mbaswkt5,3.0,4.0,7.0
mbaslbr6,1.0,1.5,2.5
mbaslmi1,5.0,1.5,6.5
mbasrue6,5.0,3.0,8.0
mbasvsz9,4.0,3.5,7.5
mbaslks6,3.0,3.0,6.0
mbasrye8,5.0,3.0,8.0
mbasglb2,5.0,1.5,6.5
mbasobp0,3.0,3.0,6.0
mbasvlc8,4.0,2.5,6.5
mbasmko4,3.0,1.5,4.5
mbasqaz9,5.0,4.0,9.0
mbasybe0,3.0,1.5,4.5
mbasmee6,3.0,2.5,5.5
mbasyik7,4.0,2.5,6.5
mbaschr8,3.0,3.5,6.5
mbasarc5,4.0,3.0,7.0
mbasoto0,4.0,1.5,5.5
mbasfix3,4.0,3.0,7.0
mbasqmp6,4.0,2.0,6.0
mbasysk2,2.0,1.5,3.5
mbaskku7,3.0,2.0,5.0
mbasgnz4,4.0,3.0,7.0
mbaseve5,3.0,1.5,4.5
mbashvx2,5.0,3.5,8.5
mbasnpn2,3.0,2.5,5.5
mbaselh5,4.0,4.5,8.5
mbaszgm7,4.0,3.0,7.0
mbasgie0,3.0,3.0,6.0
mbasdwk9,5.0,4.0,9.0
mbasafe8,2.0,2.5,4.5
mbasang7,4.0,3.0,7.0
mbasrgt6,5.0,1.5,6.5
mbasfss3,3.0,3.0,6.0
mbastky6,4.0,4.5,8.5
mbasmie7,4.0,2.5,6.5
mbaspxa1,4.0,2.5,6.5
mbasvvs3,5.0,4.0,9.0
mbasvev1,4.0,2.5,6.5
mbasccm3,3.0,2.0,5.0
mbasflt6,5.0,2.5,7.5
mbasjvg8,4.0,3.0,7.0
mbastnm1,3.0,3.5,6.5
mbasqjn1,4.0,2.5,6.5
mbasvjn9,3.0,1.5,4.5
mbaside6,4.0,3.0,7.0
mbasavk3,4.0,3.0,7.0
mbasgbk5,3.0,2.0,5.0
mbaskwy2,5.0,4.5,9.5
