Rank,Grade,Ch_name,Uploads,Subscriptions,Views
1st,A++,Cocomelon - Nursery Rhymes,518,78.2M,"57,088,982,878"
2nd,A++,✿ Kids Diana Show,692,50.9M,"24,179,259,602"
3rd,A++,Like Nastya,401,52.3M,"30,609,490,114"
4th,A++,Movieclips,"35,216",36.3M,"35,071,065,049"
5th,A++,Vlad and Nikita,219,37.7M,"18,086,626,003"
6th,NaN,Peppa Pig - Official Channel,863,15.2M,"9,308,419,202"
7th,NaN,Animal World,318,2.57M,"721,166,331"
8th,NaN,WWE,"47,027",57.5M,"41,314,291,369"
9th,NaN,Little Baby Bum - Nursery Rhymes &…,"1,165",27.2M,"24,198,545,886"
10th,NaN,BabyBus - Nursery Rhymes,"1,373",14.9M,"9,262,978,917"
11th,NaN,LooLoo Kids - Nursery Rhymes and C…,453,26.9M,"11,563,409,761"
12th,A+,Ryan's World,"1,689",24.6M,"37,876,135,112"
13th,A+,VladTeeVee,381,2.11M,"338,893,352"
14th,A+,Little Angel: Nursery Rhymes & Kid…,959,12.6M,"7,084,814,005"
15th,A+,VGK,20,1.03M,"292,558,565"
16th,A+,Toys and Colors,412,20.4M,"14,535,722,923"
17th,A+,Sesame Street,"2,982",14.8M,"12,210,596,587"
18th,A+,Odia E News,"1,466",838K,"265,054,681"
19th,A+,Onyx Family,496,2.68M,"1,411,777,830"
20th,A+,BeautyPlus,172,1.11M,"229,188,970"
21st,A+,Pinkfong! Kids' Songs & Stories,"1,532",31.8M,"13,394,203,834"
22nd,A+,Like Nastya Show,298,27.6M,"10,109,462,014"
23rd,A+,Kids Play,251,8.49M,"2,779,417,154"
24th,A+,व्लाद और निक�…,185,6.79M,"2,430,317,698"
25th,NaN,MandaPanda Toy Collector,310,425K,"228,364,949"
26th,NaN,Mother Goose Club Playhouse,987,9.2M,"8,712,854,805"
27th,NaN,Max Steel,42,825K,"193,927"
28th,NaN,SonyMusicIndiaVEVO,"3,054",28.9M,"13,752,694,218"
29th,NaN,Diana Kids Stories,149,11.4M,"3,464,951,946"
30th,NaN,7clouds,959,3.94M,"1,831,140,499"
31st,NaN,TheEllenShow,"11,664",37.2M,"19,487,257,933"
32nd,NaN,LooLoo Kids TV,32,739K,"184,216,702"
33rd,NaN,DisneyMusicVEVO,"1,163",18.7M,"11,970,112,005"
34th,NaN,ABCkids Misa,47,3.3M,"649,542,629"
35th,NaN,Talking Tom,269,15.6M,"6,902,293,576"
36th,NaN,Boram Tube Vlog [보람튜브 브�…,223,24.4M,"9,583,028,549"
37th,NaN,FGTeeV,"1,338",13.8M,"14,288,765,457"
38th,NaN,The Dodo,"5,434",5.93M,"2,893,777,308"
39th,NaN,Saturday Night Live,"7,247",10M,"8,938,545,921"
40th,NaN,Jelly,"4,061",17.1M,"8,260,929,309"
41st,NaN,TopMovieClips,249,3.71M,"2,239,134,563"
42nd,NaN,Like Nastya ESP,266,18.9M,"6,420,813,993"
43rd,NaN,The Tonight Show Starring Jimmy Fa…,"5,932",24.6M,"13,681,259,948"
44th,NaN,Comedy Central,"5,277",9.34M,"4,652,542,907"
45th,NaN,SO LY DA,27,909K,"227,187,186"
46th,NaN,A&E,"7,758",4.62M,"4,670,877,238"
47th,NaN,Indoor playground Bella & Misa,43,5.34M,"1,366,569,686"
48th,NaN,ESPN,"29,134",6.86M,"5,582,952,509"
