Rank,Grade,Ch_name,Uploads,Subscriptions,Views
1st,A++,T-Series,"14,297",135M,"104,724,369,854"
2nd,A++,Cocomelon - Nursery Rhymes,517,78.2M,"57,054,290,512"
3rd,A++,✿ Kids Diana Show,691,50.9M,"24,157,678,368"
4th,A++,Like Nastya,400,52.2M,"30,591,257,306"
5th,A++,SET India,"37,017",69.3M,"52,149,505,781"
6th,A++,RRcherrypie,327,3.37M,"2,338,829,659"
7th,A++,Movieclips,"35,226",36.3M,"35,055,807,085"
8th,A++,Zee TV,"98,621",43M,"41,544,259,461"
9th,A++,Juguetes con Andre,691,5.17M,"2,355,149,027"
10th,A++,Vlad and Nikita,219,37.7M,"18,074,055,450"
11th,A++,SAB TV,"23,812",29.4M,"25,597,492,503"
12th,A+,Stubborn Facts,177,12.6M,"482,759,111"
13th,A+,Peppa Pig - Official Channel,863,15.1M,"9,301,030,465"
14th,A+,Zee Telugu,"80,636",6.75M,"4,723,120,130"
15th,A+,Al Jazeera Arabic قناة الج�…,"118,070",5.93M,"2,349,293,455"
16th,A+,Bad Bunny,60,24.1M,"7,438,434,195"
17th,A+,턱형 (GOD-TUK),495,1.36M,"410,537,137"
18th,A+,El Reino Infantil,846,32.1M,"28,927,800,632"
19th,A+,WWE,"47,028",57.4M,"41,299,497,565"
20th,A+,Sony PAL,"11,722",10.4M,"5,190,835,062"
21st,A+,Little Baby Bum - Nursery Rhymes &…,"1,165",27.2M,"24,186,464,499"
22nd,A+,shfa,496,19.5M,"7,999,226,575"
23rd,A+,BabyBus - Nursery Rhymes,"1,372",14.9M,"9,254,982,588"
24th,A+,shfa2 - شفا,435,17.9M,"7,083,270,105"
25th,A+,one31,"86,560",22.4M,"17,456,404,522"
26th,A+,Zee Music Company,"4,693",53.1M,"25,075,527,967"
27th,A+,ABS-CBN Entertainment,"139,619",26.3M,"35,089,095,622"
28th,A+,LooLoo Kids - Nursery Rhymes and C…,453,26.9M,"11,555,068,104"
29th,A+,Ryan's World,"1,689",24.6M,"37,867,722,869"
30th,A+,VladTeeVee,381,2.11M,"338,560,498"
31st,A+,SaSa Family Vlog,15,1.28M,"156,799"
32nd,A+,Little Angel: Nursery Rhymes & Kid…,959,12.6M,"7,075,874,792"
33rd,A+,Wave Music,"17,830",33.2M,"22,463,495,723"
34th,A+,VGK,19,1.03M,"292,557,914"
35th,A+,Toys and Colors,411,20.4M,"14,526,056,016"
36th,A+,YRF,"3,766",29.6M,"15,934,227,900"
37th,A+,Sesame Street,"2,982",14.8M,"12,205,429,246"
38th,A+,Shemaroo Filmi Gaane,"6,782",34.4M,"16,498,917,335"
39th,A+,Odia E News,"1,466",838K,"265,026,133"
40th,A+,Long & Junior,67,257K,"284,553,603"
41st,A+,Super Simple Songs - Kids Songs,498,21.8M,"19,368,654,434"
42nd,A+,infobells - Tamil,324,13.1M,"6,270,775,518"
43rd,A+,Onyx Family,496,2.68M,"1,410,977,311"
44th,A+,For Kids Español,59,1.64M,"271,490,587"
45th,A+,Colors TV,"37,912",24.1M,"17,936,052,785"
46th,A+,TVI,"16,969",1.6M,"789,910,928"
47th,A+,BeautyPlus,172,1.11M,"229,176,874"
48th,A+,Aaj Tak,"101,967",33.5M,"10,168,297,152"
49th,A+,Pinkfong! Kids' Songs & Stories,"1,532",31.8M,"13,387,428,540"
50th,A+,GMA Network,"85,123",15.8M,"15,881,486,912"
51st,A+,netd müzik,"12,381",16.8M,"34,932,493,527"
52nd,A+,LUCCAS NETO - LUCCAS TOON,941,29.8M,"10,453,737,557"
53rd,A+,WorkpointOfficial,"43,307",28.4M,"24,557,600,762"
54th,A+,ChuChu TV Nursery Rhymes & Kids So…,353,33.5M,"21,642,455,152"
55th,A+,Aditya Music,"16,668",12.8M,"8,633,485,603"
56th,A+,Like Nastya Show,298,27.6M,"10,106,091,256"
57th,A+,Kids Play,251,8.48M,"2,775,117,985"
58th,A+,قناة طيور الجنة | toy…,"2,631",18.1M,"14,741,959,055"
59th,A+,व्लाद और निक�…,185,6.77M,"2,425,665,460"
60th,A+,Masha and The Bear,474,13.9M,"5,926,262,618"
61st,NaN,POPS Kids,"7,082",11M,"11,078,524,820"
62nd,A,MUSIC BANGLA TV,328,943K,"227,019,598"
63rd,A,Mother Goose Club Playhouse,987,9.2M,"8,707,824,703"
64th,A,MandaPanda Toy Collector,310,425K,"228,347,944"
65th,A,Speed Records,"8,030",29.4M,"15,091,356,919"
66th,A,Max Steel,42,825K,"188,365"
67th,A,MBCentertainment,"74,049",6.86M,"9,251,564,684"
68th,A,Bollywood Classics,"1,818",15.6M,"8,277,994,542"
