time,GDP,investment R&D,unemployment rate,Total Energy CO2 Emissions,energy consumption,employment rate,health care CPI,consumer price index,exchange rate,Tariff,"Education construction expenditure
",tax,interest rate,"funds ratefederal fund rate
",  Exports of goods and services,  Imports of goods and services/million
2000-02,10002.9,75.76,4.033333333,504.4443333,520.999,64.6,256.8666667,256.6,0.963466667,19.952,5171.666667,133987.0,8.686666667,5.676666667,260656.0,348139.0
2000-05,10247.7,76.836,3.933333333,463.5306667,544.5753333,64.53333333,259.5666667,259.3,0.934266667,21.96,6270.666667,162988.0,9.246666667,6.273333333,269952.0,358120.0
2000-08,10319.8,77.944,4.0,486.9333333,491.5253333,64.2,262.3666667,262.3,0.899666667,21.576,7211.0,126853.0,9.5,6.52,277204.0,371719.0
2000-11,10439.0,79.124,3.9,500.609,477.645,64.3,264.2,264.8,0.888033333,21.004,5967.666667,128084.0,9.5,6.473333333,275151.0,374672.0
2001-02,10472.9,80.352,4.233333333,515.7806667,435.897,64.33333333,268.6666667,268.3,0.912566667,21.864,5241.333333,137649.0,8.623333333,5.593333333,271148.0,368461.0
2001-05,10597.8,81.72,4.4,457.7826667,436.891,63.83333333,271.5666667,271.3666667,0.861333333,20.584,6390.0,164910.0,7.34,4.326666667,262318.0,349085.0
2001-08,10596.3,83.224,4.833333333,479.3046667,426.6106667,63.46666667,274.1666667,274.1,0.9001,19.9,7322.0,127473.0,6.566666667,3.496666667,246592.0,334805.0
2001-11,10660.3,84.88,5.5,468.6946667,420.5906667,63.03333333,276.6333333,277.3,0.895733333,20.196,5818.333333,126664.0,5.156666667,2.133333333,235308.0,323387.0
2002-02,10789.0,87.768,5.7,493.806,453.4303333,62.83333333,280.8666667,280.5333333,0.8663,18.857,5128.333333,129268.0,4.75,1.733333333,238868.0,332208.0
2002-05,10893.2,90.068,5.833333333,461.8376667,516.0926667,62.76666667,284.0,283.7333333,0.941966667,19.813,6373.333333,149347.0,4.75,1.75,248063.0,350785.0
2002-08,10992.1,92.236,5.733333333,487.2823333,475.3426667,62.8,287.2,287.2333333,0.9821,20.564,7339.666667,129452.0,4.75,1.74,250900.0,357286.0
2002-11,11071.5,94.292,5.866666667,493.488,463.84,62.53333333,290.3333333,291.0333333,1.0118,20.517,5909.0,131008.0,4.45,1.443333333,248265.0,366482.0
2003-02,11183.5,96.184,5.866666667,519.6466667,471.5456667,62.46666667,293.5,293.0333333,1.083033333,21.661,5324.333333,131305.0,4.25,1.25,248764.0,373807.0
2003-05,11312.9,98.008,6.133333333,454.6433333,538.5876667,62.33333333,295.4666667,295.1,1.149366667,21.307,6866.0,152533.0,4.24,1.246666667,250369.0,373147.0
