整租 | 优尚公寓直租，近佐阾购物中心大润发，loft一房一厅,优城商务大厦,2680,https://sz.58.com/zufang/43561408828185x.shtml
整租 | 签约立享折扣加减免  近地铁 民水电 精装家私齐 直,创业花园,2199,https://sz.58.com/zufang/44887970583073x.shtml
整租 | 潜龙曼海宁(南区) 1室0厅1卫 2180元月 配套,潜龙曼海宁(南区),2180,https://sz.58.com/zufang/45408895932939x.shtml
整租 | 签约减免一个月，双地铁阳光两房，无中介,龙胜新村,2800,https://sz.58.com/zufang/45000080776346x.shtml
整租 | 蜗居好房~温馨的代名词~简约而不简单~潜龙曼海宁(北,潜龙曼海宁(北区),3200,https://sz.58.com/zufang/45362373431056x.shtml
整租 | 民治地铁站，别墅区停车方便炒鸡安静，2580拎包入住,梅花山庄(别墅),2580,https://sz.58.com/zufang/44491163060877x.shtml
整租 | 大浪商业中心精装两房  大浪华荣路 交通方便 生活配,大浪商业中心,2180,https://sz.58.com/zufang/45330881597477x.shtml
整租 | 小区花园房 带停车月卡 龙华山姆会员店附近龙华公寓带,警备区龙华公寓,2800,https://sz.58.com/zufang/42568861744548x.shtml
整租 | 观湖园旁 超大1室1厅 可办公纯住 停车位充足,康淮物流园,2500,https://sz.58.com/zufang/43516310532642x.shtml
整租 | 民治小区一房带车位！民治地铁口直租  民水民电 带阳,樟坑二区,3900,https://sz.58.com/zufang/44813427472524x.shtml
整租 | 两房2100起，直租，随时可以看房,通博花园,2100,https://sz.58.com/zufang/45521922337465x.shtml
整租 | 4号线 梅林关口 白石龙 二房一厅 它能带给尼温馨的,惠鑫公寓,2980,https://sz.58.com/zufang/43970193920901x.shtml
整租 | 银泉花园二房二厅精装诚心出租,银泉花园,3800,https://sz.58.com/zufang/45505800354578x.shtml
整租 | 观澜佳华领域广场一期  业主诚心出租，家私家电齐全，,佳华领域广场,2600,https://sz.58.com/zufang/45487040492059x.shtml
整租 | 清湖地铁口，近金銮国际，采光好，家私家电齐全，公寓直,富茂新村,3000,https://sz.58.com/zufang/45408696102547x.shtml
整租 | 上丰花园 1室1厅1卫 2000元月 45平 电梯房,上丰花园,2000,https://sz.58.com/zufang/45298064811784x.shtml
整租 | 展滔大厦 牛栏前 U创谷 （两房整租）年底特价 精装,上油松村,2000,https://sz.58.com/zufang/44644159529118x.shtml
整租 | 出租，精装1房1厅，高楼层视野好，家私家电齐全拎包入,百丽名苑,2100,https://sz.58.com/zufang/45472185893639x.shtml
整租 | 龙华公寓大三房拎包入住 松和小学附 可随时看房 民水,警备区龙华公寓,3100,https://sz.58.com/zufang/45508886463931x.shtml
整租 | 龙华壹方天地附近（两室整租）停车.WIFI配套齐全,集瑞楼一区,2000,https://sz.58.com/zufang/44588586575784x.shtml
整租 | 小区房 龙华文化广场 松和小学旁 龙华公寓高层两房,警备区龙华公寓,3200,https://sz.58.com/zufang/45509347847559x.shtml
整租 | 大浪服装基地附近 华联丰大厦精装3房 花园小区 月卡,华联丰大厦,3500,https://sz.58.com/zufang/45516711526178x.shtml
整租 | 鸿华中心 清湖北 三房一厅 押一付一 采光好 随时入,玉翠新村A区,2700,https://sz.58.com/zufang/45453309035653x.shtml
整租 | 民治天虹附近 潜龙学校对面单间降价出租 看房方便,潜龙鑫茂花园(C区),2300,https://sz.58.com/zufang/45322778581932x.shtml
整租 | 地铁口 阳基御龙山 精装俩房  空房出租 看房方便,阳基御龙山,3100,https://sz.58.com/zufang/45486764097432x.shtml
整租 | 4号线清湖北地铁口富联新村近保利悦都清泉小区富士康尚,富联新村,2480,https://sz.58.com/zufang/44622128304032x.shtml
整租 | 三合雅苑 2室1厅1卫,三合雅苑,2600,https://sz.58.com/zufang/45478142881187x.shtml
整租 | 梅林关口 1室1厅1卫,金盈新村,2250,https://sz.58.com/zufang/39549781094931x.shtml
整租 | 金盈新村 4室2厅2卫,水斗新围村,2500,https://sz.58.com/zufang/45532032677519x.shtml
整租 | 水斗新围村 1室1厅1卫,鸿荣源壹成中心花园,2000,https://sz.58.com/zufang/45527500709394x.shtml
单间 | 鸿荣源壹成中心花园 4室1厅2卫 主卧 南,浪口一区,2200,https://sz.58.com/hezu/45454202079010x.shtml
整租 | 浪口一区 2室1厅1卫,金地上塘道(一期),2260,https://sz.58.com/zufang/45451837869235x.shtml
整租 | 金地上塘道(一期) 2室1厅1卫,玉翠新村C区,3600,https://sz.58.com/zufang/45532478887463x.shtml
