整租 | 比佩亚新出便宜好房，家私齐全3800，拎包入住看球场,观澜湖比佩亚大宅,3800,https://sz.58.com/zufang/44367031842727x.shtml,经度,纬度
整租 | 清湖 贤华名苑3房2厅1卫 高楼层 住家装修 租金实,贤华名苑,3600,https://sz.58.com/zufang/44182585542312x.shtml,114.057868,22.543099
整租 | 陶润懿峰 家私齐 （有钥匙随时看房）,陶润懿峰,3200,https://sz.58.com/zufang/44026504783902x.shtml,114.057868,22.543099
整租 | 龙华花半里对面 翠湖名苑小区房 精装2房招租 错过对,翠湖茗苑,2800,https://sz.58.com/zufang/44269662843162x.shtml,114.057868,22.543099
整租 | 6号线大浪站地铁口，步行三份到达，整层大4房，羊台山,宝山新村二区,3800,https://sz.58.com/zufang/44278685913249x.shtml,114.057868,22.543099
整租 | 观澜富士康北大门附近尚品雅居旁边 章阁华庭两房出租,章阁华庭,2000,https://sz.58.com/zufang/44347877217806x.shtml,114.057868,22.543099
整租 | 观澜富士康北门章阁大两房出租,章阁华庭,2000,https://sz.58.com/zufang/44369047550755x.shtml,114.057868,22.543099
整租 | 观澜尚品汇龙章阁中心城高楼层两房拎包入住,章阁中心城,2300,https://sz.58.com/zufang/44378463645446x.shtml,114.057868,22.543099
整租 | 长湖站 家私齐全 拎包入住 业主急租 随时看房,阳基御龙山,3999,https://sz.58.com/zufang/44366696471571x.shtml,114.057868,22.543099
整租 | 民乐翠园，精装三房，看湖风景优美 看房有钥匙,民乐翠园小区,4000,https://sz.58.com/zufang/44389242794378x.shtml,114.057868,22.543099
整租 | 万科九龙山 3室2厅2卫 3900元月 电梯房 精装,万科九龙山,3900,https://sz.58.com/zufang/44335872791060x.shtml,114.057868,22.543099
整租 | 观澜天虹出门轻轨 拎包入住  近美中学校,大和雅苑,2500,https://sz.58.com/zufang/44256186414211x.shtml,114.057868,22.543099
整租 | 阳基御龙山 3室2厅1卫 3500元月 全齐 精装修,阳基御龙山,3500,https://sz.58.com/zufang/44344857382040x.shtml,114.057868,22.543099
整租 | 微棠直租 直达福田 押一付一 近地铁 居家情侣 可做,赤岭头新村,2499,https://sz.58.com/zufang/44367583956363x.shtml,114.057868,22.543099
整租 | 花半里旁边宝湖居，三房出租,清湖宝湖居,4000,https://sz.58.com/zufang/43938418500109x.shtml,114.057868,22.543099
整租 | 深业泰然玫瑰轩 1室0厅1卫 2400元月 地铁口物,深业泰然玫瑰轩,2000,https://sz.58.com/zufang/44278028660766x.shtml,114.057868,22.543099
整租 | 龙华观澜，百丽名苑旁精装2出租，花园小区，免费停车,百丽名苑,2100,https://sz.58.com/zufang/44001557562790x.shtml,114.057868,22.543099
整租 | 6号线大浪站旁，小3房，价格实惠，看房方便,三合二新村,2000,https://sz.58.com/zufang/44278685601188x.shtml,114.057868,22.543099
整租 | 清湖北站小区精装一房一厅 通天然气 有车位 家私齐全,清湖新村,2600,https://sz.58.com/zufang/44378139714853x.shtml,114.057868,22.543099
整租 | 幸福城公寓 1室0厅1卫 2980元月 40平 精装,幸福城公寓,3200,https://sz.58.com/zufang/44323523018015x.shtml,114.057868,22.543099
整租 | 奥宸观壹城 2室2厅1卫 3700元月 南北通透 精,奥宸观壹城,3700,https://sz.58.com/zufang/44345142688908x.shtml,114.057868,22.543099
整租 | 绿茵华庭 2室2厅1卫 3400元月 精装修业主诚心,绿茵华庭,3400,https://sz.58.com/zufang/44388740459400x.shtml,114.057868,22.543099
整租 | 观澜地铁口，振能小学旁，精装修2室，家里齐全 看房方,奥宸观壹城,3300,https://sz.58.com/zufang/44383768236942x.shtml,114.057868,22.543099
整租 | 真实视频清湖铭泉旁小区 DT时代公寓精装欧式风格一房,大唐时代公寓,2800,https://sz.58.com/zufang/44322064316199x.shtml,114.057868,22.543099
整租 | 陶润懿峰 轻轨旁边 观澜河 招商澜园 全齐四房出租,陶润懿峰,4000,https://sz.58.com/zufang/44206017325345x.shtml,114.057868,22.543099
整租 | 龙华4号线地铁旁 美佳华首誉精装两房两卫（随时看房）,美佳华首誉,3800,https://sz.58.com/zufang/44145300695064x.shtml,114.057868,22.543099
整租 | 龙华花半里旁边 清湖宝湖居 3房 价低非常，先到先得,清湖宝湖居,3400,https://sz.58.com/zufang/44071095693576x.shtml,114.057868,22.543099
整租 | 实在价格 清湖电梯豪装修2室清湖铭泉家私齐全急.租,清湖铭泉,3600,https://sz.58.com/zufang/44381244230549x.shtml,114.057868,22.543099
整租 | 比佩亚新出一房，看球场美景，家私齐全，4000火爆招,观澜湖比佩亚大宅,4000,https://sz.58.com/zufang/44268024246300x.shtml,114.057868,22.543099
整租 | 近清湖北 龙华 清湖湾花园 刚需二房  少有挂租,清湖湾花园,3200,https://sz.58.com/zufang/44090897033986x.shtml,114.057868,22.543099
整租 | （真）4号线地铁口，佳华领域广场2房1厅，精装修拎包,佳华领域广场,3550,https://sz.58.com/zufang/44171439639960x.shtml,114.057868,22.543099
整租 | 4号线竹村地铁站！2室2厅1卫！4000元！轻轨口！,陶润懿峰,3800,https://sz.58.com/zufang/44183415643419x.shtml,114.057868,22.543099
整租 | 看高尔夫的精装公寓 全新家私电器拎包住 环境幽雅 地,观澜豪园假日赛维纳,3500,https://sz.58.com/zufang/44382296683280x.shtml,114.057868,22.543099
整租 | 锦绣科学园旁，精装三房如图所见，家私电器齐全，拎包入,观汇御景,2800,https://sz.58.com/zufang/44094789558304x.shtml,114.057868,22.543099
整租 | 观澜尚品汇龙章阁华庭大两房采光好,章阁华庭,2000,https://sz.58.com/zufang/43860461610898x.shtml,114.057868,22.543099
整租 | 龙华清湖湾花园（花半里旁）精装两房 家私电器齐全 实,清湖湾花园,3500,https://sz.58.com/zufang/44348283673985x.shtml,114.057868,22.543099
整租 | 小区性价比排第1 龙华清湖湾花园（花半里旁）两房 实,清湖湾花园,3200,https://sz.58.com/zufang/44214613127968x.shtml,114.057868,22.543099
整租 | 龙华西坑地铁旁 美佳华首誉 全齐两房两卫 随时看房合,美佳华首誉,3600,https://sz.58.com/zufang/44190539337000x.shtml,114.057868,22.543099
整租 | 华盛峰荟 地铁公寓 家私齐全 随时可以看房,华盛峰荟名庭,2600,https://sz.58.com/zufang/44335242297351x.shtml,114.057868,22.543099
整租 | 标准三房中间楼层 大阳台朝南采光好 可拎包入住,丰润花园,3900,https://sz.58.com/zufang/44245067879319x.shtml,114.057868,22.543099
整租 | 白石龙地铁口 玖龙绘 精装一室一厅家电全齐急租 拎包,中航阳光新苑,2580,https://sz.58.com/zufang/44280205145755x.shtml,114.057868,22.543099
整租 | 东二村 2室1厅1卫,东二村,2000,https://sz.58.com/zufang/43980803046024x.shtml,114.057868,22.543099
整租 | 民乐一区 2室1厅1卫,莱蒙水榭春天,3500,https://sz.58.com/zufang/31274709959117x.shtml,114.057868,22.543099
整租 | 红山地铁口 莱蒙水榭小区 一室一厅户型方正家电全齐,上丰花园,2350,https://sz.58.com/zufang/44179587050497x.shtml,114.057868,22.543099
整租 | 房东自己租的120平超大两房 现搬新居拿出来贱租,湖润名苑,3500,https://sz.58.com/zufang/44357284876818x.shtml,114.057868,22.543099
整租 | 湖润名苑 一房一厅 大水坑市场对面花园小区 看房致电,龙胜新村,2000,https://sz.58.com/zufang/43405161377545x.shtml,114.057868,22.543099
整租 | 龙胜新村 2室1厅1卫,富联新村,2600,https://sz.58.com/zufang/44159923638679x.shtml,114.057868,22.543099
整租 | 富联新村 1室 1厅1卫,民乐澳门新村,2000,https://sz.58.com/zufang/44316541943300x.shtml,114.057868,22.543099
整租 | 白石龙地铁口 澳门新村精装电梯高楼两房采光好空房直租,港铁天颂,2800,https://sz.58.com/zufang/44069853943585x.shtml,114.057868,22.543099
单间 | 直达福田 龙胜地铁口 品质小区 家电齐全拎包入住 可,陶润懿峰,2380,https://sz.58.com/hezu/44169653650071x.shtml,114.057868,22.543099
整租 | 复式公寓 业主诚租 近轻轨 室内温馨 次新小区 陶润,元芬金园大厦,3900,https://sz.58.com/zufang/44233954190886x.shtml,114.057868,22.543099
整租 | 元芬 精装超大复式两房 无中介实图实价拒绝假图节约你,苹果园,2999,https://sz.58.com/zufang/44192103789347x.shtml,114.057868,22.543099
整租 | 苹果园精装两房 情侣房间,中航阳光新苑,2800,https://sz.58.com/zufang/44333672358662x.shtml,114.057868,22.543099
整租 | 中航阳光新苑 1室1厅1卫,油园新村,2900,https://sz.58.com/zufang/44389564123265x.shtml,114.057868,22.543099
整租 | 近天汇大厦 壹方城上班方便 精装配齐 电梯房随时可看,武馆村,2500,https://sz.58.com/zufang/44344770340259x.shtml,114.057868,22.543099
整租 | 观澜二小对面武馆村三房出租 长湖地铁口 福城天虹 采,逸秀新村,2200,https://sz.58.com/zufang/44167782175889x.shtml,114.057868,22.543099
整租 | 免租一个月复式白石龙一房一厅租房押一付一民乐微棠近地,美满园,2380,https://sz.58.com/zufang/44348668790029x.shtml,114.057868,22.543099
整租 | 美满园 2室 1厅1卫,沙元埔村,2800,https://sz.58.com/zufang/44389553353737x.shtml,114.057868,22.543099
整租 | 沙元埔村 1室1厅1卫  精装修 电梯房,元芬新村,2020,https://sz.58.com/zufang/43852419768205x.shtml,114.057868,22.543099
整租 | 免中介 整租两房 精装修拎包入住 家私齐全 民水民电,龙军花园,2999,https://sz.58.com/zufang/44380831263254x.shtml,114.057868,22.543099
整租 | 龙胜地铁口精装大2房.依山傍水 家私家电齐全，拎包入,翔源阁,3800,https://sz.58.com/zufang/43762318843786x.shtml,114.057868,22.543099
整租 | 翔源阁 3室2厅1卫,下早新村,3680,https://sz.58.com/zufang/44329109008150x.shtml,114.057868,22.543099
整租 | 龙华区大浪六号线云芬站台统建房捷殷汉庭精装俩房出租2,元芬新村,2750,https://sz.58.com/zufang/43684375763737x.shtml,114.057868,22.543099
整租 | 龙胜 元芬双地铁 近元芬小学，电梯精装修两房一厅，拎,美佳华首誉,2200,https://sz.58.com/zufang/43995798269986x.shtml,114.057868,22.543099
整租 | 地铁口！美佳华首誉 ！2室2厅2卫 ！3600元月,大水坑三村,3600,https://sz.58.com/zufang/44256660329640x.shtml,114.057868,22.543099
整租 | 大水坑三村 3室1厅1卫,樟坑一区2栋小区,2500,https://sz.58.com/zufang/44389522756128x.shtml,114.057868,22.543099
整租 | 民治地铁站樟坑一区 2室1厅1卫,科苑观澜,2500,https://sz.58.com/zufang/43836668175521x.shtml,114.057868,22.543099
整租 | 大公园旁，近轻轨站，龙外附近，高楼层，视野开阔,特发和平里(一期),3800,https://sz.58.com/zufang/43769523055140x.shtml,114.057868,22.543099
整租 | 龙胜地铁口特发和平里套房出租 精装修,创业花园,3500,https://sz.58.com/zufang/44234681893509x.shtml,114.057868,22.543099
整租 | 展华实验学校-小学部 2室1厅1卫,元芬村,2600,https://sz.58.com/zufang/33546284437316x.shtml,114.057868,22.543099
整租 | 46号线红山站，近福田，采光又通透，温馨精装入住,东泉新村,2000,https://sz.58.com/zufang/44348628278949x.shtml,114.057868,22.543099
整租 | 元芬地铁300米 电梯高楼层居家必备 格局精美喜欢的,南源新村,3000,https://sz.58.com/zufang/44237985243664x.shtml,114.057868,22.543099
整租 | 东泉新村    一房一厅 可押一付一  可随时看房,银泉花园,2000,https://sz.58.com/zufang/44358411441687x.shtml,114.057868,22.543099
整租 | 南源新村 2室 1厅1卫,富联新村,3650,https://sz.58.com/zufang/44389411732245x.shtml,114.057868,22.543099
