管理级别,排放去向,站点编码,所属区域,所属行业,站点名称,组织机构代码,企业名称
3,,33330109023481,330109,电镀,排放口,913301097471583834,杭州百盛电镀有限公司
3,,33330199103211,330162,化工,排放口,913301007272191426,杭州金丰环保科技有限公司
3,,33330185000191,330185,污水处理厂,标排口,913301857252545697,杭州临安排水有限公司
3,,33331082000511,331082,医药,1#排口,91331082147955098C,临海市建新化工有限公司
3,,33330501000021,330562,污水处理厂,总排口,913305001470538522,湖州市水务集团有限公司小梅口
3,,33331023000251,331023,污水处理厂,1#排口,91331023MA28GLY17C,浙江天台建投水务有限公司（苍山污水处理厂）
3,,33330664000081,330662,医药,5#雨排口,33066400004,浙江昌海生物有限公司
3,,33330782011371,330782,电镀,标排口,91330782609789005D,义乌市森美电镀有限公司
3,,33330183003501,330111,造纸,废水排放口,91330183747198094B,杭州富阳顶点纸业有限公司
3,,33331082000531,331082,化工,1#排口,913310827896655945,浙江长雄塑料有限公司
3,,33330283000171,330283,电镀,标排口,9133028375325470XC,宁波奉化明州镀业有限公司
3,,33330825000151,330825,污水处理厂,废水标排口,91330825147802841B,龙游县华水水业发展有限公司污水处理中心（城镇（原名为龙游县城市污水处理有限公司)
3,,33330621000161,330603,纺织染整,标排口,913306217410334593,绍兴县美得宝印染有限公司
3,,33330104000221,330104,医药,总排口,91330104MA27X0QB2Y,浙江惠松制药有限公司江干分公司
3,,33330802000171,330861,金属加工,标排口,913308007498196085,衢州元立金属制品有限公司（废水）
3,,33330682001421,330604,医药,标排口,913306046970176299,浙江晖石药业有限公司
3,,33330903301701,330903,污水处理厂,标排口,91330105552658783A,桃花镇公前集镇区生活污水处理厂
3,,33330185010451,330185,造纸,标排口,9133018571953453X1,临安市万利纸业有限公司
3,,33330621006222,330603,垃圾焚烧,1#烟囱,91330621MA2889NL4H,绍兴市再生能源发展有限公司
3,,33330503100511,330503,纺织染整,标排口,91330503736027636X,浙江湖州梅月针织有限公司
3,,33331003000251,331003,纺织染整,1#排口,91331003719504250F,黄岩宏图印染织厂
3,,33330282120061,330282,造纸,排口,91330282MA2AGLGKX5,宁波市禹顺纸业有限公司
3,,33330304000191,330304,纺织染整,标准排放口,92330304MA2BREL263,温州市瓯海瞿溪千华服装加工场
3,,33330803000131,330803,化工,标排口,91330803147771344Q,浙江圣效化学品有限公司
3,,33330621006081,330603,化工,排放口,913306217530308455,浙江海成化工有限公司
3,,33330226000431,330226,电镀,标排口,913302262543711436,宁波雪银铝业有限公司
3,,33330183003041,330111,造纸,废水标排口,3301830304,杭州先进特种纸业有限公司
3,,33330199000951,330162,污水处理厂,污水总排放口,91330109743490047F,杭州萧山污水处理有限公司（临江污水厂）
3,,33331021000501,331021,污水处理厂,1#排口,91331021MA28GB5C5M,玉环市滨港工业城污水处理厂
3,,33330922888011,330922,污水处理厂,标排口,91330922MA28K3H2XP,嵊泗县嵊山镇污水处理有限公司
3,,33330183002831,330111,造纸,废水排放口,913301837494941456,杭州富阳荣利达纸业有限公司
3,,33330183000291,330111,造纸,废水排放口,91330183751738655A,浙江华鑫纸业有限公司
3,,33330522000261,330522,纺织染整,标排口,913305001471567398,浙江新天龙科技股份有限公司
3,,33330122000111,330122,污水处理厂,标排口,91330122MA2AX2L416,桐庐紫光水务有限公司
3,,33330183003631,330111,造纸,废水标排口,3301830363,富阳宏大纸业有限公司
3,,33330621005022,330603,热电,铁烟囱,91330621609663445A,浙江沪光热电有限公司
3,,33330861000882,330861,垃圾焚烧,2#烟囱排放口,91330800MA29TH3Y08,光大环保能源（衢州）有限公司
3,,33330822000011,330822,化工,标排口,70461417-4,浙江省常山化工有限责任公司
3,,33330411011581,330411,污水处理厂,排放口,9133041159058763XE,嘉兴市闻源水务投资有限公司荷花1#污水处理站
3,,33331082000054,331082,医药,1#VOC排口,913310007360300342,浙江先锋科技股份有限公司
3,,33331082000671,331082,重金属,1#排口,91331082732405476A,台州市恒光电镀有限公司
3,,33330681011001,330681,重金属,总排放口,91330681146213172U,浙江云雾山矿业有限公司
3,,33330621000141,330603,纺织染整,标排口,91330621136046378N,绍兴花为媒印染有限公司
3,,33330281000201,330281,电镀,1#排口,91330281711179481C,宁波华信电镀科技有限公司
3,,33330401010911,330462,纺织染整,总排口,75592776-0(00),浙江文娜针织有限公司
3,,33330781003071,330781,污水处理厂,标排口,11330781779391120W,兰溪市马涧镇污水处理厂
3,,33330603001011,330661,纺织染整,总排口,91330600MA29E1JY78,绍兴洁蕊印染有限公司
3,,33330381000301,330381,纺织染整,标准排放口,913303813229754928,瑞安市弘富化纤有限公司(瑞安市洪泰化纤有限公司)
