,1#,浙江众发实业有限公司
皮革,标排口,湖州江南恒盛炼染有限公司
皮革,入管网口,海宁市团结炼染有限责任公司
皮革,1#,奉化市明州镀业有限公司
皮革,标排口1#,浙江博星电子有限公司
皮革,标排口,浙江隆泰颐和工贸有限公司
垃圾焚烧,2号炉,苍南伟明环保能源有限公司
皮革,排污口,武义伟明环保能源有限公司
皮革,排污口,浙江武义神龙浮选有限公司
皮革,标排口1#,缙云县同泰金属表面处理厂
皮革,标排口1#,松阳县城市污水处理厂
,2#标排口,浙江三维橡胶制品股份有限公司
皮革,排放口,杭州萧山富强实业有限公司
皮革,总排口,浙江永祥合成材料有限公司
皮革,标排口,浙江宏盛纸业有限公司(包括银利)
皮革,标排口1#,杭州东达电子有限公司
皮革,排放口,杭州舒尔姿氨纶有限公司
,1#,丽水市民康医疗废物处理有限公司
皮革,标排口1#,浙江君鸿机械有限公司
锅炉,废气排放口,衢州英博国光啤酒有限公司
皮革,标排口,玉环县耀强电镀有限公司
皮革,废水排放口,浙江龙游李子园食品有限公司
,废气排放口,浙江华昌纺织有限公司
皮革,标排口1#,松阳金山矿业有限公司
,废气排放口,桐昆集团浙江恒通化纤有限公司
,排放口,浙江红利集团有限公司
皮革,标排口,绍兴县齐鑫纺织印染有限公司
皮革,标排口,高亭环海经济开发区公司污水处理厂
皮革,排放口,杭州萧山新欣羽绒制品有限公司
皮革,标排口,杭州富阳市灵泰纸业有限公司
皮革,标排口,格林生物科技股份有限公司
皮革,标排口,浙江永康弘福工贸有限公司
皮革,排放口,绍兴南燕染整有限公司
皮革,标排口,浙江新富来实业有限公司
皮革,总排口,诸暨民意针织有限公司
皮革,标排口,苍南县嘉隆塑料有限公司
皮革,总排放口,浙江正泰太阳能科技有限公司
火电,6号炉,浙江浙能温州发电有限公司
皮革,废水排放口,浙江衢州建橙有机硅有限公司
皮革,标准排放口,温州圣博宠物用品有限公司
火电,二电站1#,中国石油化工股份有限公司镇海炼化分公司
皮革,标排口,绍兴四达印染厂
皮革,标排口1#,临安市恒泰电子有限公司
,标排口2#,舟山市纳海固体废物集中处置有限公司
皮革,纳管口,浙江华鑫化纤有限公司
锅炉,标排口1#,杭州立佳环境服务有限公司
皮革,总排口,海宁市鸿翔染色有限责任公司
皮革,排水明渠,象山中节能泰来环保能源有限公司
皮革,标排口,临安佳有电子有限公司
皮革,总排口,浙江豪博化工有限公司
皮革,标排口,杭州富阳立新纸业有限公司
皮革,标排口,宁波奥威尔轮毂有限公司
皮革,总排口,绍兴县华利印染有限公司
皮革,标排口,绍兴市上虞区环境卫生管理中心蟠龙岙垃圾填埋场
皮革,标排口,杭州华丝夏莎纺织科技有限公司
皮革,污水总排放口,杭州科利化工有限公司
皮革,标排口,浙江东峰制冷配件有限公司
皮革,标排口,玉环县陈屿五金电镀厂
皮革,1#,杭州余杭环科污水处理有限公司
皮革,标排口,浦江水晶集聚园区（南部）
皮革,标排口,杭州禾新化工有限公司
皮革,排放口,杭州全通羽绒制品有限公司
皮革,标排口,浙江乐高印染有限公司
锅炉,排放口1#,荣盛石化股份有限公司
皮革,标排口,杭州下沙生物科技有限公司
,废气排放口,丽水市青山环保科技有限公司
皮革,入管网口,诸暨皇汇电子网板有限公司
皮革,标排口,宁波市凯诚环保科技有限公司
,杭州南方建材有限公司,杭州南方建材有限公司
皮革,总排口,亚泰制革有限公司
垃圾焚烧,1#标排口,临海市伟明环保能源有限公司
皮革,标排口,浙江欧美环境工程有限公司
皮革,标排口1,慈溪市顺达实业有限公司
热电,2#标排口,浙江海联热电股份有限公司
皮革,标准排放口,浙江温州特鲁莱发电有限责任公司
,废气排放口,温州杭钢水务有限公司（温州中心片污水处理厂）
皮革,标排口,浙江巴陵恒逸己内酰胺有限责任公司
皮革,标排口1,慈溪市华星化纤有限公司
皮革,总排口,德清县华宝丝业有限公司
,废气排放口,浙江瑞华化工有限公司
锅炉,1#高炉出铁场除尘排放口,宁波钢铁有限公司
热电,1#废气排放口,湖州织里长和热电有限公司
皮革,标排口1#,临安鹏辉电子厂
热电,烟囱,浙江誉华集团湖州印染有限公司
皮革,1#,衢州煜森包装材料有限公司
皮革,标排口,宁波市奉化万盛盛水洗厂
皮革,入管网口,海宁市郭店化工二厂
皮革,标排口,丽水缙庆金属制造有限公司
皮革,标排口,金华市百事达机械有限公司
皮革,标排口,浙江世风机械有限公司
皮革,1#排放口,浙江新纪化工有限公司
皮革,纳管口,绍兴八方纺织有限公司
皮革,纳管口,嘉兴金燕化工有限公司
皮革,总排口,嵊州市华越表面处理厂
皮革,标排口1#,景宁畲族自治县供排水有限公司（外舍）
,硫磺回收废气排放口,中海石油舟山石化有限公司
皮革,标排口,隆中控股集团有限公司
皮革,1#,巨化集团公司锦纶厂
皮革,纳管口,嘉兴奥斯卡染整有限公司
,废气排放口窑头,兰溪南方水泥有限公司
皮革,废水排放口,浙江开关厂有限公司
皮革,标排口,绍兴茂盛化纤纺织有限公司
皮革,一二期进水口,海宁紫薇水务有限责任公司
皮革,总排口,新昌大立油缸制造有限公司
皮革,标排口1#,浙江力邦制革有限公司
皮革,标排口,浙江维泰橡胶有限公司
皮革,废水排放口,宁波东亚电路板有限公司
皮革,标准排放口,华峰集团有限公司（原浙江华峰新材料股份有限公司）
皮革,污水总排口,丽水市神州布业有限公司
皮革,标排口,绍兴英吉利印染有限公司
皮革,废水排放口,宁波杭州湾新区创艺长毛绒有限公司
皮革,标排口,桐庐窄溪滚镀厂
热电,标排口,浙江华川深能环保有限公司
皮革,入管网口,海宁市群乐丝绸印染有限公司
