所属行业,站点名称,企业名称,经纬度
皮革,标排口,湖州江南恒盛炼染有限公司,"120.269333,30.715935"
皮革,入管网口,海宁市团结炼染有限责任公司,"120.362707,30.435491"
皮革,1#,奉化市明州镀业有限公司,"121.458695,29.763797"
垃圾焚烧,2号炉,苍南伟明环保能源有限公司,"120.704031,27.715946"
皮革,排污口,武义伟明环保能源有限公司,"119.804461,28.971300"
皮革,排污口,浙江武义神龙浮选有限公司,"119.816318,28.892721"
皮革,标排口1#,缙云县同泰金属表面处理厂,"120.085938,28.749641"
皮革,标排口1#,松阳县城市污水处理厂,"119.482015,28.449171"
皮革,排放口,杭州萧山富强实业有限公司,"120.314896,30.143986"
皮革,总排口,浙江永祥合成材料有限公司,"120.495870,30.271219"
皮革,标排口,浙江宏盛纸业有限公司(包括银利),"119.979114,30.014436"
皮革,标排口1#,杭州东达电子有限公司,"119.690284,30.208198"
皮革,排放口,杭州舒尔姿氨纶有限公司,"120.420676,30.157832"
,1#,丽水市民康医疗废物处理有限公司,"119.842850,28.358959"
锅炉,废气排放口,衢州英博国光啤酒有限公司,"118.902271,28.942964"
皮革,标排口,玉环县耀强电镀有限公司,"121.291597,28.101692"
皮革,废水排放口,浙江龙游李子园食品有限公司,"119.228554,29.093866"
,排放口,浙江红利集团有限公司,"120.387321,30.230727"
皮革,标排口,绍兴县齐鑫纺织印染有限公司,"106.912216,29.264477"
皮革,标排口,高亭环海经济开发区公司污水处理厂,"121.969841,30.316074"
皮革,排放口,杭州萧山新欣羽绒制品有限公司,"120.301073,30.144637"
皮革,标排口,杭州富阳市灵泰纸业有限公司,"120.028787,30.034158"
皮革,标排口,格林生物科技股份有限公司,"119.468224,29.522091"
皮革,标排口,浙江永康弘福工贸有限公司,"120.027852,29.011030"
皮革,排放口,绍兴南燕染整有限公司,"120.650808,30.156463"
皮革,标排口,浙江新富来实业有限公司,"120.517313,30.312383"
皮革,总排口,诸暨民意针织有限公司,"120.189638,29.741400"
皮革,标排口,苍南县嘉隆塑料有限公司,"120.564060,27.484279"
皮革,总排放口,浙江正泰太阳能科技有限公司,"120.169557,30.182471"
火电,6号炉,浙江浙能温州发电有限公司,"120.834900,27.990700"
皮革,废水排放口,浙江衢州建橙有机硅有限公司,"118.856358,28.890347"
皮革,标准排放口,温州圣博宠物用品有限公司,"120.359860,27.690800"
火电,二电站1#,中国石油化工股份有限公司镇海炼化分公司,"121.666911,29.973934"
皮革,标排口,绍兴四达印染厂,"120.552780,30.103760"
皮革,标排口1#,临安市恒泰电子有限公司,"119.206425,30.166083"
,标排口2#,舟山市纳海固体废物集中处置有限公司,"121.968990,30.125851"
锅炉,标排口1#,杭州立佳环境服务有限公司,"120.223135,30.396904"
皮革,总排口,海宁市鸿翔染色有限责任公司,"120.680311,30.469745"
皮革,排水明渠,象山中节能泰来环保能源有限公司,"121.883808,29.474231"
皮革,标排口,临安佳有电子有限公司,"119.496042,30.195735"
皮革,标排口,杭州富阳立新纸业有限公司,"119.738773,30.020006"
皮革,标排口,宁波奥威尔轮毂有限公司,"121.762992,29.893138"
皮革,总排口,绍兴县华利印染有限公司,"113.757454,23.032223"
皮革,标排口,绍兴市上虞区环境卫生管理中心蟠龙岙垃圾填埋场,"120.886530,30.027914"
皮革,标排口,杭州华丝夏莎纺织科技有限公司,"120.339224,30.282709"
皮革,污水总排放口,杭州科利化工有限公司,"120.259909,30.198918"
皮革,标排口,浙江东峰制冷配件有限公司,"120.324769,30.310883"
皮革,标排口,玉环县陈屿五金电镀厂,"121.355989,28.578843"
皮革,1#,杭州余杭环科污水处理有限公司,"120.304187,30.444732"
皮革,标排口,浦江水晶集聚园区（南部）,"119.892726,29.450159"
皮革,标排口,杭州禾新化工有限公司,"120.398180,30.260341"
皮革,排放口,杭州全通羽绒制品有限公司,"120.325860,30.150718"
锅炉,排放口1#,荣盛石化股份有限公司,"112.476860,23.048264"
皮革,标排口,杭州下沙生物科技有限公司,"120.328194,30.283990"
,废气排放口,丽水市青山环保科技有限公司,"119.842489,28.359615"
皮革,入管网口,诸暨皇汇电子网板有限公司,"120.214088,29.720988"
皮革,标排口,宁波市凯诚环保科技有限公司,"121.076446,30.266104"
,杭州南方建材有限公司,杭州南方建材有限公司,"119.745523,29.891300"
皮革,总排口,亚泰制革有限公司,"116.431793,39.953072"
垃圾焚烧,1#标排口,临海市伟明环保能源有限公司,"121.213740,28.815783"
皮革,标排口1,慈溪市顺达实业有限公司,"121.387415,30.182917"
热电,2#标排口,浙江海联热电股份有限公司,"120.298120,30.435933"
皮革,标准排放口,浙江温州特鲁莱发电有限责任公司,"120.834779,27.990610"
,废气排放口,温州杭钢水务有限公司（温州中心片污水处理厂）,"120.689112,27.981186"
皮革,标排口,浙江巴陵恒逸己内酰胺有限责任公司,"120.683437,30.265414"
皮革,标排口1,慈溪市华星化纤有限公司,"121.492980,30.100959"
皮革,总排口,德清县华宝丝业有限公司,"120.074373,30.540060"
锅炉,1#高炉出铁场除尘排放口,宁波钢铁有限公司,"121.883031,29.899045"
热电,1#废气排放口,湖州织里长和热电有限公司,"120.233329,30.876698"
皮革,标排口1#,临安鹏辉电子厂,"119.619930,30.265856"
热电,烟囱,浙江誉华集团湖州印染有限公司,"120.124818,30.884268"
皮革,标排口,宁波市奉化万盛盛水洗厂,"121.550357,29.874556"
皮革,入管网口,海宁市郭店化工二厂,"120.548314,30.467492"
皮革,标排口,金华市百事达机械有限公司,"119.554339,29.079594"
皮革,纳管口,绍兴八方纺织有限公司,"120.566908,30.098338"
皮革,纳管口,嘉兴金燕化工有限公司,"121.044901,30.608792"
皮革,总排口,嵊州市华越表面处理厂,"120.831025,29.561410"
皮革,标排口1#,景宁畲族自治县供排水有限公司（外舍）,"119.658491,27.956809"
,硫磺回收废气排放口,中海石油舟山石化有限公司,"122.095838,30.116189"
皮革,标排口,隆中控股集团有限公司,"112.087997,32.007469"
皮革,1#,巨化集团公司锦纶厂,"112.761185,37.706955"
皮革,纳管口,嘉兴奥斯卡染整有限公司,"120.895518,30.736156"
,废气排放口窑头,兰溪南方水泥有限公司,"119.513261,29.200324"
皮革,一二期进水口,海宁紫薇水务有限责任公司,"120.685987,30.504591"
皮革,总排口,新昌大立油缸制造有限公司,"120.957817,29.482158"
皮革,废水排放口,宁波东亚电路板有限公司,"121.818633,29.918846"
皮革,标准排放口,华峰集团有限公司（原浙江华峰新材料股份有限公司）,"120.643111,30.240488"
皮革,污水总排口,丽水市神州布业有限公司,"119.837683,28.396239"
皮革,标排口,绍兴英吉利印染有限公司,"120.703235,30.217017"
皮革,废水排放口,宁波杭州湾新区创艺长毛绒有限公司,"121.302081,30.302635"
皮革,标排口,桐庐窄溪滚镀厂,"119.761616,29.836469"
皮革,入管网口,海宁市群乐丝绸印染有限公司,"120.788889,30.353251"
皮革,标排口,金华帅达毛纺织品有限公司,"119.906090,29.248231"
皮革,雨水口,武义县弘润工贸有限公司,"119.816318,28.892721"
皮革,排放口,杭州欣阳三友精细化工有限公司,"120.400550,30.263014"
,总排口,绍兴中成热电有限公司一分厂,"120.628388,30.086423"
,2#废气排放口,临安龙正节能环保科技有限公司,"119.481555,30.196755"
皮革,废水排放口,嘉善县翁乐印染厂,"120.839386,30.896366"
皮革,标排口1,宁波合盛服饰有限公司,"121.185209,30.214960"
,1#,兰溪旺能环保能源有限公司,"119.430870,29.289750"
皮革,1#,杭州三星工艺玻璃有限公司,"119.884465,30.388399"
皮革,标排口,台州市布博纺织印染有限公司,"121.464443,28.556752"
,废气排放口,浙江新化化工股份有限公司,"120.152791,30.267446"
皮革,标排口,浦江水晶集聚园区（东部）,"119.892726,29.450159"
,1#废气排放口,平湖旗滨玻璃有限公司,"121.236163,30.687046"
皮革,标排口,浙江华润三九众益制药有限公司,"120.092648,30.164773"
皮革,标排口1#,海宁上塘水务有限公司（原海宁紫薇水务有限责任公司）（长安泵站）,"120.685987,30.504591"
皮革,标排口,浙江天河高新金属材料有限公司,"120.152791,30.267446"
,3#标排口,台州市德长环保有限公司,"121.583940,28.705668"
皮革,标排口,东阳市红染针织有限公司,"120.212778,29.290256"
皮革,废水排放口,嘉兴和新精冲有限公司,"120.965673,30.869366"
皮革,窨井,老城纳污干管,"112.482208,34.685792"
皮革,总排口,丽水市富泰革基布有限公司,"119.848630,28.403530"
皮革,标排口,温州鸿升集团有限公司,"120.782797,27.823729"
皮革,标排口,宁波卓成化纤有限公司,"121.598982,30.053754"
皮革,总排口,湖州康力纸业有限公司,"120.281520,30.601885"
,废气排放口,杰森石膏板（嘉兴）有限公司,"121.232203,30.672831"
皮革,1#,桐庐新合电镀制品有限公司,"119.939353,29.696066"
皮革,三期进水口,海宁首创水务有限责任公司,"120.680012,30.395467"
皮革,1#,丽水宾迪实业有限公司,"119.785057,28.345109"
皮革,标排口,杭州金象印染有限公司,"120.178916,30.402327"
皮革,排放口,浙江胜达彩色预印有限公司,"120.195223,29.988790"
皮革,废水,舟山市东兴海洋生物制品有限公司,"122.154905,30.108845"
皮革,标排口1,慈溪市亚太化纤线业有限公司,"121.537194,30.140607"
皮革,废水排放口,宁波竞宏服饰有限公司,"121.596636,29.927135"
垃圾焚烧,1#标排口,台州旺能环保能源有限公司,"121.552467,28.544958"
火电,废气排放口#6,国电浙江北仑第三发电有限公司,"121.844618,29.899044"
纺织染整,标准排放口,温州五合印染有限公司,"120.821000,27.961279"
金属加工,标准排放口,永嘉县中环金属表面处理有限公司,"120.604806,28.047542"
金属加工,标准排放口,温州泽盛科技有限公司,"120.566700,28.115504"
水泥,2#窑尾排放口,湖州南方水泥有限公司,"119.920372,31.022445"
食品加工,标排口,浙江金华市佳乐乳业有限公司,"119.627951,29.058407"
水泥,废气排放口,兰溪南方水泥有限公司,"119.513261,29.200324"
火电,#11机组废气排放口,浙江浙能镇海天然气发电有限责任公司,"121.690679,29.947846"
纺织染整,排放口,宁波三邦线业有限公司,"121.530421,29.837881"
火电,#12机组废气排放口,浙江浙能镇海天然气发电有限责任公司,"121.690679,29.947846"
纺织染整,排放口,绍兴宏晟印染有限公司,"120.682151,30.192668"
