省份名称,省份简称或者是直辖市,现存确诊,累计确诊,治愈,死亡
香港,香港,528,1017,485,4
黑龙江省,黑龙江,388,872,471,13
,境外输入,362,364,2,0
,哈尔滨,26,224,194,4
,双鸭山,0,52,49,3
,绥化,0,47,43,4
,鸡西,0,46,46,0
,齐齐哈尔,0,43,42,1
,大庆,0,26,25,1
,七台河,0,17,17,0
,佳木斯,0,15,15,0
,牡丹江,0,15,15,0
,黑河,0,14,14,0
,鹤岗,0,5,5,0
,大兴安岭,0,3,3,0
,伊春,0,1,1,0
台湾,台湾,234,395,155,6
上海市,上海,132,628,489,7
,境外输入,130,289,159,0
,外地来沪,4,111,107,0
,宝山区,2,22,19,1
,嘉定区,1,9,7,1
,浦东新区,0,61,60,1
,闵行区,0,19,19,0
,徐汇区,0,18,17,1
,静安区,0,16,15,1
,松江区,0,14,14,0
,长宁区,0,13,13,0
,普陀区,0,11,11,0
,杨浦区,0,9,9,0
,奉贤区,0,9,9,0
,虹口区,0,7,7,0
,黄浦区,0,6,6,0
,青浦区,0,6,6,0
,金山区,0,4,4,0
,崇明区,0,4,4,0
,待明确地区,-5,0,3,2
湖北省,湖北,129,67803,64452,3222
,武汉,129,50008,47300,2579
,孝感,0,3518,3389,129
,黄冈,0,2907,2782,125
,荆州,0,1580,1528,52
,鄂州,0,1394,1335,59
,随州,0,1307,1262,45
,襄阳,0,1175,1135,40
,黄石,0,1015,976,39
,宜昌,0,931,894,37
,荆门,0,928,887,41
,咸宁,0,836,821,15
,十堰,0,672,664,8
,仙桃,0,575,553,22
,天门,0,496,481,15
,恩施州,0,252,245,7
,潜江,0,198,189,9
,神农架林区,0,11,11,0
广东省,广东,94,1577,1475,8
,广州,49,499,449,1
,深圳,27,459,429,3
,佛山,12,98,86,0
,珠海,3,103,99,1
,揭阳,3,11,8,0
,江门,1,24,23,0
,湛江,1,24,23,0
,肇庆,1,20,18,1
,梅州,1,17,16,0
,潮州,1,6,5,0
,河源,1,5,4,0
,东莞,0,100,99,1
,中山,0,68,68,0
,惠州,0,62,62,0
,汕头,0,26,26,0
,阳江,0,14,14,0
,茂名,0,14,14,0
,清远,0,12,12,0
,韶关,0,10,9,1
,汕尾,0,5,5,0
,待明确地区,-6,0,6,0
内蒙古自治区,内蒙古,89,193,103,1
,境外输入人员,89,118,29,0
,鄂尔多斯,0,11,11,0
,包头,0,11,11,0
,赤峰,0,9,9,0
,锡林郭勒盟,0,9,9,0
,巴彦淖尔,0,8,7,1
,呼和浩特,0,7,7,0
,通辽,0,7,7,0
,呼伦贝尔,0,7,7,0
,乌兰察布,0,3,3,0
,乌海市,0,2,2,0
,兴安盟,0,1,1,0
北京市,北京,76,593,509,8
,朝阳区,75,75,0,0
,境外输入,69,174,105,0
,海淀区,64,64,0,0
,西城区,53,53,0,0
,丰台区,40,43,3,0
,大兴区,23,39,16,0
,外地来京,23,25,2,0
,昌平区,19,29,10,0
,通州区,18,19,1,0
,房山区,13,16,3,0
,东城区,13,14,1,0
,怀柔区,7,7,0,0
,密云区,7,7,0,0
,石景山区,5,14,9,0
,门头沟区,1,3,2,0
,延庆区,1,1,0,0
,顺义区,0,10,10,0
,待明确地区,-355,0,347,8
山西省,山西,62,197,135,0
,境外输入,62,64,2,0
,晋中,0,37,37,0
,太原,0,20,20,0
,运城,0,19,19,0
,大同,0,12,12,0
,晋城,0,10,10,0
,长治,0,8,8,0
,朔州,0,8,8,0
,忻州,0,7,7,0
,吕梁,0,6,6,0
,阳泉,0,4,4,0
,临汾,0,2,2,0
澳门,澳门,29,45,16,0
浙江省,浙江,21,1268,1246,1
,境外输入,21,50,29,0
,温州,0,504,503,1
,杭州,0,181,181,0
,宁波,0,157,157,0
,台州,0,146,146,0
,金华,0,55,55,0
,嘉兴,0,46,46,0
,绍兴,0,42,42,0
,省十里丰监狱,0,36,36,0
,丽水,0,17,17,0
,衢州,0,14,14,0
,湖州,0,10,10,0
,舟山,0,10,10,0
山东省,山东,19,787,761,7
,境外输入,15,24,9,0
,青岛,4,65,60,1
,济宁,0,260,260,0
,临沂,0,49,49,0
,济南,0,47,47,0
,烟台,0,47,47,0
,潍坊,0,44,44,0
,威海,0,38,37,1
,聊城,0,38,38,0
,德州,0,37,35,2
,泰安,0,35,33,2
,淄博,0,30,29,1
,枣庄,0,24,24,0
,菏泽,0,18,18,0
,日照,0,16,16,0
,滨州,0,15,15,0
福建省,福建,19,354,334,1
,境外输入人员,19,58,39,0
,福州,0,72,71,1
,莆田,0,56,56,0
,泉州,0,47,47,0
,厦门,0,35,35,0
,宁德,0,26,26,0
,漳州,0,20,20,0
,南平,0,20,20,0
,三明,0,14,14,0
,龙岩,0,6,6,0
天津市,天津,11,186,172,3
,境外输入,11,50,39,0
,宝坻区,0,60,58,2
,河东区,0,15,14,1
,河北区,0,12,12,0
,北辰区,0,6,6,0
,南开区,0,6,6,0
,和平区,0,6,6,0
,外地来津,0,6,6,0
,东丽区,0,4,4,0
,宁河区,0,4,4,0
,河西区,0,4,4,0
,西青区,0,4,4,0
,滨海新区,0,3,3,0
,武清区,0,2,2,0
,红桥区,0,2,2,0
,津南区,0,2,2,0
江苏省,江苏,10,653,643,0
,境外输入,10,22,12,0
,南京,0,93,93,0
,苏州,0,87,87,0
