国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
土耳其,Turkey,65461,74193,7089,1643
伊朗,Iran (Islamic Republic of),20897,77995,52229,4869
印度,India,10824,12759,1515,420
以色列,Israel,9992,12758,2624,142
日本,Japan,8702,9296,404,190
巴基斯坦,Pakistan,5345,6919,1446,128
沙特阿拉伯,Saudi Arabia,5307,6380,990,83
菲律宾,Philippines,4863,5660,435,362
阿联酋,United Arab Emirates,4695,5825,1095,35
印度尼西亚,Indonesia,4472,5516,548,496
新加坡,Singapore,3734,4427,683,10
卡塔尔,Qatar,3298,3711,406,7
韩国,Republic of Korea,2576,10635,7829,230
马来西亚,Malaysia,2332,5182,2766,84
中国,China,1872,83824,78600,3352
科威特,Kuwait,1296,1524,225,3
乌兹别克斯坦,Uzbekstan,1260,1349,85,4
哈萨克斯坦,Kazakhstan,1141,1295,138,16
孟加拉国,Bangladesh,1139,1231,42,50
泰国,Thailand,1033,2672,1593,46
巴林,Bahrain,988,1698,703,7
阿曼,Oman,839,1019,176,4
亚美尼亚,Armenia,820,1135,297,18
阿塞拜疆,Azerbaijan,808,1283,460,15
阿富汗,Afghanistan,725,794,40,29
塞浦路斯,Cyprus,718,735,0,17
黎巴嫩,Lebanon,557,663,85,21
伊拉克,Iraq,498,1434,856,80
吉尔吉斯斯坦,Kyrgyzstan,394,466,67,5
格鲁吉亚,Georgia,259,336,74,3
巴勒斯坦,occupied Palestinian territory,244,308,62,2
斯里兰卡,Sri Lanka,168,238,63,7
约旦,Jordan,136,402,259,7
越南,Vietnam,98,267,169,0
缅甸,Myanmar,79,85,2,4
柬埔寨,Cambodia,72,122,50,0
文莱,Brunei Darussalam,36,136,99,1
叙利亚,Syrian ArabRepublic,26,33,5,2
蒙古,Mongolia,25,30,5,0
老挝,Laos,19,19,0,0
尼泊尔,Nepal,15,16,1,0
马尔代夫,Maldives,7,23,16,0
东帝汶,Tinor-Leste,6,6,0,0
不丹,Bhutan,5,5,0,0
也门共和国,The Republic of Yemen,1,1,0,0
