国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
美国,United States of America,579979,667225,54378,32868
加拿大,Canada,26141,30106,2770,1195
墨西哥,Mexico,5810,6297,1,486
巴拿马,Panama,3475,3574,4,95
多米尼加,Dominican Republic,3425,3614,0,189
波多黎各,Puerto Rico,923,974,0,51
古巴,Cuba,790,814,0,24
哥斯达黎加,Costa Rica,615,618,0,3
洪都拉斯,Honduras,388,419,0,31
危地马拉,Guatemala,175,180,0,5
萨尔瓦多,The Republic of El Salvador,153,159,0,6
马提尼克,Martinique,150,158,0,8
瓜德罗普岛,Guadeloupe,137,145,0,8
特立尼达和多巴哥,Trinidad & Tobago,106,114,0,8
牙买加,Jamaica,100,105,0,5
阿鲁巴,Aruba,92,93,0,1
巴巴多斯,Barbados,68,73,0,5
百慕大,Bermuda,52,57,0,5
开曼群岛,Cayman Islands,52,54,0,2
美属维尔京群岛,United States Virgin Islands,52,53,0,1
荷属圣马丁,Sint Maarten,44,53,0,9
巴哈马,Bahamas,41,49,0,8
海地,The Republic of Haiti,38,41,0,3
圣马丁岛,Saint Martin,33,35,0,2
安提瓜和巴布达,Antigua & Barbuda,21,23,0,2
伯利兹,Belize,16,18,0,2
多米尼克,Dominica,16,16,0,0
圣卢西亚,Saint Lucia,15,15,0,0
格林那达,Grenada,14,14,0,0
圣其茨和尼维斯,Saint Kitts and Nevis,14,14,0,0
库拉索岛,Curaçao,13,14,0,1
圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,12,12,0,0
格陵兰,Greenland,11,11,0,0
蒙特塞拉特,Montserrat,11,11,0,0
特克斯和凯科斯群岛,Turks & Caicos Islands,9,10,0,1
尼加拉瓜,Nicaragua,8,9,0,1
圣巴泰勒米岛,Saint Barthelemy,6,6,0,0
安圭拉,Anguilla,3,3,0,0
英属维尔京群岛,"VirginIslands,British",3,3,0,0
圣皮埃尔和密克隆群岛,Saint Pierre and Miquelon,1,1,0,0
