国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
巴西,Brazil,14475,30425,14026,1924
秘鲁,Peru,8275,10303,1798,230
厄瓜多尔,Ecuador,6969,7858,501,388
智利,Chile,5473,8807,3229,105
哥伦比亚,Colombia,2889,3105,85,131
阿根廷,Argentina,1916,2669,631,122
玻利维亚,Bolivia (Plurinational State of),369,397,0,28
乌拉圭,Uruguay,207,502,286,9
委内瑞拉,Venezuela,184,193,0,9
巴拉圭,Paraguay,136,174,30,8
法属圭亚那,French Guiana,95,95,0,0
圭亚那,Guyana,43,57,8,6
福克兰群岛,Falkland Islands,11,11,0,0
苏里南,Suriname,5,10,4,1
荷兰加勒比地区,"Bonaire, Sint Eustatius and Saba",4,4,0,0
