国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
意大利,Italy,62013,80539,10361,8165
西班牙,Spain,45084,56188,7015,4089
德国,Germany,37271,43211,5678,262
法国,France,22511,29155,4948,1696
瑞士,Switzerland,11647,11811,3,161
英国,The United Kingdom,11059,11772,135,578
荷兰,Netherlands,6997,7431,0,434
奥地利,Austria,6340,6398,9,49
比利时,Belgium,5665,6235,350,220
葡萄牙,Portugal,3462,3544,22,60
挪威,Norway,3301,3315,0,14
瑞典,Sweden,2723,2806,17,66
捷克,Czechia,1905,1925,10,10
丹麦,Denmark,1835,1877,1,41
爱尔兰,Ireland,1800,1819,0,19
卢森堡,Luxembourg,1444,1453,0,9
波兰,Poland,1192,1221,13,16
芬兰,Finland,865,880,10,5
罗马尼亚,Romania,859,907,31,17
希腊,Greece,847,892,19,26
俄罗斯,Russian Federation,800,840,38,2
冰岛,Iceland,744,802,56,2
爱沙尼亚,Estonia,533,538,4,1
斯洛文尼亚,Slovenia,523,528,0,5
塞尔维亚,Serbia,451,457,0,6
克罗地亚,Croatia,436,442,5,1
立陶宛,Lithuania,285,290,1,4
保加利亚,Bulgaria,258,264,3,3
拉脱维亚,Latvia,244,244,0,0
匈牙利,Hungary,223,261,28,10
斯洛伐克,Slovakia,219,226,7,0
安道尔,Andorra,216,220,1,3
圣马力诺,San Marino,185,208,2,21
摩尔多瓦,Republic of Moldova,175,177,1,1
北马其顿,North Macedonia,174,177,1,2
波黑,Bosnia and Herzegovina,171,176,2,3
阿尔巴尼亚,Albania,159,174,10,5
乌克兰,Ukraine,150,156,1,5
法罗群岛,Faroe Islands,132,132,0,0
马耳他,Malta,129,129,0,0
白俄罗斯,Belarus,64,86,22,0
黑山,Montenegro,52,53,0,1
列支敦士登,Liechtenstein,51,51,0,0
摩纳哥,Monaco,32,33,1,0
根西岛,Guernsey,30,30,0,0
直布罗陀,Gibraltar,26,26,0,0
马恩岛,Isle of Man,23,23,0,0
泽西岛,Jersey,18,18,0,0
梵蒂冈,Holy See,4,4,0,0
