国家中文名称,国家英文名称,现存确诊,累计确诊,治愈,死亡
南非,South Africa,926,927,1,0
埃及,Egypt,369,495,102,24
阿尔及利亚,Algeria,330,367,12,25
摩洛哥,Morocco,257,275,8,10
突尼斯,Tunisia,192,197,0,5
布基纳法索,Burkina Faso,135,152,10,7
加纳,Ghana,129,132,0,3
塞内加尔,Senegal,96,105,9,0
留尼旺,Réunion,94,94,0,0
科特迪瓦,Cote d Ivoire,93,96,3,0
毛里求斯,Mauritius,79,81,0,2
喀麦隆,Cameroon,71,75,3,1
尼日利亚,Nigeria,62,65,2,1
卢旺达,Rwanda,50,50,0,0
刚果（金）,Democratic Republic of the Congo,45,51,2,4
马约特,Mayotte,35,35,0,0
肯尼亚,Kenya,29,31,1,1
马达加斯加,Madagascar,23,23,0,0
多哥,Togo,22,23,1,0
赞比亚共和国,The Republic of Zambia,16,16,0,0
乌干达,Uganda,14,14,0,0
坦桑尼亚,Tanzania,12,13,1,0
赤道几内亚,Eq.Guinea,12,12,0,0
几内亚,Guinea,12,12,0,0
吉布提,The Republic of Djibouti,12,12,0,0
埃塞俄比亚,Ethiopia,8,12,4,0
纳米比亚,Namibia,8,8,0,0
斯威士兰,Swaziland,8,8,0,0
尼日尔,Niger,7,8,0,1
塞舌尔,Seychelles,7,7,0,0
莫桑比克,Mozambique,7,7,0,0
加蓬,Gabon,6,7,0,1
厄立特里亚,Eritrea,6,6,0,0
中非共和国,Central African Republic,5,5,0,0
贝宁,Benin,5,5,0,0
津巴布韦,Zimbabwe,4,5,0,1
刚果（布）,Congo,4,4,0,0
毛里塔尼亚,Mauritania,3,3,0,0
利比里亚,Liberia,3,3,0,0
乍得,Chad,3,3,0,0
安哥拉,Angola,3,3,0,0
苏丹,Sudan,2,3,0,1
冈比亚,Gambia,2,3,0,1
索马里,Somalia,2,2,0,0
马里,Mali,2,2,0,0
几内亚比绍,Guinea-Bissau,2,2,0,0
佛得角,Cabo Verde,1,3,1,1
利比亚,Libya,1,1,0,0
