Date,Open,High,Low,Close,Turnover,收盘-开盘(a),最高-最低(b)
 2019-01-15,5.57,5.66,5.56,5.62,5656938,0.04999999999999982,0.10000000000000053
 2019-01-16,5.62,5.65,5.57,5.58,4217510,-0.040000000000000036,0.08000000000000007
 2019-01-17,5.56,5.68,5.56,5.65,6694220,0.09000000000000075,0.1200000000000001
 2019-01-18,5.63,5.72,5.62,5.72,8776850,0.08999999999999986,0.09999999999999964
 2019-01-21,5.7,5.77,5.68,5.75,9085991,0.04999999999999982,0.08999999999999986
 2019-01-22,5.71,5.74,5.65,5.69,4277741,-0.019999999999999574,0.08999999999999986
 2019-01-23,5.67,5.68,5.58,5.67,4871574,0.0,0.09999999999999964
 2019-01-24,5.63,5.68,5.6,5.62,3926137,-0.009999999999999787,0.08000000000000007
 2019-01-25,5.6,5.72,5.6,5.64,6913468,0.040000000000000036,0.1200000000000001
 2019-01-28,6.2,6.2,5.67,5.67,16091904,-0.5300000000000002,0.5300000000000002
 2019-01-29,5.67,5.85,5.65,5.77,15327454,0.09999999999999964,0.1999999999999993
 2019-01-30,5.71,5.71,5.51,5.61,9709953,-0.09999999999999964,0.20000000000000018
 2019-01-31,5.62,5.74,5.41,5.55,11600909,-0.07000000000000028,0.33000000000000007
 2019-02-01,5.55,5.73,5.46,5.7,9698288,0.15000000000000036,0.27000000000000046
 2019-02-11,5.65,5.75,5.61,5.73,7949176,0.08000000000000007,0.13999999999999968
 2019-02-12,5.72,5.77,5.65,5.74,8033132,0.020000000000000462,0.11999999999999922
 2019-02-13,5.76,5.96,5.74,5.96,18876186,0.20000000000000018,0.21999999999999975
 2019-02-14,5.89,5.95,5.85,5.85,10842086,-0.040000000000000036,0.10000000000000053
 2019-02-15,5.84,5.9,5.74,5.77,9580487,-0.07000000000000028,0.16000000000000014
 2019-02-18,5.8,6,5.8,5.97,18083522,0.16999999999999993,0.20000000000000018
 2019-02-19,6,6.54,5.94,6.32,37458400,0.3200000000000003,0.5999999999999996
 2019-02-20,6.25,6.34,6.12,6.17,18581896,-0.08000000000000007,0.21999999999999975
 2019-02-21,6.17,6.35,6.11,6.18,24057454,0.009999999999999787,0.23999999999999932
 2019-02-22,6.24,6.66,6.13,6.51,34866740,0.2699999999999996,0.5300000000000002
 2019-02-25,6.69,7.16,6.52,7.16,76089728,0.46999999999999975,0.6400000000000006
 2019-02-26,7.16,7.22,6.89,6.97,58536948,-0.1900000000000004,0.33000000000000007
 2019-02-27,7,7.49,7,7.14,56064632,0.13999999999999968,0.4900000000000002
 2019-02-28,7.07,7.12,6.83,6.99,32747268,-0.08000000000000007,0.29000000000000004
 2019-03-01,7,7.37,6.92,7.26,41732192,0.2599999999999998,0.4500000000000002
 2019-03-04,7.26,7.8,7.13,7.45,73460424,0.1900000000000004,0.6699999999999999
 2019-03-05,7.28,7.45,7.21,7.36,40125820,0.08000000000000007,0.2400000000000002
 2019-03-06,7.32,7.58,7.24,7.48,47686832,0.16000000000000014,0.33999999999999986
 2019-03-07,7.4,7.48,7.28,7.37,45645004,-0.03000000000000025,0.20000000000000018
 2019-03-08,7,7.14,6.75,6.81,47660992,-0.1900000000000004,0.3899999999999997
 2019-03-11,6.8,7.03,6.77,6.96,24646448,0.16000000000000014,0.2600000000000007
 2019-03-12,7.25,7.3,7,7.07,33809988,-0.17999999999999972,0.2999999999999998
 2019-03-13,7.13,7.17,6.86,6.88,26867892,-0.25,0.3099999999999996
 2019-03-14,6.83,7,6.61,6.71,20082872,-0.1200000000000001,0.3899999999999997
 2019-03-15,6.78,6.99,6.7,6.82,26610340,0.040000000000000036,0.29000000000000004
 2019-03-18,6.9,7,6.74,6.99,23560114,0.08999999999999986,0.2599999999999998
 2019-03-19,7.01,7.14,6.93,6.99,22005108,-0.019999999999999574,0.20999999999999996
 2019-03-20,7.18,7.18,6.95,7.07,25621884,-0.10999999999999943,0.22999999999999954
 2019-03-21,7.02,7.17,7.01,7.08,31548872,0.0600000000000005,0.16000000000000014
 2019-03-22,7.02,7.07,6.8,6.99,24285732,-0.02999999999999936,0.27000000000000046
 2019-03-25,6.8,6.92,6.75,6.79,18635744,-0.009999999999999787,0.16999999999999993
 2019-03-26,6.8,6.84,6.55,6.62,17219644,-0.17999999999999972,0.29000000000000004
 2019-03-27,6.65,6.69,6.58,6.64,11847981,-0.010000000000000675,0.11000000000000032
 2019-03-28,6.62,6.62,6.47,6.49,12865727,-0.1299999999999999,0.15000000000000036
 2019-03-29,6.53,6.82,6.5,6.82,25041536,0.29000000000000004,0.3200000000000003
 2019-04-01,6.89,7.09,6.88,7.05,28582196,0.16000000000000014,0.20999999999999996
 2019-04-02,7.03,7.17,6.98,7.01,28338600,-0.020000000000000462,0.1899999999999995
 2019-04-03,7.01,7.2,6.96,7.15,27413324,0.14000000000000057,0.2400000000000002
 2019-04-04,7.23,7.3,7.14,7.22,30959120,-0.010000000000000675,0.16000000000000014
 2019-04-08,7.48,7.55,7.14,7.23,41052664,-0.25,0.41000000000000014
 2019-04-09,7.25,7.46,7.18,7.31,28675630,0.05999999999999961,0.28000000000000025
 2019-04-10,7.27,7.37,7.11,7.27,25725000,0.0,0.2599999999999998
 2019-04-11,7.27,7.39,7.12,7.13,22714952,-0.13999999999999968,0.2699999999999996
 2019-04-12,7.15,7.45,7.14,7.38,32883384,0.22999999999999954,0.3100000000000005
 2019-04-15,7.56,7.72,7.2,7.24,51626780,-0.3199999999999994,0.5199999999999996
 2019-04-16,7.16,7.96,7.13,7.96,89292488,0.7999999999999998,0.8300000000000001
 2019-04-17,7.86,7.95,7.65,7.72,69559568,-0.14000000000000057,0.2999999999999998
 2019-04-18,7.68,7.75,7.59,7.71,28775140,0.03000000000000025,0.16000000000000014
