marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,review_headline,review_body,review_date
US,34678741,R9T1FE2ZX2X04,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Beauty,5,0,0,N,Works great,Works great!,8/31/2015
US,11599505,RE36JAD5V53PO,B0009XH6V4,670161917,andis micro turbo hair dryer,Beauty,4,0,0,N,I love travel blow dryers because they are easy to lift ...,"This dries my hair faster that bigger, more powerful models. I love travel blow dryers because they are easy to lift and they usually come in 1600 w or less. Bigger dryers are heavy and blow my hair everywhere. This has a surprising amount of power and is very compact. I would give it a five except that the switch is not easy to turn on and off with one hand and it's noisier than I anticipated.",8/31/2015
US,2282190,RIDHM8B7SCCV3,B0007NZPY6,16483457,conair pro hair dryer,Beauty,5,0,1,N,Five Stars,Love this dryer!,8/31/2015
US,43669858,R14QGWPCHU9LSE,B00BB8ZIW0,253917972,remington silk ceramic professional hair dryer,Beauty,5,0,0,N,Five Stars,styling hair in style,8/31/2015
US,51995766,R230LCPQDOFJJZ,B000065DJY,919751065,revlon 1875w volumizing hair dryer,Beauty,5,0,0,N,Five Stars,Excellent dryer.,8/31/2015
US,180659,RYOOYLVIAHU2A,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,3,1,1,N,Everything okay but.....!!,I found everything goes well except the plug. Why the left and right is opposite and I have to put the plug upside down for charging!!! Another flaw is the big noise.,8/31/2015
US,17023782,R18NK8BQ5LPMZZ,B0057HQ6C2,582752797,"pibbs ttec8012 twin turbo 3800 professional ionic and ceramic hair dryer, black, 2100 watt",Beauty,5,0,0,N,Five Stars,Perfect,8/31/2015
US,17563775,RD0BGSERMZ2JS,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,Beauty,5,0,1,N,Nice hairdryer that works very well.,I really like this hairdryer. I haven't had it very long. But it's working well for me.,8/31/2015
US,9924936,R3N0F2FKJOMGKK,B00CC7Y0G4,253762851,"remington d3015 ionic ceramic dryer, ionic hair dryer, hair dryer",Beauty,5,3,3,N,"Works great, I use it 5 days a week","Reckon I have had this about a year now, at least 7 months. Works great, I use it 5 days a week, blows hot air, doesnt overheat, isnt to big, came quick, didnt cost much. Get you one, you will like it.",8/30/2015
US,41150214,R2M6U66CT3H5OY,B00092M2X2,221722169,hot tools ionic anti-static professional dryer - model # 1035 - black/purple hair dryer for unisex,Beauty,3,0,0,N,"The styling tip does not stay on,","The styling tip does not stay on, keeps falling off in the middle of blow drying and then it's too hot to put back",8/30/2015
US,49876147,R2WDYCZI91LL6K,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,Beauty,4,0,0,N,Blows like a jet engine!,"Nice hair dryer, dual voltage comes in handy.",8/30/2015
US,42278060,R1DZKVY1CJF3QP,B00A7JA72U,646926938,"babyliss nano titanium portofino 6600 hair dryer, leopard",Beauty,2,1,1,N,Great drier...........meh,Great product... Took me anywhere between 30-40 mins to blow dry my clients hair with my old blow drier.... With this new one its cut the time in half... It's has lots of power... Great deal... N it's super cute...   Update: 7-8?months later it only blows cold air. I wouldn't recommend this drier for the price they are selling it now. It's rubbish,8/30/2015
US,47929663,R3IL7ENAGVGJ3I,B001BOFIRO,26711891,andis tourmaline ionic/ceramic 1875 watt hair dryer,Beauty,5,0,0,N,A good replacement,Like this as well as the one I had before.,8/30/2015
US,15822780,R1PEMP08D31OPZ,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,5,0,1,N,Girlfriend loves it,Very quiet. Bought this to replace my girlfriend's stupid loud blow dryer that woke me up every morning. This thing is much easier on the ears.,8/30/2015
US,13564217,R35ZY5QEANBM8D,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,Beauty,4,0,1,N,"Nice, light and powerful...","this is a good dryer with nice attachments...very light and powerful. The only drawback is the switches. If your hand has any mousse or oil on them, forget turning this on without a struggle. The switches have no grip nor heavy grooves on them that make turning on/off easy. But, overall good.",8/30/2015
US,30948103,RWMEEVC97HUNG,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,5,0,0,N,Great Blow Dryer,Live this hairdryer,8/29/2015
US,43455810,R3GR9RB60NKBG0,B0012DL8B4,897437023,conair vagabond folding handle 1875 watt compact hair dryer 1 ea,Beauty,5,0,0,N,Five Stars,Perfect for travel.,8/29/2015
US,10601291,R2S51H4FUT53NR,B000XE6C3M,772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)",Beauty,5,0,0,N,Five Stars,thanks,8/29/2015
