marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vines,Impact_factor,review_headline,review_body,total_words,words_number,review_date
US,21879631,RY52KZABZK8QF,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,1,0,0,N,1,Do not recommend it. go use your money for something more ...,3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.,"['used', 'plates', '3', 'for', 'your', 'the', 'also', 'month', 'durable', 'use', 'of', 'money', 'using', 'buttons', 'working', 'more', 'was', 'in', 'and', 'day', 'Oh', 'after', 'recommend', 'It', 'do', 'something', 'stopped', 'Do', 'a', 'fit', 'it', 'go', 'not', 'big', 'twice']",35,8/31/2015
US,14964566,R3GCOEV4HYZG2I,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Looks as good as the picture,Didn't use it long so I can't attest to that but for the price it is extremely good looking and feels like a quality build. Just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. So if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.,"['turkeys', 'work', 'feels', '3', 'attest', 'is', 'the', 'for', 'take', 'you', 'longer', 'your', 'but', 'like', 'will', 'be', 'may', 'long', ""won't"", 'to', 'wattage', 'So', 'use', 'that', 'then', 'have', 'quality', 'high', 'Just', 'nuking', 'if', 'looking', 'good', 'Looks', 'as', 'and', 'know', 'in', 'super', 'soup', 'extremely', '2-1/2', 'so', 'minutes', 'picture', 'this', 'price', '-', 'must', 'canned', 'a', ""Didn't"", 'I', 'small', ""it's"", 'it', 'bit', ""can't"", 'not', 'build']",60,8/31/2015
US,13230389,R1V2OPPNL0QGCE,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,Four Stars,"Very nice microwave, great price","['Stars', 'price', 'Four', 'microwave', 'Very', 'nice', 'great']",7,8/31/2015
US,43655888,R9Q0QDTLKV567,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,3,0,1,N,-1.0,quiet,"Quiet, but does not seem like 1000 watt power.","['does', 'quiet', '1000', 'Quiet', 'power', 'but', 'not', 'like', 'seem', 'watt']",10,8/31/2015
US,117794,R3DL7HYC3QTWNI,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",Major Appliances,4,0,0,N,1,Four Stars,It's bigger than I thought.,"['Stars', 'bigger', 'Four', ""It's"", 'thought', 'I', 'than']",7,8/31/2015
US,16018452,R3M88678ZYC6WI,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Great Microwave,Really love this microwave. Has the one touch settings that I wanted along with the +30 seconds button.  Its a great size for a countertop.  It can be a little noisy when it beeps as others have said.,"['others', 'microwave', 'said', 'beeps', 'Great', 'Microwave', 'the', 'for', 'countertop', 'with', 'seconds', 'be', 'size', 'touch', 'that', 'Has', 'have', 'can', 'one', 'noisy', 'love', 'settings', 'as', 'wanted', 'Its', 'It', 'great', 'this', '+30', 'little', 'a', 'I', 'Really', 'it', 'along', 'button', 'when']",37,8/31/2015
US,21924164,R29F0E6EJJCEEM,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,Was pleased with the packaging and easy instructions to set it ...,Was pleased with the packaging and easy instructions to set it up. Worth $55 and that it was 'Prime&#34; order.,"['Was', '$55', 'was', 'easy', 'and', ""'Prime&#34;"", 'pleased', 'to', 'set', 'order', 'instructions', 'the', 'that', 'Worth', 'it', 'with', 'up', 'packaging']",18,8/29/2015
US,18672427,R1WU4A3QFKJ0HT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Great Value for the Money.,Neat little unit. I have no complaints.,"['no', 'Value', 'Great', 'little', 'unit', 'complaints', 'I', 'the', 'for', 'have', 'Money', 'Neat']",12,8/29/2015
US,3159360,R2Q061UH1EJHIJ,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,2,1,1,N,1.0,It had great reviews when we ordered it,"The finish is nice and matches our stainless steel/black wall oven nicely. However, the button to open the door no longer opens on the first try or needs some help. And occasionally something internal to the microwave makes a noise when the tray is rotating.","['or', 'The', 'door', 'microwave', 'we', 'internal', 'is', 'the', 'longer', 'oven', 'finish', 'opens', 'to', 'tray', 'rotating', 'first', 'some', 'noise', 'reviews', 'nicely', 'no', 'and', 'try', 'help', 'open', 'steel/black', 'occasionally', 'It', 'wall', 'And', 'something', 'great', 'on', 'needs', 'However', 'our', 'ordered', 'matches', 'makes', 'a', 'it', 'nice', 'stainless', 'button', 'had', 'when']",46,8/28/2015
US,12458936,R2F0TUS62C3ZCN,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,1,Great little microwave!,"Excellent small microwave!  I recently moved to an apartment which did not have a built-in microwave, but also a kitchen that wasn't that big.  This microwave was perfect for it.  Its footprint is small, however it packs a punch.  All my plates fit it and cooks everything evenly.  The only downside is that when opening or closing the door, the whole microwave sometimes may move as it's not the heaviest out there, but I'm not going to fault it for that, I just simply put my other hand on top of it while opening/closing.","['opening/closing', 'perfect', 'The', 'moved', 'microwave', ""wasn't"", 'plates', 'Great', 'or', 'door', 'is', 'for', 'This', 'the', 'simply', 'sometimes', 'also', 'but', 'downside', 'hand', 'kitchen', 'may', 'did', 'to', 'my', ""I'm"", 'that', 'fault', 'of', 'have', 'All', 'while', 'recently', 'heaviest', 'was', 'cooks', 'only', 'and', 'as', 'out', 'going', 'everything', 'built-in', 'Its', 'which', 'other', 'an', 'packs', 'apartment', 'opening', 'on', 'however', 'top', 'Excellent', 'little', 'move', 'a', 'punch', 'I', 'fit', 'whole', 'small', 'footprint', 'it', 'closing', ""it's"", 'there', 'put', 'just', 'not', 'evenly', 'big', 'when']",73,8/28/2015
US,39416583,R2X9MN0B0MVUZT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,1,Four Stars,Works Really Well,"['Stars', 'Four', 'Works', 'Well', 'Really']",5,8/27/2015
US,31487975,R35P4D0NHKAGKE,B005GSZB9Q,771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white",Major Appliances,5,1,1,N,1.0,Five Stars,Love this microwave!  Gives me more space in my kitchen. ..only con is the price.,"['this', 'Stars', 'space', 'kitchen', 'microwave', 'in', 'only', 'con', 'price', 'my', 'me', 'is', 'Five', 'the', 'Gives', 'Love', 'more']",17,8/27/2015
US,26976013,R2V6PXBBC9ZPKZ,B004NXUJ60,523301568,microwave cavity paint 98qbp0302,Major Appliances,3,0,1,N,-1.0,I never used this for my wife insisted we buy ...,I never used this for my wife insisted we buy a new microwave after I bought this. I did contact GE and they gave me a 20$ credit  and said not to worry about  paint peeling off. Tell that to your wife! That was OK because I read some reviews which made it sound alittle difficult to use.,"['used', 'peeling', 'microwave', 'said', 'we', 'alittle', 'me', 'for', 'your', '20$', 'off', 'buy', 'because', 'never', 'they', 'did', 'contact', 'my', 'to', 'paint', 'GE', 'Tell', 'that', 'OK', 'use', 'wife', 'some', 'difficult', 'reviews', 'was', 'and', 'gave', 'new', 'sound', 'read', 'which', 'bought', 'after', 'That', 'this', 'insisted', 'credit', 'made', 'a', 'I', 'about', 'it', 'worry', 'not']",49,8/27/2015
US,51425093,RR48906IDDC7R,B00NXRHIO8,692404913,samsung counter top microwave,Major Appliances,5,1,1,N,1.0,... for about a week and so far it's been great; the microwaving powder is quite strong,"Had this for about a week and so far it's been great; the microwaving powder is quite strong; but the grill plate is too high for some bulkier food, that would be my only complain.","['been', 'grill', 'Had', 'strong;', 'is', 'for', 'the', 'bulkier', 'far', 'would', 'but', 'be', 'strong', 'too', 'microwaving', 'my', 'quite', 'that', 'high', 'great;', 'some', 'only', 'and', 'complain', 'week', 'so', 'this', 'a', 'powder', 'about', ""it's"", 'food', 'plate']",33,8/25/2015
US,46888195,R3BRGLMPYWFS2N,B00NQFSSWS,692404913,samsung counter top microwave,Major Appliances,1,5,7,N,3.0,I only got to use the grill feature once and it was fun.,the microwave turntable and light would come by itself and sometimes when you closed the door.  At first we were able to cook with the microwave but eventually it got to where I couldn't get it to cook no matter what we tried such as unplugging it and it would sit there rotating but not heating.  So sadly we had to send it back.  I only got to use the grill feature once and it was fun.,"['grill', 'door', 'microwave', 'we', 'turntable', 'At', 'the', 'you', 'sometimes', 'would', 'with', 'feature', 'but', 'eventually', ""couldn't"", 'such', 'get', 'to', 'So', 'use', 'rotating', 'first', 'once', 'itself', 'tried', 'heating', 'was', 'only', 'no', 'sit', 'and', 'matter', 'as', 'closed', 'able', 'fun', 'what', 'send', 'light', 'come', 'sadly', 'by', 'back', 'unplugging', 'I', 'cook', 'where', 'it', 'there', 'were', 'when', 'not', 'had', 'got']",54,8/25/2015
