marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,review_headline,review_body,review_date
US,40626522,R1A3ZUBR8TSAKY,B00793CZAE,572944212,"mary meyer wubbanub plush pacifier, lamb",Baby,5,0,0,N,Love this!,Perfect match for the Gund Huggybuddy I bought as a baby gift.,8/31/2015
US,16290022,RLJNYBK4FGBYX,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,5,0,0,N,Love 💕,My little girl love this paci contraption!,8/31/2015
US,10216509,R26QCW75C4JDOK,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,Five Stars,My son loves this one and will only sleep if he has this one.,8/31/2015
US,27971579,R1SO9VMCIGZX3U,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,5,0,0,N,Five Stars,Amazing addition to the nursery!,8/31/2015
US,36369192,R2EUVAGKYPV8Z3,B00PF841HA,449026476,"philips avent freeflow pacifier bpa, free blue / white, 0-6 months",Baby,5,0,0,N,Five Stars,"Great, breathable, and basic pacifier.",8/31/2015
US,18742061,R2EC65V4U7R8FZ,B0082I1IA8,218693378,"mam glow in the dark night orthodontic pacifier, boy, 6+ months, 2-count",Baby,5,0,0,N,Five Stars,Great pacifiers,8/31/2015
US,15312194,RG9XY3EKPUCL1,B00067AUNY,957640647,"dexbaby womb sounds bear audio pacifier, brown (discontinued by manufacturer)",Baby,3,0,0,N,Does the job,"The bear does exactly what we ordered it to do. The heartbeat/womb sounds helped our first daughter to sleep and she still sleeps with her heartbeat bear (she's almost 3) and this is baby number 2's. I do wish the volume could be turned down more. The bear is also a darker chocolate brown than I anticipated based off the items picture which was disappointing for me.  Edit - Once the womb noise times out, restarting it is a hassle. Just turning the switch to off and then back on does not work. It requires turning the switch to off multiple times to get it restart the womb noise. Sometimes it takes two times. Sometimes it takes seven. It's not reliable and I wish I would have purchased a different heartbeat bear.",8/31/2015
US,44791277,R1QR2VQN2KLU6Z,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,"Kid loves it, so I do to.",Baby boy loves it and like to just hold the giraffe.  Happy kid = happy parents,8/31/2015
US,2943530,R3PRYHYQE0TLYK,B00B7U61QO,115431579,nuk pack of 4 trendline orthodontic pacifier bundle pack,Baby,5,0,0,N,We love the NUK brand of bottles and pacifiers and these ...,"We love the NUK brand of bottles and pacifiers and these pacifiers are no exception! These are the only brand my kiddos would take. With how easy these can be to lose, this 4 pack is so worth buying! The colors are exactly as pictured. Would recommend buying the pacifiers and bottles together because baby recognizes the nipple and will take them easier. Love the othodonic shape - its more natural to breastfed babies and I don't have to worry about teeth problems. Would definitely recommend this product!",8/31/2015
US,32717440,R2M4WTN0Z3EJZ5,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,5,0,0,N,I mustache you a question..,went well with the baby one-piece tuxedo. excellent,8/31/2015
US,2761934,R2UQFAFNMGSFKE,B00K92MWE6,181638405,chicco pacifier hard shield,Baby,4,0,0,N,Four Stars,He likes them over all the others and that's what matters.,8/31/2015
US,12996130,R1B3QE6JZ2OKEY,B00I0M8QTW,339747365,"tommee tippee night pacifier, 2 count",Baby,5,0,0,N,Baby's favorite,These are the only type of pacifier that my baby will take! They stay in his mouth really well compared to other brands we tried. He loves them.,8/31/2015
US,9603909,R3CSWENZZI15LL,B000AKB4IM,295960359,the original billy-bob teeth two front teeth pacifier,Baby,5,0,0,N,Five Stars,Very Cute,8/31/2015
US,766380,R15YIDY8YOE6WJ,B0057EEC3A,218530709,"philips avent translucent orthodontic infant pacifier, 0-6 months",Baby,5,0,0,N,Five Stars,good,8/30/2015
us,1576222,rst8so06v4l4c,b004j6jiqi,520706601,i love you 8 white valentine bear with heart,Baby,5,0,0,N,Five Stars,Girlfriend loved it.,8/30/2015
