Excel文件名称		时间		功率		风速
201501.xls	Sheet17		0.78125		174.0		10.8
201501.xls	Sheet17		0.8125		166.0		9.7
201501.xls	Sheet17		0.822916666666667		177.0		10.7
201501.xls	Sheet17		0.833333333333333		174.0		10.7
201501.xls	Sheet17		0.84375		166.0		9.8
201501.xls	Sheet17		0.864583333333333		162.0		9.7
201501.xls	Sheet17		0.875		162.0		10.0
201501.xls	Sheet17		0.708333333333333		166.0		9.7
201501.xls	Sheet17		0.71875		163.0		9.4
201501.xls	Sheet17		0.729166666666667		163.0		9.4
201501.xls	Sheet18		0.0104166666666667		175.0		11.0
201501.xls	Sheet18		0.0208333333333333		173.0		10.6
201501.xls	Sheet18		0.0312499999999999		170.0		10.8
201501.xls	Sheet18		0.28125		163.0		10.9
201501.xls	Sheet18		0.0416666666666665		172.0		11.1
201501.xls	Sheet18		0.2916666666666667		166.0		11.0
201501.xls	Sheet18		0.302083333333333		172.0		11.3
201501.xls	Sheet18		0.3125		175.0		11.5
201501.xls	Sheet18		0.322916666666667		173.0		11.7
201501.xls	Sheet18		0.333333333333333		182.0		12.6
201501.xls	Sheet18		0.34375		182.0		12.6
201501.xls	Sheet18		0.104166666666666		165.0		10.8
201501.xls	Sheet18		0.354166666666667		177.0		12.3
201501.xls	Sheet18		0.114583333333333		162.0		10.9
201501.xls	Sheet18		0.364583333333333		175.0		12.2
201501.xls	Sheet18		0.125		175.0		11.2
201501.xls	Sheet18		0.375		165.0		12.0
201501.xls	Sheet18		0.135416666666666		182.0		11.5
201501.xls	Sheet18		0.145833333333333		184.0		12.1
201501.xls	Sheet18		0.156249999999999		184.0		12.2
201501.xls	Sheet18		0.166666666666666		184.0		11.9
201501.xls	Sheet18		0.177083333333333		182.0		11.7
201501.xls	Sheet18		0.187499999999999		184.0		12.1
201501.xls	Sheet18		0.197916666666666		183.0		12.4
201501.xls	Sheet18		0.208333333333332		183.0		12.0
201501.xls	Sheet18		0.218749999999999		177.0		11.9
201501.xls	Sheet18		0.229166666666666		180.0		12.1
201501.xls	Sheet18		0.239583333333332		172.0		11.7
201501.xls	Sheet18		0.249999999999999		165.0		10.6
201503.xls	Sheet15		0.604166666666667		21.0		4.74.9
201503.xls	Sheet18		0.729166666666667		31.0		4..4
201503.xls	Sheet30		0.25		12.0		
201504.xls	Sheet11		0.5104166666666666		175.0		12.5
201504.xls	Sheet11		0.520833333333333		173.0		12.4
201504.xls	Sheet11		0.53125		182.0		13.2
201504.xls	Sheet11		0.541666666666667		175.0		13.0
201504.xls	Sheet11		0.552083333333333		175.0		12.9
201504.xls	Sheet11		0.5625		167.0		12.8
201504.xls	Sheet11		0.5729166666666666		173.0		13.1
201504.xls	Sheet11		0.583333333333333		180.0		13.6
201504.xls	Sheet11		0.59375		176.0		13.4
201504.xls	Sheet11		0.604166666666667		180.0		13.0
201504.xls	Sheet11		0.614583333333333		180.0		12.9
201504.xls	Sheet11		0.625		177.0		13.0
