日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿02.03,203,10,10,1,0,0
02.06,257,14,25,1,0,15
02.07,277,20,30,1,0,5
02.08,286,9,41,1,0,11
02.09,293,7,44,1,0,3
02.10,302,7,48,1,0,4
02.11,306,4,53,1,0,5
02.12,313,7,57,1,0,4
02.13,319,6,62,1,0,5
02.14,326,8,90,1,0,28
02.15,328,2,124,1,0,34
02.16,331,3,140,1,0,16
02.17,333,2,161,1,0,21
02.18,333,0,177,1,0,16
02.19,333,0,186,2,1,9
02.20,334,1,199,2,0,13
02.21,334,0,211,3,1,12
02.22,335,1,227,3,0,16
02.23,335,0,249,3,0,22
02.24,335,0,261,3,0,12
02.25,336,0,268,3,0,7
02.26,337,1,272,3,0,4
02.27,337,0,276,3,0,4
02.28,337,0,279,3,0,3
02.29,337,0,287,3,0,8
03.01,337,0,292,3,0,5
03.02,338,1,294,3,0,2
03.03,338,0,298,3,0,4
03.04,339,1,303,3,0,5
03.05,342,3,306,3,0,3
03.06,342,0,313,3,0,7
03.07,342,0,314,3,0,1
03.08,342,0,315,3,0,1
03.09,344,2,319,3,0,4
03.10,344,0,320,3,0,1
03.11,344,0,321,3,0,1
03.12,346,2,324,3,0,3
03.13,350,4,324,3,0,0
03.14,353,3,324,3,0,0
03.15,355,2,325,3,0,1
03.16,358,3,325,3,0,0
03.17,361,3,325,3,0,0
03.18,368,8,326,3,0,1
03.19,371,8,326,3,0,0
03.20,380,9,326,3,0,0
03.21,394,14,328,3,0,2
03.22,404,10,328,4,1,0
03.23,414,10,329,4,0,1
03.24,433,19,330,5,1,1
03.25,451,18,330,5,0,0
03.26,468,17,331,5,0,1
03.27,485,17,334,5,0,3
03.28,492,7,334,5,0,0
03.29,498,6,334,5,0,0
03.30,509,11,338,5,0,4
03.31,516,7,341,6,1,3
04.01,522,6,343,6,0,2
04.02,526,4,343,6,0,0
04.03,529,3,348,6,0,5
04.04,531,2,356,6,0,8
04.05,536,5,383,6,0,27
04.06,538,2,389,6,0,6
04.07,543,5,406,7,1,17
04.08,552,9,417,7,0,11
04.09,555,3,422,7,0,5
04.10,555,0,435,7,0,13
04.11,607,52,438,7,0,3
04.12,618,11,446,7,0,8
04.13,618,0,458,7,0,12
04.14,622,4,468,7,0,10
04.15,628,6,489,7,0,21
04.16,628,0,512,7,0,23
04.17,628,0,512,7,0,0
04.18,635,7,521,7,0,9
04.19,638,3,530,7,0,9
04.20,638,0,530,7,0,0
04.21,639,1,532,7,0,2
04.22,640,1,533,7,0,1
04.23,641,1,533,7,0,0
04.24,641,,547,7,0,14
04.25,642,1,558,7,0,11
04.26,642,0,568,7,0,10
04.27,644,2,581,7,0,13
04.28,645,1,584,7,0,3
04.29,647,2,597,7,0,13
04.30,652,5,599,7,0,2
05.01,652,0,612,7,0,13
05.02,653,1,613,7,0,1
05.03,655,2,615,7,0,2
05.04,656,1,619,7,0,4
05.05,656,0,620,7,0,1
05.06,657,1,620,7,0,0
05.07,657,0,623,7,0,3
05.08,657,0,623,7,0,0
05.09,659,2,626,7,0,3
05.10,659,0,627,7,0,1
05.11,659,0,627,7,0,0
05.12,660,1,631,7,0,4
05.13,660,0,633,7,0,2
05.14,660,0,638,7,0,5
05.15,665,5,640,7,0,2
05.16,665,0,641,7,0,1
05.17,666,1,641,7,0,0
05.18,666,0,641,7,0,0
05.19,666,0,642,7,0,1
05.20,667,1,645,7,0,3
05.21,667,0,646,7,0,1
05.22,667,0,647,7,0,1
05.23,668,1,647,7,0,0
05.24,668,0,648,7,0,1
05.25,669,1,652,7,0,4
05.26,670,1,653,7,0,1
05.27,671,1,655,7,0,2
05.28,671,0,655,7,0,0
05.29,672,1,657,7,0,2
05.30,672,0,657,7,0,0
05.31,672,0,657,7,0,0
06.01,673,1,660,7,0,3
06.02,673,0,661,7,0,1
06.03,673,0,661,7,0,0
06.04,677,4,662,7,0,1
06.05,677,0,663,7,0,1
06.06,677,0,664,7,0,1
06.07,678,1,664,7,0,0
06.08,678,0,664,7,0,0
06.09,678,0,665,7,0,1
06.10,684,6,665,7,0,0
06.11,689,5,666,7,0,1
06.12,690,1,666,7,0,0
06.13,691,1,666,7,0,0
06.14,692,1,667,7,0,1
06.15,695,3,667,7,0,0
06.16,695,0,668,7,0,1
06.17,697,2,668,7,0,0
06.18,697,2,668,7,0,0
