日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.26,11,4,0,0,0,0
01.27,13,2,0,0,0,0
01.28,16,3,0,0,0,0
01.29,18,2,0,0,0,0
01.30,20,2,0,0,0,0
01.31,23,3,1,0,0,1
02.01,27,4,1,0,0,0
02.02,34,7,1,0,0,0
02.03,35,1,1,0,0,0
02.04,42,7,1,0,0,0
02.05,44,2,3,0,0,2
02.06,46,2,4,0,0,1
02.07,50,4,5,0,0,1
02.08,52,2,5,0,0,0
02.09,54,2,5,0,0,0
02.10,58,0,5,0,0,0
02.11,60,2,5,0,0,0
02.12,61,1,6,0,0,1
02.13,65,4,6,0,0,0
02.14,65,4,6,0,0,0
02.15,70,2,7,0,0,1
02.16,72,2,8,0,0,1
02.17,73,1,8,0,0,0
02.18,75,2,9,0,0,1
02.19,75,0,11,0,0,2
02.20,75,0,16,0,0,5
02.21,75,0,22,0,0,6
02.22,75,0,26,0,0,4
02.23,75,0,30,0,0,4
02.24,75,0,34,0,0,4
02.25,75,0,34,0,0,0
02.26,75,0,38,0,0,4
02.27,75,0,43,0,0,5
02.28,75,0,46,0,0,3
02.29,75,0,51,0,0,5
03.01,75,0,51,0,0,0
03.02,75,0,54,0,0,3
03.03,75,0,59,1,1,5
03.04,75,0,63,1,0,4
03.05,75,0,63,1,0,0
03.06,75,0,65,1,0,2
03.07,75,0,68,1,0,3
03.08,75,0,70,1,0,2
03.09,75,0,70,1,0,0
03.10,75,0,70,1,0,0
03.11,75,0,71,1,0,1
03.12,75,0,71,1,0,0
03.13,75,0,71,1,0,0
03.14,75,0,71,1,0,0
03.15,75,0,71,1,0,0
03.16,75,0,73,1,0,2
03.17,75,0,73,1,0,0
03.18,75,0,74,1,0,1
03.19,75,0,74,1,0,0
03.20,75,0,74,1,0,0
03.21,75,0,74,1,0,0
03.22,75,0,74,1,0,0
03.23,75,0,74,1,0,0
03.24,77,2,74,1,0,0
03.25,89,12,74,1,0,0
03.26,92,3,74,1,0,0
03.27,94,2,74,1,0,0
03.28,95,1,74,1,0,0
03.29,97,2,74,1,0,0
03.30,107,10,74,1,0,0
03.31,111,4,74,1,0,0
04.01,117,6,74,1,0,0
04.02,117,0,74,1,0,0
04.03,117,0,74,1,0,0
04.04,117,0,74,1,0,0
04.05,118,1,74,1,0,0
04.06,121,3,74,1,0,0
04.07,124,3,74,1,0,0
04.08,126,2,79,1,0,5
04.09,128,2,79,1,0,0
04.10,155,27,79,1,0,0
04.11,155,0,83,1,0,4
04.12,190,35,83,1,0,0
04.13,190,0,91,1,0,8
04.14,190,0,94,1,0,3
04.15,193,3,94,1,0,0
04.16,193,0,103,1,0,9
04.17,193,0,104,1,0,1
04.18,193,0,104,1,0,0
04.19,194,1,104,1,0,0
04.20,194,0,108,1,0,4
04.21,194,0,108,1,0,0
04.22,194,0,108,1,0,0
04.23,194,0,108,1,0,0
04.24,197,3,114,1,0,6
04.25,198,1,121,1,0,7
04.26,198,0,129,1,0,8
04.27,199,1,145,1,0,16
04.28,199,0,146,1,0,1
04.29,200,1,150,1,0,4
04.30,201,1,152,1,0,2
05.01,201,0,154,1,0,2
05.02,201,0,154,1,0,0
05.03,201,0,156,1,0,2
05.04,201,0,160,1,0,4
05.05,201,0,167,1,0,7
05.06,201,0,171,1,0,4
05.07,201,0,172,1,0,1
05.08,201,0,175,1,0,3
05.09,201,0,184,1,0,9
05.10,208,7,187,1,0,3
05.11,208,1,187,1,0,0
05.12,209,0,190,1,0,3
05.13,209,0,190,1,0,0
05.14,209,0,194,1,0,4
05.15,209,0,196,1,0,2
05.16,209,0,196,1,0,0
05.17,213,4,196,1,0,0
05.18,216,3,196,1,0,0
05.19,217,1,196,1,0,0
05.20,217,0,199,1,0,3
05.21,217,0,199,1,0,0
05.22,217,0,199,1,0,0
05.23,217,0,199,1,0,0
05.24,227,10,201,1,0,2
05.25,232,5,204,1,0,3
05.26,232,0,205,1,0,1
05.27,232,0,205,1,0,0
05.28,232,0,205,1,0,0
05.29,232,0,206,1,0,1
05.30,232,0,206,1,0,0
05.31,235,3,207,1,0,1
06.01,235,0,209,1,0,2
06.02,235,0,209,1,0,0
06.03,235,0,212,1,0,3
06.04,235,0,213,1,0,1
06.05,235,0,213,1,0,0
06.06,235,0,213,1,0,0
06.07,235,0,218,1,0,5
06.08,235,0,226,1,0,8
06.09,237,2,230,1,0,4
06.10,237,0,230,1,0,0
06.11,237,0,231,1,0,1
06.12,237,0,231,1,0,0
06.13,237,0,231,1,0,0
06.14,237,0,231,1,0,0
06.15,238,1,234,1,0,3
06.16,238,0,234,1,0,0
06.17,238,0,234,1,0,0
06.18,238,0,234,1,0,0
06.19,238,0,234,1,0,0
