日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.27,8,2,0,0,0,0
01.28,9,1,0,0,0,0
01.29,14,5,0,0,0,0
01.30,14,0,1,0,0,1
01.31,17,3,1,0,0,0
02.01,23,6,1,0,0,0
02.02,31,8,1,0,0,0
02.03,42,11,1,0,0,0
02.04,54,12,1,0,0,0
02.05,59,5,2,0,0,1
02.06,65,6,4,1,1,2
02.07,69,4,4,1,0,0
02.08,78,9,5,1,0,1
02.09,80,2,12,1,0,7
02.10,81,1,13,1,0,1
02.11,83,2,18,1,0,5
02.12,83,2,18,1,0,0
02.13,86,2,25,1,0,7
02.14,88,2,25,1,0,0
02.15,89,1,28,1,0,3
02.16,89,0,30,1,0,2
02.17,89,0,34,1,0,4
02.18,90,1,36,1,0,2
02.19,91,1,40,1,0,4
02.20,91,0,44,1,0,4
02.21,91,0,46,1,0,2
02.22,91,0,52,1,0,6
02.23,93,2,54,1,0,2
02.24,93,0,60,1,0,6
02.25,93,0,63,1,0,3
02.26,93,0,65,1,0,2
02.27,93,0,68,1,0,3
02.28,93,0,73,1,0,5
02.29,93,0,75,1,0,2
03.01,93,0,78,1,0,3
03.02,93,0,83,1,0,5
03.03,93,0,84,1,0,1
03.04,93,0,86,1,0,2
03.05,93,0,88,1,0,2
03.06,93,0,90,1,0,2
03.07,93,0,90,1,0,0
03.08,93,0,90,1,0,0
03.09,93,0,91,1,0,1
03.10,93,0,91,1,0,0
03.11,93,0,91,1,0,0
03.12,93,0,91,1,0,0
03.13,93,0,91,1,0,0
03.14,93,0,91,1,0,0
03.15,93,0,92,1,0,1
03.16,93,0,92,1,0,0
03.17,93,0,92,1,0,0
03.18,93,0,92,1,0,0
03.19,93,0,92,1,0,0
03.20,93,0,92,1,0,0
03.21,93,0,92,1,0,0
03.22,93,0,92,1,0,0
03.23,93,0,92,1,0,0
03.24,94,1,92,1,0,0
03.25,95,1,92,1,0,0
03.26,95,0,92,1,0,0
03.27,97,2,92,1,0,0
03.28,98,1,92,1,0,0
03.29,98,0,92,1,0,0
03.30,98,0,92,1,0,0
03.31,98,0,92,1,0,0
04.01,98,0,92,1,0,0
04.02,98,0,92,1,0,0
04.03,98,0,92,1,0,0
04.04,98,0,92,1,0,0
04.05,98,0,92,1,0,0
04.06,98,0,92,1,0,0
04.07,98,0,92,1,0,0
04.08,98,0,93,1,0,1
04.09,98,0,95,1,0,2
04.10,98,0,96,1,0,1
04.11,99,1,96,1,0,0
04.12,100,1,96,1,0,0
04.13,100,0,96,1,0,0
04.14,102,2,96,1,0,0
04.15,102,0,96,1,0,0
04.16,102,0,97,1,0,1
04.17,102,0,97,1,0,0
04.18,104,2,97,1,0,0
04.19,104,0,97,1,0,0
04.20,106,2,97,1,0,0
04.21,106,0,98,1,0,1
04.22,107,1,98,1,0,0
04.23,108,1,99,1,0,1
04.24,109,1,99,1,0,0
04.25,109,0,99,1,0,0
04.26,110,1,99,1,0,0
04.27,110,0,99,1,0,0
04.28,110,0,99,1,0,0
04.29,111,1,99,1,0,0
04.30,111,0,101,1,0,2
05.01,112,1,102,1,0,1
05.02,112,0,103,1,0,1
05.03,112,0,103,1,0,0
05.04,112,0,103,1,0,0
05.05,112,0,103,1,0,0
05.06,112,0,103,1,0,0
05.07,113,1,104,1,0,1
05.08,113,0,105,1,0,1
05.09,124,11,105,1,0,0
05.10,127,3,105,1,0,0
05.11,127,0,105,1,0,0
05.12,133,6,108,1,0,3
05.13,134,1,108,1,0,0
05.14,138,4,108,1,0,0
05.15,140,2,108,1,0,0
05.16,144,3,113,2,2,5
05.17,146,2,122,2,0,9
05.18,148,2,123,2,0,1
05.19,152,4,125,2,0,2
05.20,152,4,125,2,0,0
05.21,154,2,127,2,0,2
05.22,154,0,128,2,0,1
05.23,155,1,128,2,0,0
05.24,155,0,128,2,0,0
05.25,155,0,128,2,0,0
05.26,155,0,128,2,0,0
05.27,155,0,133,2,0,5
05.28,155,0,136,2,0,3
05.29,155,0,142,2,0,6
05.30,155,0,144,2,0,2
05.31,155,0,144,2,0,0
06.01,155,0,147,2,0,3
06.02,155,0,147,2,0,0
06.03,155,0,148,2,0,1
06.04,155,0,149,2,0,1
06.05,155,0,150,2,0,1
06.06,155,0,150,2,0,0
06.07,155,0,153,2,0,3
06.08,155,0,153,2,0,0
06.09,155,0,153,2,0,0
06.10,155,0,153,2,0,0
06.11,155,0,153,2,0,0
06.12,155,0,153,2,0,0
06.13,155,0,153,2,0,0
06.14,155,0,153,2,0,0
06.15,155,0,153,2,0,0
06.16,155,0,153,2,0,0
06.17,155,0,153,2,0,0
06.18,155,0,153,2,0,0
06.19,155,0,153,2,0,0
