日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.27,90,21,0,0,0,0
01.28,108,18,0,0,0,0
01.29,142,34,1,1,1,1
01.30,177,36,1,1,0,0
01.31,207,30,3,1,0,2
02.01,231,24,3,1,0,0
02.02,254,23,12,1,0,9
02.03,282,28,14,1,0,2
02.04,301,19,23,1,0,9
02.05,321,20,27,1,0,4
02.06,344,23,37,1,0,10
02.07,363,19,50,1,0,13
02.08,386,23,60,1,0,10
02.09,405,19,76,1,0,16
02.10,417,12,82,1,0,6
02.11,436,19,85,1,0,3
02.12,451,15,93,1,0,8
02.13,463,12,105,1,0,12
02.14,470,7,115,1,0,10
02.15,481,11,127,3,2,12
02.16,495,14,136,3,0,9
02.17,508,13,163,3,0,27
02.18,514,6,177,3,0,14
02.19,520,6,198,3,0,21
02.20,525,5,222,3,0,24
02.21,526,1,242,3,0,20
02.22,526,1,256,3,0,14
02.23,527,1,263,3,0,7
02.24,529,2,278,3,0,15
02.25,531,2,292,3,0,14
02.26,534,3,310,3,0,18
02.27,538,4,326,3,0,16
02.28,538,0,350,3,0,24
02.29,538,0,363,3,0,13
03.01,538,0,378,3,0,15
03.02,538,0,389,3,0,11
03.03,538,0,400,3,0,11
03.04,539,1,418,3,0,18
03.05,539,1,418,3,0,0
03.06,539,0,448,3,0,30
03.07,539,0,457,3,0,9
03.08,539,0,465,3,0,8
03.09,539,0,470,3,0,5
03.10,539,0,484,3,0,14
03.11,539,0,494,3,0,10
03.12,539,0,500,3,0,6
03.13,539,0,510,3,0,10
03.14,539,0,515,3,0,5
03.15,539,0,516,3,0,1
03.16,539,0,520,3,0,4
03.17,540,1,525,3,0,5
03.18,540,1,531,3,0,6
03.19,540,0,531,3,0,0
03.20,541,1,536,3,0,5
03.21,542,1,536,3,0,0
03.22,543,0,536,3,0,0
03.23,545,2,536,3,0,0
03.24,547,2,536,3,0,0
03.25,547,0,536,3,0,0
03.26,547,0,536,3,0,0
03.27,548,1,536,3,0,0
03.28,550,2,536,3,0,0
03.29,550,0,536,3,0,0
03.30,550,0,536,3,0,0
03.31,552,2,536,3,0,0
04.01,554,2,537,3,0,1
04.02,555,1,537,3,0,0
04.03,557,2,538,3,0,1
04.04,558,1,539,3,0,1
04.05,559,1,540,3,0,1
04.06,560,1,541,3,0,1
04.07,560,0,541,3,0,0
04.08,560,0,541,3,0,0
04.09,560,0,546,3,0,5
04.10,560,0,547,3,0,1
04.11,560,0,547,3,0,0
04.12,560,0,548,3,0,1
04.13,560,0,548,3,0,0
04.14,560,0,550,3,0,2
04.15,560,0,552,3,0,2
04.16,560,0,552,3,0,0
04.17,561,1,553,3,0,1
04.18,561,0,554,3,0,1
04.19,561,0,554,3,0,0
04.20,561,0,554,3,0,0
04.21,561,0,556,3,0,2
04.22,561,0,557,3,0,1
04.23,561,0,558,3,0,1
04.24,561,0,558,3,0,0
04.25,561,0,558,3,0,0
04.26,561,0,558,3,0,0
04.27,561,0,558,3,0,0
04.28,561,0,558,3,0,0
04.29,561,0,558,3,0,0
04.30,561,0,558,3,0,0
05.01,561,0,558,3,0,0
05.02,561,0,558,3,0,0
05.03,561,0,558,3,0,0
05.04,561,0,558,3,0,0
05.05,561,0,558,3,0,0
05.06,561,0,558,3,0,0
05.07,561,0,558,3,0,0
05.08,561,0,558,3,0,0
05.09,561,0,558,3,0,0
05.10,561,0,558,3,0,0
05.11,561,0,558,3,0,0
05.12,561,0,558,3,0,0
05.13,561,0,558,3,0,0
05.14,561,0,558,3,0,0
05.15,561,0,558,3,0,0
05.16,561,0,558,3,0,0
05.17,561,0,558,3,0,0
05.18,561,0,558,3,0,0
05.19,561,0,558,3,0,0
05.20,561,0,558,3,0,0
05.21,563,2,558,3,0,0
05.22,563,0,558,3,0,0
05.23,563,0,558,3,0,0
05.24,564,1,558,3,0,0
05.25,564,0,558,3,0,0
05.26,564,0,558,3,0,0
05.27,564,0,558,3,0,0
05.28,564,0,558,3,0,0
05.29,564,0,558,3,0,0
05.30,564,0,558,3,0,0
05.31,575,11,558,3,0,0
06.01,577,2,558,3,0,0
06.02,577,0,558,3,0,0
06.03,577,0,558,3,0,0
06.04,578,1,558,3,0,0
06.05,578,0,558,3,0,0
06.06,578,0,558,3,0,0
06.07,581,3,558,3,0,0
06.08,582,1,558,3,0,0
06.09,582,0,558,3,0,0
06.10,582,0,560,3,0,2
06.11,582,0,561,3,0,1
06.12,583,1,562,3,0,1
06.13,583,0,563,3,0,1
06.14,587,4,563,3,0,0
06.15,588,1,564,3,0,1
06.16,589,1,565,3,0,1
06.17,589,0,567,3,0,2
06.18,589,0,569,3,0,2
06.19,589,0,569,3,0,0
