日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.22,1,0,0,0,0,0
01.23,2,1,0,0,0,0
01.24,3,1,0,0,0,0
01.25,4,1,0,0,0,0
01.26,7,3,0,0,0,0
01.27,11,4,0,0,0,0
01.28,12,1,0,0,0,0
01.30,21,4,0,0,0,0
01.31,26,5,0,0,0,0
02.01,28,2,0,0,0,0
02.02,31,3,0,0,0,0
02.03,34,3,0,0,0,0
02.04,34,0,1,0,0,1
02.05,40,6,1,0,0,0
02.06,43,3,1,0,0,0
02.07,45,2,5,0,0,4
02.08,45,1,13,0,0,8
02.09,49,4,13,0,0,0
02.10,53,4,14,0,0,1
02.11,58,5,22,0,0,8
02.12,64,6,24,0,0,2
02.13,67,3,24,0,0,0
02.14,70,3,27,0,0,3
02.15,70,0,33,0,0,6
02.16,70,0,33,0,0,0
02.17,70,0,35,0,0,2
02.18,71,1,42,0,0,7
02.19,71,0,42,0,0,0
02.20,71,0,44,0,0,2
02.21,71,0,48,0,0,4
02.23,71,0,57,0,0,9
02.24,71,0,58,0,0,1
02.25,71,0,58,0,0,0
02.26,72,1,65,0,0,7
02.27,72,0,68,0,0,3
02.28,73,1,68,0,0,0
02.29,73,0,69,0,0,1
03.01,74,1,69,0,0,0
03.02,74,0,69,0,0,0
03.03,75,1,69,0,0,0
03.04,75,0,69,0,0,0
03.05,75,0,69,0,0,0
03.06,75,0,71,0,0,2
03.07,75,0,71,0,0,0
03.08,75,0,71,0,0,0
03.09,75,0,71,0,0,0
03.10,75,0,71,0,0,0
03.11,75,0,71,0,0,0
03.12,75,0,72,0,0,1
03.13,75,0,72,0,0,0
03.14,75,0,73,0,0,1
03.15,75,0,73,0,0,0
03.16,75,0,75,0,0,2
03.17,75,0,75,0,0,0
03.18,75,0,75,0,0,0
03.19,75,0,75,0,0,0
03.20,75,0,75,0,0,0
03.21,75,0,75,0,0,0
03.22,75,0,75,0,0,0
03.23,75,0,75,0,0,0
03.24,75,0,75,0,0,0
03.25,75,0,75,0,0,0
03.26,75,0,75,0,0,0
03.27,75,0,75,0,0,0
03.28,75,0,75,0,0,0
03.29,75,0,75,0,0,0
03.30,75,0,75,0,0,0
03.31,75,0,75,0,0,0
04.01,75,0,75,0,0,0
04.02,75,0,75,0,0,0
04.03,75,0,75,0,0,0
04.04,75,0,75,0,0,0
04.05,75,0,75,0,0,0
04.06,75,0,75,0,0,0
04.07,75,0,75,0,0,0
04.08,75,0,75,0,0,0
04.09,75,0,75,0,0,0
04.10,75,0,75,0,0,0
04.11,75,0,75,0,0,0
04.12,75,0,75,0,0,0
04.13,75,0,75,0,0,0
04.14,75,0,75,0,0,0
04.15,75,0,75,0,0,0
04.16,75,0,75,0,0,0
04.17,75,0,75,0,0,0
04.18,75,0,75,0,0,0
04.19,75,0,75,0,0,0
04.20,75,0,75,0,0,0
04.21,75,0,75,0,0,0
04.22,75,0,75,0,0,0
04.23,75,0,75,0,0,0
04.24,75,0,75,0,0,0
04.25,75,0,75,0,0,0
04.26,75,0,75,0,0,0
04.27,75,0,75,0,0,0
04.28,75,0,75,0,0,0
04.29,75,0,75,0,0,0
04.30,75,0,75,0,0,0
05.01,75,0,75,0,0,0
05.02,75,0,75,0,0,0
05.03,75,0,75,0,0,0
05.04,75,0,75,0,0,0
05.05,75,0,75,0,0,0
05.06,75,0,75,0,0,0
05.07,75,0,75,0,0,0
05.08,75,0,75,0,0,0
05.09,75,0,75,0,0,0
05.10,75,0,75,0,0,0
05.11,75,0,75,0,0,0
05.12,75,0,75,0,0,0
05.13,75,0,75,0,0,0
05.14,75,0,75,0,0,0
05.15,75,0,75,0,0,0
05.16,75,0,75,0,0,0
05.17,75,0,75,0,0,0
05.18,75,0,75,0,0,0
05.19,75,0,75,0,0,0
05.20,75,0,75,0,0,0
05.21,75,0,75,0,0,0
05.22,75,0,75,0,0,0
05.23,75,0,75,0,0,0
05.24,75,0,75,0,0,0
05.25,75,0,75,0,0,0
05.26,75,0,75,0,0,0
05.27,75,0,75,0,0,0
05.28,75,0,75,0,0,0
05.29,75,0,75,0,0,0
05.30,75,0,75,0,0,0
05.31,75,0,75,0,0,0
06.01,75,0,75,0,0,0
06.02,75,0,75,0,0,0
06.03,75,0,75,0,0,0
06.04,75,0,75,0,0,0
06.05,75,0,75,0,0,0
06.06,75,0,75,0,0,0
06.07,75,0,75,0,0,0
06.08,75,0,75,0,0,0
06.09,75,0,75,0,0,0
06.10,75,0,75,0,0,0
06.11,75,0,75,0,0,0
06.12,75,0,75,0,0,0
06.13,75,0,75,0,0,0
06.14,75,0,75,0,0,0
06.15,75,0,75,0,0,0
06.16,75,0,75,0,0,0
06.17,75,0,75,0,0,0
06.18,75,0,75,0,0,0
06.19,75,0,75,0,0,0
