日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.23,15,0,0,0,0,0
01.24,39,24,0,0,0,0
01.25,60,21,0,0,0,0
01.26,70,10,0,0,0,0
01.27,106,36,0,0,0,0
01.28,152,46,0,0,0,0
01.29,200,48,2,0,0,2
01.30,237,37,3,0,0,1
01.31,297,60,3,0,0,0
02.01,340,43,5,0,0,2
02.02,408,68,7,0,0,2
02.03,480,72,14,0,0,7
02.04,530,50,20,0,0,6
02.05,591,61,23,0,0,3
02.06,665,74,34,0,0,11
02.07,733,68,47,0,0,13
02.08,779,46,59,1,1,12
02.09,830,51,73,3,2,14
02.10,860,30,88,4,1,15
02.11,889,29,108,4,0,20
02.12,910,22,128,5,1,20
02.13,934,24,166,6,1,38
02.14,934,24,196,6,0,30
02.15,962,12,232,6,0,36
02.16,973,11,293,6,0,61
02.17,982,9,361,6,0,68
02.18,986,4,424,6,0,63
02.19,987,1,500,6,0,76
02.20,988,1,500,6,0,0
02.21,989,1,620,6,0,120
02.22,989,1,648,6,0,28
02.23,989,0,692,6,0,44
02.24,989,0,727,6,0,35
02.25,989,0,764,6,0,37
02.26,989,0,815,6,0,51
02.27,990,1,842,6,0,27
02.28,990,0,868,6,0,26
02.29,990,0,888,6,0,20
03.01,990,0,917,6,0,29
03.02,990,0,941,6,0,24
03.03,990,0,956,6,0,15
03.04,990,0,970,6,0,14
03.05,990,0,970,6,0,0
03.06,990,0,981,6,0,11
03.07,990,0,984,6,0,3
03.08,990,0,984,6,0,0
03.09,990,0,984,6,0,0
03.10,990,0,984,6,0,0
03.11,990,0,984,6,0,0
03.12,990,0,984,6,0,0
03.13,990,0,984,6,0,0
03.14,990,0,984,6,0,0
03.15,990,0,984,6,0,0
03.16,990,0,984,6,0,0
03.17,990,0,984,6,0,0
03.18,990,0,984,6,0,0
03.19,990,0,984,6,0,0
03.20,990,0,984,6,0,0
03.21,990,0,984,6,0,0
03.22,990,0,984,6,0,0
03.23,990,0,984,6,0,0
03.24,990,0,984,6,0,0
03.25,990,0,984,6,0,0
03.26,990,0,984,6,0,0
03.27,990,0,984,6,0,0
03.28,990,0,984,6,0,0
03.29,990,0,984,6,0,0
03.30,990,0,984,6,0,0
03.31,990,0,984,6,0,0
04.01,990,0,984,6,0,0
04.02,990,0,984,6,0,0
04.03,990,0,984,6,0,0
04.04,990,0,984,6,0,0
04.05,990,0,984,6,0,0
04.06,990,0,984,6,0,0
04.07,990,0,984,6,0,0
04.08,991,1,984,6,0,0
04.09,991,0,984,6,0,0
04.10,991,0,984,6,0,0
04.11,991,0,984,6,0,0
04.12,991,0,984,6,0,0
04.13,991,0,984,6,0,0
04.14,991,0,984,6,0,0
04.15,991,0,984,6,0,0
04.16,991,0,984,6,0,0
04.17,991,0,984,6,0,0
04.18,991,0,984,6,0,0
04.19,991,0,984,6,0,0
04.20,991,0,984,6,0,0
04.21,991,0,984,6,0,0
04.22,991,0,984,6,0,0
04.23,991,0,984,6,0,0
04.24,991,0,985,6,0,1
04.25,991,0,985,6,0,0
04.26,991,0,985,6,0,0
04.27,991,0,985,6,0,0
04.28,991,0,985,6,0,0
04.29,991,0,985,6,0,0
04.30,991,0,985,6,0,0
05.01,991,0,985,6,0,0
05.02,991,0,985,6,0,0
05.03,991,0,985,6,0,0
05.04,991,0,985,6,0,0
05.05,991,0,985,6,0,0
05.06,991,0,985,6,0,0
05.07,991,0,985,6,0,0
05.08,991,0,985,6,0,0
05.09,991,0,985,6,0,0
05.10,991,0,985,6,0,0
05.11,991,0,985,6,0,0
05.12,991,0,985,6,0,0
05.13,991,0,985,6,0,0
05.14,991,0,985,6,0,0
05.15,991,0,985,6,0,0
05.16,991,0,985,6,0,0
05.17,991,0,985,6,0,0
05.18,991,0,985,6,0,0
05.19,991,0,985,6,0,0
05.20,991,0,985,6,0,0
05.21,991,0,985,6,0,0
05.22,991,0,985,6,0,0
05.23,991,0,985,6,0,0
05.24,991,0,985,6,0,0
05.25,991,0,985,6,0,0
05.26,991,0,985,6,0,0
05.27,991,0,985,6,0,0
05.28,991,0,985,6,0,0
05.29,991,0,985,6,0,0
05.30,991,0,985,6,0,0
05.31,991,0,985,6,0,0
06.01,991,0,985,6,0,0
06.02,991,0,985,6,0,0
06.03,991,0,985,6,0,0
06.04,991,0,985,6,0,0
06.05,991,0,985,6,0,0
06.06,991,0,985,6,0,0
06.07,991,0,985,6,0,0
06.08,991,0,985,6,0,0
06.09,991,0,985,6,0,0
06.10,991,0,985,6,0,0
06.11,991,0,985,6,0,0
06.12,991,0,985,6,0,0
06.13,991,0,985,6,0,0
06.14,991,0,985,6,0,0
06.15,991,0,985,6,0,0
06.16,991,0,985,6,0,0
06.17,991,0,985,6,0,0
06.18,991,0,985,6,0,0
06.19,991,0,985,6,0,0
