日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.28,121,26,0,0,0,0
01.29,145,24,1,0,0,1
01.30,178,33,2,0,0,1
01.31,202,24,2,0,0,0
02.01,225,23,5,0,0,3
02.02,246,21,6,0,0,1
02.03,270,11,7,0,0,1
02.04,298,28,13,0,0,6
02.05,343,45,18,0,0,5
02.06,347,40,30,0,0,12
02.07,386,39,37,0,0,7
02.08,416,30,42,0,0,5
02.09,444,28,61,1,1,19
02.10,486,27,71,1,0,10
02.11,436,19,85,1,0,14
02.12,506,9,98,2,1,13
02.13,519,13,111,2,0,13
02.14,530,11,139,2,0,28
02.15,537,7,164,2,0,25
02.16,541,4,175,2,0,11
02.17,543,2,193,2,0,18
02.18,544,1,215,3,1,22
02.19,546,2,250,4,1,35
02.20,748,202,270,4,0,20
02.21,750,2,293,4,0,23
02.22,754,4,311,4,0,18
02.23,755,1,325,4,0,14
02.24,755,1,343,6,2,18
02.25,756,1,357,6,0,14
02.26,756,0,381,6,0,24
02.27,756,0,390,6,0,9
02.28,756,0,411,6,0,21
02.29,756,0,431,6,0,20
03.01,758,2,455,6,0,24
03.02,758,0,497,6,0,42
03.03,758,0,511,6,0,14
03.04,758,0,576,6,0,65
03.05,758,0,577,6,0,1
03.06,758,0,625,6,0,48
03.07,758,0,638,6,0,13
03.08,758,0,699,6,0,61
03.09,758,0,719,6,0,20
03.10,759,1,721,6,0,2
03.11,760,1,733,6,0,12
03.12,760,0,739,7,1,6
03.13,760,0,741,7,0,2
03.14,760,0,741,7,0,0
03.15,760,0,743,7,0,2
03.16,761,1,746,7,0,3
03.17,761,0,746,7,0,0
03.18,761,0,746,7,0,0
03.19,762,1,747,7,0,1
03.20,762,1,748,7,0,1
03.21,764,2,749,7,0,1
03.22,768,2,752,7,0,3
03.23,768,0,752,7,0,0
03.24,769,1,752,7,0,0
03.25,769,2,752,7,0,0
03.26,771,2,752,7,0,0
03.27,772,0,752,7,0,0
03.28,772,0,752,7,0,0
03.29,773,1,753,7,0,1
03.30,774,1,753,7,0,0
03.31,774,0,753,7,0,0
04.01,775,1,753,7,0,0
04.02,778,3,754,7,0,1
04.03,778,0,755,7,0,1
04.04,779,1,755,7,0,0
04.05,780,1,755,7,0,0
04.06,781,1,755,7,0,0
04.07,783,2,755,7,0,0
04.08,783,0,756,7,0,1
04.09,783,0,756,7,0,0
04.10,784,1,757,7,0,1
04.11,784,0,757,7,0,0
04.12,784,0,758,7,0,1
04.13,784,0,759,7,0,1
04.14,784,0,761,7,0,2
04.15,784,0,761,7,0,0
04.16,787,3,761,7,0,0
04.17,787,0,765,7,0,4
04.18,787,0,765,7,0,0
04.19,787,0,765,7,0,0
04.20,787,0,765,7,0,0
04.21,787,0,766,7,0,1
04.22,787,0,766,7,0,0
04.23,787,0,766,7,0,0
04.24,787,0,767,7,0,1
04.25,787,0,767,7,0,0
04.26,787,0,768,7,0,1
04.27,787,0,768,7,0,0
04.28,787,0,771,7,0,3
04.29,787,0,772,7,0,1
04.30,787,0,772,7,0,0
05.01,787,0,772,7,0,0
05.02,787,0,772,7,0,0
05.03,788,1,773,7,0,1
05.04,788,0,773,7,0,0
05.05,788,0,775,7,0,2
05.06,788,0,775,7,0,0
05.07,788,0,776,7,0,1
05.08,788,0,776,7,0,0
05.09,788,0,776,7,0,0
05.10,788,0,777,7,0,1
05.11,788,0,777,7,0,0
05.12,788,0,777,7,0,0
05.13,788,0,777,7,0,0
05.14,788,0,778,7,0,1
05.15,788,0,780,7,0,2
05.16,788,0,780,7,0,0
05.17,788,0,780,7,0,0
05.18,788,0,780,7,0,0
05.19,788,0,780,7,0,0
05.20,788,0,780,7,0,0
05.21,788,0,780,7,0,0
05.22,788,0,780,7,0,0
05.23,788,0,780,7,0,0
05.24,788,0,780,7,0,0
05.25,788,0,780,7,0,0
05.26,788,0,780,7,0,0
05.27,788,0,780,7,0,0
05.28,788,0,780,7,0,0
05.29,790,2,780,7,0,0
05.30,792,2,780,7,0,0
05.31,792,0,780,7,0,0
06.01,792,0,780,7,0,0
06.02,792,0,780,7,0,0
06.03,792,0,780,7,0,0
06.04,792,0,780,7,0,0
06.05,792,0,780,7,0,0
06.06,792,0,780,7,0,0
06.07,792,0,781,7,0,1
06.08,792,0,781,7,0,0
06.09,792,0,781,7,0,0
06.10,792,0,781,7,0,0
06.11,792,0,781,7,0,0
06.12,792,0,781,7,0,0
06.13,792,0,782,7,0,1
06.14,792,0,782,7,0,0
06.15,792,0,783,7,0,1
06.16,792,0,783,7,0,0
06.17,792,0,783,7,0,0
06.18,792,0,783,7,0,0
06.19,792,0,783,7,0,0
