日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.24,6,5,0,0,0,0
01.25,9,3,0,0,0,0
01.26,13,4,0,0,0,0
01.27,20,7,0,0,0,0
01.28,27,7,0,0,0,0
01.29,35,8,1,0,0,1
01.30,39,4,1,0,0,0
01.31,47,8,1,0,0,0
02.01,56,9,1,0,0,0
02.02,66,10,2,0,0,1
02.03,74,8,2,0,0,0
02.04,81,7,4,0,0,2
02.05,90,9,6,0,0,2
02.06,96,6,12,0,0,6
02.07,104,8,15,0,0,3
02.08,115,12,21,0,0,6
02.09,119,4,25,0,0,4
02.10,122,3,26,0,0,1
02.11,124,2,30,0,0,4
02.12,126,2,33,0,0,3
02.13,126,0,36,0,0,3
02.14,127,1,38,0,0,2
02.15,128,1,46,0,0,8
02.16,129,1,50,0,0,4
02.17,130,1,53,0,0,3
02.18,131,1,61,0,0,8
02.19,131,0,68,0,0,7
02.20,132,1,76,0,0,8
02.21,132,0,78,0,0,2
02.22,132,0,81,0,0,3
02.23,132,0,88,0,0,7
02.24,133,0,94,0,0,6
02.25,133,1,94,0,0,0
02.26,133,0,107,0,0,13
02.27,133,0,112,0,0,5
02.29,133,0,114,0,0,2
03.01,133,0,116,0,0,2
03.02,133,0,119,0,0,3
03.03,133,0,124,0,0,5
03.04,133,0,124,0,0,0
03.05,133,0,124,0,0,0
03.06,133,0,126,0,0,2
03.07,133,0,126,0,0,0
03.08,133,0,127,0,0,1
03.09,133,0,131,0,0,4
03.10,133,0,132,0,0,1
03.11,133,0,131,0,0,-1
03.12,133,0,132,0,0,1
03.13,133,0,133,0,0,1
03.14,133,0,133,0,0,0
03.15,133,0,133,0,0,0
03.16,133,0,133,0,0,0
03.17,133,0,133,0,0,0
03.18,133,0,133,0,0,0
03.19,133,0,133,0,0,0
03.20,133,0,133,0,0,0
03.21,133,0,133,0,0,0
03.22,133,0,133,0,0,0
03.23,134,1,133,0,0,0
03.24,134,0,133,0,0,0
03.25,135,1,133,0,0,0
03.26,135,0,133,0,0,0
03.27,135,0,133,0,0,0
03.28,136,1,133,0,0,0
03.29,136,0,133,0,0,0
03.30,136,0,133,0,0,0
03.31,137,1,133,0,0,0
04.01,137,0,133,0,0,0
04.02,137,0,133,0,0,0
04.03,137,0,133,0,0,0
04.04,138,1,133,0,0,0
04.05,138,0,133,0,0,0
04.06,138,0,133,0,0,0
04.07,163,25,134,0,0,1
04.08,166,3,134,0,0,0
04.09,168,2,134,0,0,0
04.10,172,4,135,0,0,1
04.11,172,0,135,0,0,0
04.12,173,1,135,0,0,0
04.13,173,0,135,0,0,0
04.14,186,13,135,0,0,0
04.15,194,8,135,0,0,0
04.16,197,3,135,0,0,0
04.17,197,0,135,0,0,0
04.18,197,0,135,0,0,0
04.19,197,0,135,0,0,0
04.20,197,0,140,0,0,5
04.21,197,0,140,0,0,0
04.22,197,0,142,0,0,2
04.23,197,0,142,0,0,0
04.24,197,0,149,0,0,7
04.25,197,0,154,0,0,5
04.26,197,0,157,0,0,3
04.27,197,0,160,0,0,3
04.28,197,0,160,0,0,0
04.29,197,0,164,0,0,4
04.30,197,0,172,0,0,8
05.01,197,0,176,0,0,4
05.02,198,1,176,0,0,0
05.03,198,0,180,0,0,4
05.04,198,0,190,0,0,10
05.05,198,0,193,0,0,3
05.06,198,0,194,0,0,1
05.07,198,0,195,0,0,1
05.08,198,0,196,0,0,1
05.09,198,0,197,0,0,1
05.10,198,0,197,0,0,0
05.11,198,0,197,0,0,0
05.12,198,0,198,0,0,1
05.13,198,0,198,0,0,0
05.14,198,0,198,0,0,0
05.15,198,0,198,0,0,0
05.16,198,0,198,0,0,0
05.17,198,0,198,0,0,0
05.18,198,0,198,0,0,0
05.19,198,0,198,0,0,0
05.20,198,0,198,0,0,0
05.21,198,0,198,0,0,0
05.22,198,0,198,0,0,0
05.23,198,0,198,0,0,0
05.24,198,0,198,0,0,0
05.25,198,0,198,0,0,0
05.26,198,0,198,0,0,0
05.27,198,0,198,0,0,0
05.28,198,0,198,0,0,0
05.29,198,0,198,0,0,0
05.30,198,0,198,0,0,0
05.31,198,0,198,0,0,0
06.01,198,0,198,0,0,0
06.02,198,0,198,0,0,0
06.03,198,0,198,0,0,0
06.04,198,0,198,0,0,0
06.05,198,0,198,0,0,0
06.06,198,0,198,0,0,0
06.07,198,0,198,0,0,0
06.08,198,0,198,0,0,0
06.09,198,0,198,0,0,0
06.10,198,0,198,0,0,0
06.11,198,0,198,0,0,0
06.12,198,0,198,0,0,0
06.13,198,0,198,0,0,0
06.14,198,0,198,0,0,0
06.15,198,0,198,0,0,0
06.16,198,0,198,0,0,0
06.17,198,0,198,0,0,0
06.18,198,0,198,0,0,0
06.19,198,0,198,0,0,0
