日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.21,26,9,0,0,0,0
01.22,32,6,0,0,0,0
01.23,53,21,2,0,0,2
01.24,78,25,2,0,0,0
01.26,146,48,2,0,0,0
01.27,188,42,4,0,0,2
01.28,241,53,5,0,0,1
01.29,311,70,6,0,0,1
01.30,393,82,9,0,0,3
01.31,520,127,9,0,0,0
02.01,604,84,12,0,0,3
02.02,683,79,14,0,0,2
02.03,797,114,20,0,0,6
02.04,870,73,32,0,0,12
02.05,944,74,49,0,0,17
02.06,1018,74,68,0,0,19
02.07,1075,57,97,1,1,29
02.08,1120,45,125,1,0,28
02.09,1151,31,143,1,0,18
02.10,1177,26,181,1,0,38
02.11,1219,42,241,1,0,60
02.12,1241,22,284,1,0,43
02.13,1241,22,284,2,1,0
02.14,1294,33,386,2,0,102
02.15,1316,22,436,2,0,50
02.16,1322,6,473,4,2,37
02.17,1328,6,530,4,0,57
02.18,1331,3,571,5,1,41
02.19,1332,1,619,5,0,48
02.20,1333,1,664,5,0,45
02.21,1339,6,720,5,0,56
02.22,1342,3,740,6,1,20
02.23,1345,3,772,6,0,32
02.24,1347,2,805,7,1,33
02.25,1347,0,841,7,0,36
02.26,1347,0,873,7,0,32
02.27,1348,1,919,7,0,46
02.28,1349,1,972,7,0,53
02.29,1349,0,1009,7,0,37
03.01,1350,1,1034,7,0,25
03.02,1350,0,1081,7,0,47
03.03,1350,0,1129,7,0,48
03.04,1350,0,1159,7,0,30
03.05,1351,1,1181,7,0,22
03.06,1352,1,1233,7,0,52
03.07,1352,0,1250,7,0,17
03.08,1352,0,1260,8,1,10
03.09,1353,1,1270,8,0,10
03.10,1353,0,1282,8,0,12
03.11,1356,3,1288,8,0,6
03.12,1356,0,1296,8,0,8
03.13,1356,0,1299,8,0,3
03.14,1357,1,1299,8,0,0
03.15,1361,4,1306,8,0,7
03.16,1364,3,1307,8,0,1
03.17,1370,6,1312,8,0,5
03.18,1378,8,1318,8,0,6
03.19,1392,14,1322,8,0,4
03.20,1399,7,1325,8,0,3
03.21,1407,8,1329,8,0,4
03.22,1413,6,1332,8,0,3
03.23,1428,15,1333,8,0,1
03.24,1433,5,1334,8,0,1
03.25,1444,11,1336,8,0,2
03.26,1456,12,1337,8,0,1
03.27,1467,11,1341,8,0,4
03.28,1475,8,1349,8,0,8
03.29,1484,9,1351,8,0,2
03.30,1490,6,1353,8,0,2
03.31,1501,11,1357,8,0,4
04.01,1507,6,1365,8,0,8
04.02,1514,7,1368,8,0,3
04.03,1516,2,1378,8,0,10
04.04,1524,8,1387,8,0,9
04.05,1532,8,1395,8,0,8
04.06,1533,1,1401,8,0,6
04.07,1536,3,1411,8,0,10
04.08,1539,3,1423,8,0,12
04.09,1544,5,1434,8,0,11
04.10,1548,4,1437,8,0,3
04.11,1552,4,1443,8,0,6
04.12,1555,3,1454,8,0,11
04.13,1564,9,1458,8,0,4
04.14,1566,2,1462,8,0,4
04.15,1571,5,1471,8,0,9
04.16,1577,6,1475,8,0,4
04.17,1579,2,1482,8,0,7
04.18,1580,1,1490,8,0,8
04.19,1581,1,1494,8,0,4
04.20,1582,1,1501,8,0,7
04.21,1582,0,1511,8,0,10
04.22,1584,2,1518,8,0,7
04.23,1585,1,1528,8,0,10
04.24,1585,0,1534,8,0,6
04.25,1586,1,1542,8,0,8
04.26,1587,1,1542,8,0,0
04.27,1587,0,1547,8,0,5
04.28,1588,1,1554,8,0,7
04.29,1588,0,1557,8,0,3
04.30,1588,0,1565,8,0,8
05.01,1588,0,1567,8,0,2
05.02,1588,0,1567,8,0,0
05.03,1588,0,1569,8,0,2
05.04,1588,0,1571,8,0,2
05.05,1588,0,1575,8,0,4
05.06,1589,1,1575,8,0,0
05.07,1589,0,1575,8,0,0
05.08,1589,0,1576,8,0,1
05.09,1589,0,1576,8,0,0
05.10,1589,0,1577,8,0,1
05.11,1589,0,1578,8,0,1
05.12,1589,0,1578,8,0,0
05.13,1589,0,1579,8,0,1
05.14,1589,0,1579,8,0,0
05.15,1589,0,1579,8,0,0
05.16,1590,1,1579,8,0,0
05.17,1590,0,1579,8,0,0
05.18,1590,0,1579,8,0,0
05.19,1590,0,1579,8,0,0
05.20,1591,1,1579,8,0,0
05.21,1591,0,1580,8,0,1
05.22,1591,0,1580,8,0,0
05.23,1592,1,1580,8,0,0
05.24,1592,0,1581,8,0,1
05.25,1592,0,1581,8,0,0
05.26,1592,0,1581,8,0,0
05.27,1592,0,1582,8,0,1
05.28,1592,0,1582,8,0,0
05.29,1593,1,1583,8,0,1
05.30,1593,0,1583,8,0,0
05.31,1595,2,1583,8,0,0
06.01,1596,1,1583,8,0,0
06.02,1597,1,1583,8,0,0
06.03,1598,1,1583,8,0,0
06.04,1598,0,1584,8,0,1
06.05,1601,3,1584,8,0,0
06.06,1602,1,1584,8,0,0
06.07,1602,0,1585,8,0,1
06.08,1604,2,1586,8,0,1
06.09,1604,0,1587,8,0,1
06.10,1607,3,1588,8,0,1
06.11,1607,0,1589,8,0,1
06.12,1608,1,1590,8,0,1
06.13,1625,17,1590,8,0,0
06.14,1625,0,1590,8,0,0
06.15,1628,3,1592,8,0,2
06.16,1628,0,1592,8,0,0
06.17,1628,0,1603,8,0,11
06.18,1631,3,1604,8,0,1
06.19,1631,3,1604,8,0,0
