日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.20,0,0,0,0,0,0
01.21,0,0,0,0,0,0
01.22,0,0,0,0,0,0
01.23,2,2,0,0,0,0
01.23,2,0,0,0,0,0
01.24,3,1,0,0,0,0
01.24,3,1,0,0,0,0
01.25,4,1,0,0,0,0
01.25,4,1,0,0,0,0
01.26,5,1,0,0,0,0
01.26,5,1,0,0,0,0
01.27,10,5,0,0,0,0
01.27,10,5,0,0,0,0
01.28,13,3,0,0,0,0
01.28,13,3,0,0,0,0
01.29,14,1,0,0,0,0
01.29,14,1,0,0,0,0
01.30,17,3,0,0,0,0
01.30,17,3,0,0,0,0
01.31,18,1,0,0,0,0
01.31,18,1,0,0,0,0
02.01,21,3,0,0,0,0
02.01,21,3,0,0,0,0
02.02,24,3,0,0,0,0
02.02,24,3,0,0,0,0
02.03,29,5,0,0,0,0
02.03,29,5,0,0,0,0
02.04,32,3,0,0,0,0
02.04,32,3,0,0,0,0
02.05,36,4,0,0,0,0
02.05,36,4,0,0,0,0
02.06,39,3,0,0,0,0
02.07,42,3,0,0,0,0
02.08,45,3,0,0,0,0
02.09,49,4,0,0,0,0
02.10,55,6,0,0,0,0
02.11,59,4,3,0,0,3
02.12,63,4,3,1,1,0
02.13,65,2,6,1,0,3
02.14,70,5,6,1,0,0
02.15,71,1,11,1,0,5
02.16,75,4,12,1,0,1
02.17,76,1,12,1,0,0
02.18,76,0,14,1,0,2
02.19,76,0,20,1,0,6
02.20,76,0,22,1,0,2
02.21,76,0,24,2,1,2
02.22,76,0,25,2,0,1
02.23,76,0,28,2,0,3
02.24,76,0,30,2,0,2
02.25,76,0,30,2,0,0
02.26,76,0,34,2,0,4
02.27,76,0,43,2,0,9
02.28,76,0,52,3,1,9
02.29,76,0,62,3,0,10
03.01,76,0,64,3,0,2
03.02,76,0,64,3,0,0
03.03,76,0,68,3,0,4
03.04,76,0,69,3,0,1
03.05,76,0,70,3,0,1
03.06,76,0,71,3,0,1
03.07,76,0,72,3,0,1
03.08,76,0,73,3,0,1
03.09,76,0,73,3,0,0
03.10,76,0,73,3,0,0
03.11,76,0,73,3,0,0
03.12,76,0,73,3,0,0
03.13,76,0,73,3,0,0
03.14,76,0,73,3,0,0
03.15,76,0,73,3,0,0
03.16,76,0,73,3,0,0
03.17,76,0,73,3,0,0
03.18,76,0,73,3,0,0
03.19,76,0,73,3,0,0
03.20,76,0,73,3,0,0
03.21,76,0,73,3,0,0
03.22,76,0,73,3,0,0
03.23,76,0,73,3,0,0
03.24,76,0,73,3,0,0
03.25,76,0,73,3,0,0
03.26,76,0,73,3,0,0
03.27,76,0,73,3,0,0
03.28,76,0,73,3,0,0
03.29,76,0,73,3,0,0
03.30,76,0,73,3,0,0
03.31,76,0,73,3,0,0
04.01,76,0,73,3,0,0
04.02,76,0,73,3,0,0
04.03,76,0,73,3,0,0
04.04,76,0,73,3,0,0
04.05,76,0,73,3,0,0
04.06,76,0,73,3,0,0
04.07,76,0,73,3,0,0
04.08,76,0,73,3,0,0
04.09,76,0,73,3,0,0
04.10,76,0,73,3,0,0
04.11,76,0,73,3,0,0
04.12,76,0,73,3,0,0
04.13,76,0,73,3,0,0
04.14,76,0,73,3,0,0
04.15,76,0,73,3,0,0
04.16,76,0,73,3,0,0
04.17,76,0,73,3,0,0
04.18,76,0,73,3,0,0
04.19,76,0,73,3,0,0
04.20,76,0,73,3,0,0
04.21,76,0,73,3,0,0
04.22,76,0,73,3,0,0
04.23,76,0,73,3,0,0
04.24,76,0,73,3,0,0
04.25,76,0,73,3,0,0
04.26,76,0,73,3,0,0
04.27,76,0,73,3,0,0
04.28,76,0,73,3,0,0
04.29,76,0,73,3,0,0
04.30,76,0,73,3,0,0
05.01,76,0,73,3,0,0
05.02,76,0,73,3,0,0
05.03,76,0,73,3,0,0
05.04,76,0,73,3,0,0
05.05,76,0,73,3,0,0
05.06,76,0,73,3,0,0
05.07,76,0,73,3,0,0
05.08,76,0,73,3,0,0
05.09,76,0,73,3,0,0
05.10,76,0,73,3,0,0
05.11,76,0,73,3,0,0
05.12,76,0,73,3,0,0
05.13,76,0,73,3,0,0
05.14,76,0,73,3,0,0
05.15,76,0,73,3,0,0
05.16,76,0,73,3,0,0
05.17,76,0,73,3,0,0
05.18,76,0,73,3,0,0
05.19,76,0,73,3,0,0
05.20,76,0,73,3,0,0
05.21,76,0,73,3,0,0
05.22,76,0,73,3,0,0
05.23,76,0,73,3,0,0
05.24,76,0,73,3,0,0
05.25,76,0,73,3,0,0
05.26,76,0,73,3,0,0
05.27,76,0,73,3,0,0
05.28,76,0,73,3,0,0
05.29,76,0,73,3,0,0
05.30,76,0,73,3,0,0
05.31,76,0,73,3,0,0
06.01,76,0,73,3,0,0
06.02,76,0,73,3,0,0
06.03,76,0,73,3,0,0
06.04,76,0,73,3,0,0
06.05,76,0,73,3,0,0
06.06,76,0,73,3,0,0
06.07,76,0,73,3,0,0
06.08,76,0,73,3,0,0
06.09,76,0,73,3,0,0
06.10,76,0,73,3,0,0
06.11,76,0,73,3,0,0
06.12,76,0,73,3,0,0
06.13,76,0,73,3,0,0
06.14,76,0,73,3,0,0
06.15,76,0,73,3,0,0
06.16,76,0,73,3,0,0
06.17,76,0,73,3,0,0
06.18,76,0,73,3,0,0
06.19,76,0,73,3,0,0
