日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.22,1,1,0,0,0,0
01.23,9,4,1,0,0,1
01.24,18,9,1,0,0,0
01.25,31,13,1,0,0,0
01.26,47,16,1,0,0,0
01.27,70,23,1,0,0,0
01.28,99,29,1,0,0,0
01.29,129,30,1,0,0,0
01.30,168,39,2,0,0,1
01.31,202,34,6,0,0,4
02.01,236,34,8,0,0,2
02.02,271,35,7,0,0,-1
02.03,308,37,8,0,0,1
02.04,341,33,13,0,0,5
02.05,373,32,26,0,0,13
02.06,408,35,38,0,0,12
02.07,439,31,43,0,0,5
02.08,468,29,51,0,0,8
02.09,492,24,72,0,0,21
02.10,515,23,84,0,0,12
02.11,543,28,94,0,0,10
02.12,570,27,131,0,0,37
02.13,593,23,137,0,0,6
02.14,604,11,160,0,0,23
02.15,617,13,190,0,0,30
02.16,626,9,226,0,0,36
02.17,629,3,263,0,0,37
02.18,631,2,296,0,0,33
02.19,631,0,325,0,0,29
02.20,631,0,352,0,0,27
02.21,631,0,387,0,0,35
02.22,631,0,411,0,0,24
02.23,631,0,427,0,0,16
02.24,631,0,458,0,0,31
02.25,631,0,463,0,0,5
02.26,631,0,494,0,0,31
02.27,631,0,506,0,0,12
02.28,631,0,519,0,0,13
02.29,631,0,529,0,0,10
03.01,631,0,536,0,0,7
03.02,631,0,555,0,0,19
03.03,631,0,565,0,0,10
03.04,631,0,580,0,0,15
03.05,631,0,588,0,0,8
03.06,631,0,601,0,0,13
03.07,631,0,610,0,0,9
03.08,631,0,618,0,0,8
03.09,631,0,622,0,0,4
03.10,631,0,627,0,0,5
03.11,631,0,628,0,0,1
03.12,631,0,630,0,0,2
03.13,631,0,630,0,0,0
03.14,631,0,631,0,0,1
03.15,631,0,631,0,0,0
03.16,631,0,631,0,0,0
03.17,631,0,631,0,0,0
03.18,631,0,631,0,0,0
03.19,631,0,631,0,0,0
03.20,631,0,631,0,0,0
03.21,633,2,631,0,0,0
03.22,633,0,631,0,0,0
03.23,636,3,631,0,0,0
03.24,638,2,631,0,0,0
03.25,640,2,631,0,0,0
03.26,641,1,631,0,0,0
03.27,641,1,631,0,0,0
03.28,644,3,631,0,0,0
03.29,645,1,631,0,0,0
03.30,646,1,631,0,0,0
03.31,646,0,631,0,0,0
04.01,647,1,631,0,0,0
04.02,651,4,632,0,0,1
04.03,651,0,632,0,0,0
04.04,651,0,633,0,0,1
04.05,651,0,633,0,0,0
04.06,651,0,633,0,0,0
04.07,651,0,633,0,0,0
04.08,651,0,633,0,0,0
04.09,651,0,634,0,0,1
04.10,652,1,636,0,0,2
04.11,653,1,638,0,0,2
04.12,653,0,638,0,0,0
04.13,653,0,641,0,0,3
04.14,653,0,642,0,0,1
04.15,653,0,642,0,0,0
04.16,653,0,643,0,0,1
04.17,653,0,643,0,0,0
04.18,653,0,643,0,0,0
04.19,653,0,643,0,0,0
04.20,653,0,644,0,0,1
04.21,653,0,645,0,0,1
04.22,653,0,645,0,0,0
04.23,653,0,646,0,0,1
04.24,653,0,646,0,0,0
04.25,653,0,646,0,0,0
04.26,653,0,646,0,0,0
04.27,653,0,646,0,0,0
04.28,653,0,647,0,0,1
04.29,653,0,648,0,0,1
04.30,653,0,650,0,0,2
05.01,653,0,650,0,0,0
05.02,653,0,650,0,0,0
05.03,653,0,650,0,0,0
05.04,653,0,650,0,0,0
05.05,653,0,650,0,0,0
05.06,653,0,651,0,0,1
05.07,653,0,652,0,0,1
05.08,653,0,652,0,0,0
05.09,653,0,652,0,0,0
05.10,653,0,653,0,0,1
05.11,653,0,653,0,0,0
05.12,653,0,653,0,0,0
05.13,653,0,653,0,0,0
05.14,653,0,653,0,0,0
05.15,653,0,653,0,0,0
05.16,653,0,653,0,0,0
05.17,653,0,653,0,0,0
05.18,653,0,653,0,0,0
05.19,653,0,653,0,0,0
05.20,653,0,653,0,0,0
05.21,653,0,653,0,0,0
05.22,653,0,653,0,0,0
05.23,653,0,653,0,0,0
05.24,653,0,653,0,0,0
05.25,653,0,653,0,0,0
05.26,653,0,653,0,0,0
05.27,653,0,653,0,0,0
05.28,653,0,653,0,0,0
05.29,653,0,653,0,0,0
05.30,653,0,653,0,0,0
05.31,653,0,653,0,0,0
06.01,653,0,653,0,0,0
06.02,653,0,653,0,0,0
06.03,653,0,653,0,0,0
06.04,653,0,653,0,0,0
06.05,653,0,653,0,0,0
06.06,653,0,653,0,0,0
06.07,653,0,653,0,0,0
06.08,653,0,653,0,0,0
06.09,653,0,653,0,0,0
06.10,653,0,653,0,0,0
06.11,653,0,653,0,0,0
06.12,653,0,653,0,0,0
06.13,653,0,653,0,0,0
06.14,653,0,653,0,0,0
06.15,653,0,653,0,0,0
06.16,653,0,653,0,0,0
06.17,653,0,653,0,0,0
06.18,653,0,653,0,0,0
06.19,653,0,653,0,0,0
