日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.22,3,1,0,0,0,0
01.23,7,4,0,0,0,0
01.24,18,11,0,0,0,0
01.25,36,18,0,0,0,0
01.26,48,12,0,0,0,0
01.27,72,24,2,0,0,2
01.28,109,37,3,0,0,1
01.29,162,53,3,0,0,0
01.30,240,78,7,0,0,4
01.31,286,47,9,0,0,2
02.01,333,47,10,0,0,1
02.02,391,59,18,0,0,8
02.03,476,85,19,0,0,1
02.04,548,72,27,0,0,8
02.05,600,52,37,0,0,10
02.06,661,61,45,0,0,8
02.07,698,37,55,0,0,10
02.08,740,42,72,0,0,17
02.09,771,32,102,1,1,30
02.10,804,32,127,2,1,25
02.11,844,40,152,1,-1,25
02.12,872,28,170,1,0,18
02.13,900,28,187,1,0,17
02.14,913,13,210,1,0,23
02.15,925,12,239,1,0,29
02.16,930,5,275,1,0,36
02.17,933,3,310,1,0,35
02.18,934,1,362,1,0,52
02.19,934,1,432,1,0,70
02.20,934,0,489,1,0,57
02.21,934,0,544,1,0,55
02.22,934,0,611,1,0,67
02.23,934,0,645,1,0,34
02.24,934,0,682,1,0,37
02.25,934,0,719,1,0,37
02.26,934,0,754,1,0,35
02.27,935,1,790,1,0,36
02.28,935,0,811,1,0,21
02.29,935,0,831,1,0,20
03.01,935,0,850,1,0,19
03.02,935,0,870,1,0,20
03.03,935,0,884,1,0,14
03.04,935,0,901,1,0,17
03.05,935,0,901,1,0,0
03.06,935,0,916,1,0,15
03.07,935,0,918,1,0,2
03.08,935,0,923,1,0,5
03.09,935,0,927,1,0,4
03.10,935,0,932,1,0,5
03.11,935,0,934,1,0,2
03.12,935,0,934,1,0,0
03.13,935,0,934,1,0,0
03.14,935,0,934,1,0,0
03.15,935,0,934,1,0,0
03.16,935,0,934,1,0,0
03.17,935,0,934,1,0,0
03.18,935,0,934,1,0,0
03.19,935,0,934,1,0,0
03.20,935,0,934,1,0,0
03.21,936,1,934,1,0,0
03.22,936,0,934,1,0,0
03.23,936,0,934,1,0,0
03.24,936,0,934,1,0,0
03.25,936,0,934,1,0,0
03.26,936,0,934,1,0,0
03.27,936,0,934,1,0,0
03.28,937,1,934,1,0,0
03.29,937,0,935,1,0,1
03.30,937,0,935,1,0,0
03.31,937,0,935,1,0,0
04.01,937,0,935,1,0,0
04.02,937,0,935,1,0,0
04.03,937,0,935,1,0,0
04.04,937,0,935,1,0,0
04.05,937,0,935,1,0,0
04.06,937,0,935,1,0,0
04.07,937,0,935,1,0,0
04.08,937,0,935,1,0,0
04.09,937,0,936,1,0,1
04.10,937,0,936,1,0,0
04.11,937,0,936,1,0,0
04.12,937,0,936,1,0,0
04.13,937,0,936,1,0,0
04.14,937,0,936,1,0,0
04.15,937,0,936,1,0,0
04.16,937,0,936,1,0,0
04.17,937,0,936,1,0,0
04.18,937,0,936,1,0,0
04.19,937,0,936,1,0,0
04.20,937,0,936,1,0,0
04.21,937,0,936,1,0,0
04.22,937,0,936,1,0,0
04.23,937,0,936,1,0,0
04.24,937,0,936,1,0,0
04.25,937,0,936,1,0,0
04.26,937,0,936,1,0,0
04.27,937,0,936,1,0,0
04.28,937,0,936,1,0,0
04.29,937,0,936,1,0,0
04.30,937,0,936,1,0,0
05.01,937,0,936,1,0,0
05.02,937,0,936,1,0,0
05.03,937,0,936,1,0,0
05.04,937,0,936,1,0,0
05.05,937,0,936,1,0,0
05.06,937,0,936,1,0,0
05.07,937,0,936,1,0,0
05.08,937,0,936,1,0,0
05.09,937,0,936,1,0,0
05.10,937,0,936,1,0,0
05.11,937,0,936,1,0,0
05.12,937,0,936,1,0,0
05.13,937,0,936,1,0,0
05.14,937,0,936,1,0,0
05.15,937,0,936,1,0,0
05.16,937,0,936,1,0,0
05.17,937,0,936,1,0,0
05.18,937,0,936,1,0,0
05.19,937,0,936,1,0,0
05.20,937,0,936,1,0,0
05.21,937,0,936,1,0,0
05.22,937,0,936,1,0,0
05.23,937,0,936,1,0,0
05.24,937,0,936,1,0,0
05.25,937,0,936,1,0,0
05.26,937,0,936,1,0,0
05.27,937,0,936,1,0,0
05.28,937,0,936,1,0,0
05.29,937,0,936,1,0,0
05.30,937,0,936,1,0,0
05.31,937,0,936,1,0,0
06.01,937,0,936,1,0,0
06.02,932,0,931,1,0,-5
06.03,932,0,931,1,0,0
06.04,932,0,931,1,0,0
06.05,932,0,931,1,0,0
06.06,932,0,931,1,0,0
06.07,932,0,931,1,0,0
06.08,932,0,931,1,0,0
06.09,932,0,931,1,0,0
06.10,932,0,931,1,0,0
06.11,932,0,931,1,0,0
06.12,932,0,931,1,0,0
06.13,932,0,931,1,0,0
06.14,932,0,931,1,0,0
06.15,932,0,931,1,0,0
06.16,932,0,931,1,0,0
06.17,932,0,931,1,0,0
06.18,932,0,931,1,0,0
06.19,932,0,931,1,0,0
