日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.20,270,72,25,6,0,0
01.21,375,105,28,9,3,3
01.22,444,69,28,17,8,0
01.23,549,105,31,24,7,3
01.24,729,180,32,39,15,1
01.25,1052,323,42,52,13,10
01.26,1423,371,44,76,24,2
01.27,2714,1291,47,100,24,3
01.28,3554,840,80,125,25,33
01.29,4586,1032,90,162,37,10
01.30,5806,1220,116,204,42,26
01.31,7153,1347,166,249,45,50
02.01,9074,1921,215,294,45,49
02.02,11177,2103,295,350,56,80
02.03,13522,2345,396,414,64,101
02.04,16678,3156,520,479,65,124
02.05,19655,2987,633,549,70,113
02.06,22112,2447,817,618,69,184
02.07,24953,2841,1115,699,81,298
02.08,27100,2147,1439,780,81,324
02.09,29631,2618,1795,871,91,356
02.10,31728,2097,2222,974,103,427
02.11,33366,1638,2639,1068,94,417
02.12,48206,14840,3441,1310,242,802
02.13,51986,4823,4131,1318,8,690
02.14,54406,2420,4774,1457,139,643
02.15,56249,1843,5623,1596,139,849
02.16,58182,1933,6639,1696,100,1016
02.17,59989,1807,7862,1789,93,1223
02.18,61682,1693,9128,1921,132,1266
02.19,62457,775,10337,2029,108,1209
02.20,63088,631,11788,2144,115,1451
02.21,63454,366,13557,2250,106,1769
02.22,64084,630,15299,2346,96,1742
02.23,64287,398,16738,2495,149,1439
02.24,64786,499,18854,2563,68,2116
02.25,65187,401,20912,2615,52,2058
02.26,65596,409,23200,2641,26,2288
02.27,65914,318,26403,2682,41,3203
02.28,66337,423,28895,2727,45,2492
02.29,66907,570,31187,2761,34,2292
03.01,67103,196,33757,2803,42,2570
03.02,67217,114,36167,2834,31,2410
03.03,67332,115,38556,2871,37,2389
03.04,67466,134,40479,2902,31,1923
03.05,67592,126,41966,2931,29,1487
03.06,67666,74,43468,2959,28,1502
03.07,67707,41,45011,2986,27,1543
03.08,67743,36,46433,3007,21,1422
03.09,67760,17,47585,3024,17,1152
03.10,67773,13,49056,3046,22,1471
03.11,67781,8,50298,3056,10,1242
03.12,67786,5,51553,3062,6,1255
03.13,67790,4,52943,3075,13,1390
03.14,67794,4,54278,3085,10,1335
03.15,67798,4,55094,3099,14,816
03.16,67798,4,55987,3111,12,893
03.17,67800,1,56883,3122,11,896
03.18,67800,0,57678,3130,8,795
03.19,67800,0,58381,3132,2,703
03.20,67800,0,58942,3139,7,561
03.21,67800,0,59432,3144,5,490
03.22,67800,0,59879,3153,9,447
03.23,67801,1,60323,3160,7,444
03.24,67801,0,60810,3163,3,487
03.25,67801,0,61201,3169,6,391
03.26,67801,0,61731,3174,5,530
03.27,67801,0,62098,3177,3,367
03.28,67801,0,62565,3177,0,467
03.29,67801,0,62882,3186,9,317
03.30,67801,0,63153,3187,1,271
03.31,67802,1,63326,3193,6,173
04.01,67802,0,63471,3199,6,145
04.02,67802,0,63612,3203,4,141
04.03,67803,1,63762,3207,4,150
04.04,67803,0,63945,3210,3,183
04.05,67803,0,64014,3212,2,69
04.06,67803,0,64073,3212,0,59
04.07,67803,0,64142,3213,1,69
04.08,67803,0,64187,3215,2,45
04.09,67803,0,64236,3216,1,49
04.10,67803,0,64264,3219,3,28
04.11,67803,0,64281,3219,0,17
04.12,67803,0,64338,3221,2,57
04.13,67803,0,64363,3221,0,25
04.14,67803,0,64402,3222,1,39
04.15,67803,0,64435,3222,0,33
04.16,68128,0,63487,4512,0,17
04.17,68128,0,63494,4512,0,7
04.18,68128,0,63507,4512,0,13
04.19,68128,0,63511,4512,0,4
04.20,68128,0,63511,4512,0,0
04.21,68128,0,63519,4512,0,8
04.22,68128,0,63547,4512,0,28
04.23,68128,0,63569,4512,0,22
04.24,68128,0,63593,4512,0,24
04.25,68128,0,63604,4512,0,11
04.26,68128,0,63616,4512,0,12
04.27,68128,0,63616,4512,0,0
04.28,68128,0,63616,4512,0,0
04.29,68128,0,63616,4512,0,0
04.30,68128,0,63616,4512,0,0
05.01,68128,0,63616,4512,0,0
05.02,68128,0,63616,4512,0,0
05.03,68128,0,63616,4512,0,0
05.04,68128,0,63616,4512,0,0
05.05,68128,0,63616,4512,0,0
05.06,68128,0,63616,4512,0,0
05.07,68128,0,63616,4512,0,0
05.08,68128,0,63616,4512,0,0
05.09,68129,1,63616,4512,0,0
05.10,68134,5,63616,4512,0,0
05.11,68134,0,63616,4512,0,0
05.12,68134,0,63616,4512,0,0
05.13,68134,0,63616,4512,0,0
05.14,68134,0,63616,4512,0,0
05.15,68134,0,63616,4512,0,0
05.16,68134,0,63616,4512,0,0
05.17,68134,0,63616,4512,0,0
05.18,68135,1,63616,4512,0,0
05.19,68135,0,63616,4512,0,0
05.20,68135,0,63616,4512,0,0
05.21,68135,0,63616,4512,0,0
05.22,68135,0,63616,4512,0,0
05.23,68135,0,63616,4512,0,0
05.24,68135,0,63617,4512,0,1
05.25,68135,0,63617,4512,0,0
05.26,68135,0,63618,4512,0,1
05.27,68135,0,63618,4512,0,0
05.28,68135,0,63618,4512,0,0
05.29,68135,0,63619,4512,0,1
05.30,68135,0,63619,4512,0,0
05.31,68135,0,63620,4512,0,1
06.01,68135,0,63620,4512,0,0
06.02,68135,0,63620,4512,0,0
06.03,68135,0,63620,4512,0,0
06.04,68135,0,63623,4512,0,3
06.05,68135,0,63623,4512,0,0
06.06,68135,0,63623,4512,0,0
06.07,68135,0,63623,4512,0,0
06.08,68135,0,63623,4512,0,0
06.09,68135,0,63623,4512,0,0
06.10,68135,0,63623,4512,0,0
06.11,68135,0,63623,4512,0,0
06.12,68135,0,63623,4512,0,0
06.13,68135,0,63623,4512,0,0
06.14,68135,0,63623,4512,0,0
06.15,68135,0,63623,4512,0,0
06.16,68135,0,63623,4512,0,0
06.17,68135,0,63623,4512,0,0
06.18,68135,0,63623,4512,0,0
06.19,68135,0,63623,4512,0,0
