日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.23,24,15,0,0,0,0
01.24,43,19,0,0,0,0
01.25,69,26,0,0,0,0
01.26,100,31,0,0,0,0
01.27,143,43,0,0,0,0
01.28,221,78,0,0,0,0
01.29,277,56,0,0,0,0
01.30,332,55,2,0,0,2
01.31,389,57,3,0,0,1
02.01,463,74,8,0,0,5
02.02,521,58,16,0,0,8
02.03,593,72,22,0,0,6
02.04,661,68,35,0,0,13
02.05,711,50,56,0,0,21
02.06,772,61,91,0,0,35
02.07,803,31,119,0,0,28
02.08,838,35,159,1,1,40
02.09,879,41,186,1,0,27
02.10,912,33,213,1,0,27
02.11,946,34,263,2,1,50
02.12,968,22,312,2,0,49
02.13,988,20,352,2,0,40
02.14,1001,13,389,2,0,37
02.15,1004,3,430,3,1,41
02.16,1006,2,467,3,0,37
02.17,1007,1,501,4,1,34
02.18,1008,1,542,4,0,41
02.19,1010,2,578,4,0,36
02.20,1011,1,638,4,0,60
02.21,1013,2,670,4,0,32
02.22,1016,3,704,4,0,34
02.23,1016,0,721,4,0,17
02.24,1016,0,751,4,0,30
02.25,1016,0,779,4,0,28
02.26,1017,1,793,4,0,14
02.27,1017,0,820,4,0,27
02.28,1018,1,841,4,0,21
02.29,1018,0,853,4,0,12
03.01,1018,0,876,4,0,23
03.02,1018,0,892,4,0,16
03.03,1018,0,913,4,0,21
03.04,1018,0,933,4,0,20
03.05,1018,0,933,4,0,0
03.06,1018,0,959,4,0,26
03.07,1018,0,965,4,0,6
03.08,1018,0,979,4,0,14
03.09,1018,0,988,4,0,9
03.10,1018,0,995,4,0,7
03.11,1018,0,998,4,0,3
03.12,1018,0,1004,4,0,6
03.13,1018,0,1009,4,0,5
03.14,1018,0,1014,4,0,5
03.15,1018,0,1014,4,0,0
03.16,1018,0,1014,4,0,0
03.17,1018,0,1014,4,0,0
03.18,1018,0,1014,4,0,0
03.19,1018,0,1014,4,0,0
03.20,1018,0,1014,4,0,0
03.21,1018,0,1014,4,0,0
03.22,1018,0,1014,4,0,0
03.23,1018,0,1014,4,0,0
03.24,1018,0,1014,4,0,0
03.25,1018,0,1014,4,0,0
03.26,1018,0,1014,4,0,0
03.27,1018,0,1014,4,0,0
03.28,1018,0,1014,4,0,0
03.29,1018,0,1014,4,0,0
03.30,1018,0,1014,4,0,0
03.31,1018,0,1014,4,0,0
04.01,1019,1,1014,4,0,0
04.02,1019,0,1014,4,0,0
04.03,1019,0,1014,4,0,0
04.04,1019,0,1014,4,0,0
04.05,1019,0,1014,4,0,0
04.06,1019,0,1014,4,0,0
04.07,1019,0,1014,4,0,0
04.08,1019,0,1014,4,0,0
04.09,1019,0,1014,4,0,0
04.10,1019,0,1014,4,0,0
04.11,1019,0,1014,4,0,0
04.12,1019,0,1014,4,0,0
04.13,1019,0,1014,4,0,0
04.14,1019,0,1014,4,0,0
04.15,1019,0,1014,4,0,0
04.16,1019,0,1014,4,0,0
04.17,1019,0,1015,4,0,1
04.18,1019,0,1015,4,0,0
04.19,1019,0,1015,4,0,0
04.20,1019,0,1015,4,0,0
04.21,1019,0,1015,4,0,0
04.22,1019,0,1015,4,0,0
04.23,1019,0,1015,4,0,0
04.24,1019,0,1015,4,0,0
04.25,1019,0,1015,4,0,0
04.26,1019,0,1015,4,0,0
04.27,1019,0,1015,4,0,0
04.28,1019,0,1015,4,0,0
04.29,1019,0,1015,4,0,0
04.30,1019,0,1015,4,0,0
05.01,1019,0,1015,4,0,0
05.02,1019,0,1015,4,0,0
05.03,1019,0,1015,4,0,0
05.04,1019,0,1015,4,0,0
05.05,1019,0,1015,4,0,0
05.06,1019,0,1015,4,0,0
05.07,1019,0,1015,4,0,0
05.08,1019,0,1015,4,0,0
05.09,1019,0,1015,4,0,0
05.10,1019,0,1015,4,0,0
05.11,1019,0,1015,4,0,0
05.12,1019,0,1015,4,0,0
05.13,1019,0,1015,4,0,0
05.14,1019,0,1015,4,0,0
05.15,1019,0,1015,4,0,0
05.16,1019,0,1015,4,0,0
05.17,1019,0,1015,4,0,0
05.18,1019,0,1015,4,0,0
05.19,1019,0,1015,4,0,0
05.20,1019,0,1015,4,0,0
05.21,1019,0,1015,4,0,0
05.22,1019,0,1015,4,0,0
05.23,1019,0,1015,4,0,0
05.24,1019,0,1015,4,0,0
05.25,1019,0,1015,4,0,0
05.26,1019,0,1015,4,0,0
05.27,1019,0,1015,4,0,0
05.28,1019,0,1015,4,0,0
05.29,1019,0,1015,4,0,0
05.30,1019,0,1015,4,0,0
05.31,1019,0,1015,4,0,0
06.01,1019,0,1015,4,0,0
06.02,1019,0,1015,4,0,0
06.03,1019,0,1015,4,0,0
06.04,1019,0,1015,4,0,0
06.05,1019,0,1015,4,0,0
06.06,1019,0,1015,4,0,0
06.07,1019,0,1015,4,0,0
06.08,1019,0,1015,4,0,0
06.09,1019,0,1015,4,0,0
06.10,1019,0,1015,4,0,0
06.11,1019,0,1015,4,0,0
06.12,1019,0,1015,4,0,0
06.13,1019,0,1015,4,0,0
06.14,1019,0,1015,4,0,0
06.15,1019,0,1015,4,0,0
06.16,1019,0,1015,4,0,0
06.17,1019,0,1015,4,0,0
06.18,1019,0,1015,4,0,0
06.19,1019,0,1015,4,0,0
