日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.25,7,3,0,0,0,0
01.26,14,7,0,0,0,0
01.27,19,5,0,0,0,0
01.28,24,5,0,0,0,0
01.29,26,2,0,0,0,0
01.30,29,4,0,0,0,0
01.31,35,6,3,0,0,3
02.01,51,11,3,0,0,0
02.03,55,4,3,0,0,0
02.04,57,2,4,0,0,1
02.05,62,5,6,0,0,2
02.06,67,5,6,0,0,0
02.07,71,4,9,0,0,3
02.08,79,12,12,1,1,3
02.09,83,4,17,2,1,5
02.10,86,3,21,2,0,4
02.11,86,0,24,2,0,3
02.12,87,1,31,2,0,7
02.13,90,3,39,2,0,8
02.14,90,0,49,2,0,10
02.16,90,0,54,2,0,5
02.17,91,1,58,2,0,4
02.18,91,0,65,2,0,7
02.19,91,0,71,2,0,6
02.20,91,0,76,2,0,5
02.21,91,0,78,2,0,2
02.23,91,0,78,2,0,0
02.24,91,0,80,2,0,2
02.25,91,0,80,2,0,0
02.26,91,0,81,2,0,1
02.27,91,0,82,2,0,1
02.28,91,0,82,2,0,0
02.29,91,0,84,2,0,2
03.01,91,0,84,2,0,0
03.02,91,0,86,2,0,2
03.03,91,0,87,2,0,1
03.04,102,11,87,2,0,0
03.05,119,17,87,2,0,0
03.06,120,1,87,2,0,0
03.07,124,4,87,2,0,0
03.08,124,4,88,2,0,1
03.09,125,1,88,2,0,0
03.09,125,1,88,2,0,0
03.10,127,2,88,2,0,0
03.11,127,2,88,2,0,0
03.13,129,2,89,2,0,1
03.14,132,3,91,2,0,2
03.15,133,1,91,2,0,0
03.16,133,0,91,2,0,0
03.17,133,0,91,2,0,0
03.18,133,0,91,2,0,0
03.19,134,1,98,2,0,7
03.20,134,1,113,2,0,15
03.22,136,2,114,2,0,1
03.23,136,0,119,2,0,5
03.24,136,0,121,2,0,2
03.25,136,0,121,2,0,0
03.26,136,0,125,2,0,4
03.27,136,0,125,2,0,0
03.28,136,0,125,2,0,0
03.29,138,2,125,2,0,0
03.30,138,0,125,2,0,0
03.31,138,0,125,2,0,0
04.01,138,0,127,2,0,2
04.02,138,0,127,2,0,0
04.03,138,0,131,2,0,4
04.04,138,0,131,2,0,0
04.05,139,1,132,2,0,1
04.06,139,0,132,2,0,0
04.07,139,0,133,2,0,1
04.08,139,0,135,2,0,2
04.09,139,0,135,2,0,0
04.10,139,0,135,2,0,0
04.13,139,0,135,2,0,0
04.14,139,0,136,2,0,1
04.15,139,0,137,2,0,1
04.16,139,0,137,2,0,0
04.17,139,0,137,2,0,0
04.18,139,0,137,2,0,0
04.19,139,0,137,2,0,0
04.20,139,0,137,2,0,0
04.21,139,0,137,2,0,0
04.22,139,0,137,2,0,0
04.23,139,0,137,2,0,0
04.24,139,0,137,2,0,0
04.25,139,0,137,2,0,0
04.26,139,0,137,2,0,0
04.27,139,0,137,2,0,0
04.28,139,0,137,2,0,0
04.29,139,0,137,2,0,0
04.30,139,0,137,2,0,0
05.01,139,0,137,2,0,0
05.02,139,0,137,2,0,0
05.03,139,0,137,2,0,0
05.04,139,0,137,2,0,0
05.05,139,0,137,2,0,0
05.06,139,0,137,2,0,0
05.07,139,0,137,2,0,0
05.08,139,0,137,2,0,0
05.09,139,0,137,2,0,0
05.10,139,0,137,2,0,0
05.11,139,0,137,2,0,0
05.12,139,0,137,2,0,0
05.13,139,0,137,2,0,0
05.14,139,0,137,2,0,0
05.15,139,0,137,2,0,0
05.16,139,0,137,2,0,0
05.17,139,0,137,2,0,0
05.18,139,0,137,2,0,0
05.19,139,0,137,2,0,0
05.20,139,0,137,2,0,0
05.21,139,0,137,2,0,0
05.22,139,0,137,2,0,0
05.23,139,0,137,2,0,0
05.24,139,0,137,2,0,0
05.25,139,0,137,2,0,0
05.26,139,0,137,2,0,0
05.27,139,0,137,2,0,0
05.28,139,0,137,2,0,0
05.29,139,0,137,2,0,0
05.30,139,0,137,2,0,0
05.31,139,0,137,2,0,0
06.01,139,0,137,2,0,0
06.02,139,0,137,2,0,0
06.03,139,0,137,2,0,0
06.04,139,0,137,2,0,0
06.05,139,0,137,2,0,0
06.06,139,0,137,2,0,0
06.07,139,0,137,2,0,0
06.08,139,0,137,2,0,0
06.09,139,0,137,2,0,0
06.10,139,0,137,2,0,0
06.11,139,0,137,2,0,0
06.12,139,0,137,2,0,0
06.13,139,0,137,2,0,0
06.14,139,0,137,2,0,0
06.15,139,0,137,2,0,0
06.16,149,10,137,2,0,0
06.17,150,1,137,2,0,0
06.18,151,1,137,2,0,0
06.19,151,1,137,2,0,0
