日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.23,3,0,0,0,0,0
01.24,4,1,0,0,0,0
01.25,5,1,0,0,0,0
01.26,7,2,0,0,0,0
01.27,9,2,0,0,0,0
01.28,9,0,0,0,0,0
01.29,12,3,0,0,0,0
01.30,15,3,1,0,0,1
01.31,29,14,2,0,0,1
02.01,38,9,2,0,0,0
02.02,46,8,2,0,0,0
02.03,56,10,2,0,0,0
02.04,64,8,5,0,0,3
02.05,69,5,6,1,1,1
02.06,77,8,6,1,0,0
02.07,89,12,6,1,0,0
02.08,96,7,7,1,0,1
02.09,109,13,7,1,0,0
02.10,118,9,10,1,0,3
02.11,131,13,17,1,0,7
02.12,135,4,20,1,0,3
02.13,140,5,28,1,0,8
02.14,143,3,33,1,0,5
02.15,144,1,37,1,0,4
02.16,146,2,47,1,0,10
02.17,146,0,66,1,0,19
02.18,146,0,69,2,1,3
02.19,146,0,71,2,0,2
02.20,146,0,76,2,0,5
02.21,146,0,90,2,0,14
02.22,146,0,91,2,0,1
02.23,146,0,102,2,0,11
02.24,146,0,103,2,0,1
02.25,146,0,104,2,0,1
02.26,146,0,112,2,0,8
02.27,146,0,112,2,0,0
02.28,146,0,112,2,0,0
02.29,146,0,112,2,0,0
03.01,146,0,114,2,0,2
03.02,146,0,114,2,0,0
03.03,146,0,114,2,0,0
03.04,146,0,114,2,0,0
03.05,146,0,114,2,0,0
03.06,146,0,115,2,0,1
03.07,146,0,117,2,0,2
03.08,146,0,123,2,0,6
03.09,146,0,129,2,0,6
03.10,146,0,133,2,0,4
03.11,146,0,133,2,0,0
03.12,146,0,140,2,0,7
03.13,146,0,143,2,0,3
03.14,146,0,143,2,0,0
03.15,146,0,143,2,0,0
03.16,146,0,144,2,0,1
03.17,146,0,144,2,0,0
03.18,146,0,144,2,0,0
03.19,146,0,144,2,0,0
03.20,146,0,144,2,0,0
03.21,146,0,144,2,0,0
03.22,146,0,144,2,0,0
03.23,146,0,144,2,0,0
03.24,146,0,144,2,0,0
03.25,146,0,144,2,0,0
03.26,146,0,144,2,0,0
03.27,146,0,144,2,0,0
03.28,147,1,144,2,0,0
03.29,147,0,144,2,0,0
03.30,147,0,144,2,0,0
03.31,147,0,144,2,0,0
04.02,147,0,144,2,0,0
04.03,147,0,144,2,0,0
04.04,147,0,144,2,0,0
04.05,147,0,144,2,0,0
04.06,147,0,144,2,0,0
04.07,147,0,144,2,0,0
04.08,147,0,144,2,0,0
04.09,147,0,144,2,0,0
04.10,147,0,144,2,0,0
04.11,147,0,144,2,0,0
04.12,147,0,144,2,0,0
04.13,147,0,144,2,0,0
04.14,147,0,144,2,0,0
04.15,147,0,144,2,0,0
04.16,147,0,144,2,0,0
04.17,147,0,144,2,0,0
04.18,147,0,145,2,0,1
04.19,147,0,145,2,0,0
04.20,147,0,145,2,0,0
04.21,147,0,145,2,0,0
04.21,147,0,145,2,0,0
04.22,147,0,145,2,0,0
04.23,147,0,145,2,0,0
04.24,147,0,145,2,0,0
04.25,147,0,145,2,0,0
04.26,147,0,145,2,0,0
04.27,147,0,145,2,0,0
04.28,147,0,145,2,0,0
04.29,147,0,145,2,0,0
04.30,147,0,145,2,0,0
05.01,147,0,145,2,0,0
05.02,147,0,145,2,0,0
05.03,147,0,145,2,0,0
05.04,147,0,145,2,0,0
05.05,147,0,145,2,0,0
05.06,147,0,145,2,0,0
05.07,147,0,145,2,0,0
05.08,147,0,145,2,0,0
05.09,147,0,145,2,0,0
05.10,147,0,145,2,0,0
05.11,147,0,145,2,0,0
05.12,147,0,145,2,0,0
05.13,147,0,145,2,0,0
05.14,147,0,145,2,0,0
05.15,147,0,145,2,0,0
05.16,147,0,145,2,0,0
05.17,147,0,145,2,0,0
05.18,147,0,145,2,0,0
05.19,147,0,145,2,0,0
05.20,147,0,145,2,0,0
05.21,147,0,145,2,0,0
05.22,147,0,145,2,0,0
05.23,147,0,145,2,0,0
05.24,147,0,145,2,0,0
05.25,147,0,145,2,0,0
05.26,147,0,145,2,0,0
05.27,147,0,145,2,0,0
05.28,147,0,145,2,0,0
05.29,147,0,145,2,0,0
05.30,147,0,145,2,0,0
05.31,147,0,145,2,0,0
06.01,147,0,145,2,0,0
06.02,147,0,145,2,0,0
06.03,147,0,145,2,0,0
06.04,147,0,145,2,0,0
06.05,147,0,145,2,0,0
06.06,147,0,145,2,0,0
06.07,147,0,145,2,0,0
06.08,147,0,145,2,0,0
06.09,147,0,145,2,0,0
06.10,147,0,145,2,0,0
06.11,147,0,145,2,0,0
06.12,147,0,145,2,0,0
06.13,147,0,145,2,0,0
06.14,147,0,145,2,0,0
06.15,147,0,145,2,0,0
06.16,147,0,145,2,0,0
06.17,147,0,145,2,0,0
06.18,147,0,145,2,0,0
06.19,147,0,145,2,0,0
