日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿02.01,64,1,1,0,0,0
02.02,70,1,1,0,0,0
02.03,73,3,2,1,1,1
02.04,75,5,2,0,-1,0
02.06,95,6,6,0,0,4
02.07,103,4,7,0,0,1
02.08,105,6,12,0,0,5
02.09,107,2,12,0,0,0
02.10,111,3,10,0,0,-2
02.11,116,8,19,0,0,9
02.12,116,8,20,1,1,1
02.13,117,1,22,1,0,2
02.14,119,3,29,1,0,7
02.15,120,1,32,1,0,3
02.16,121,1,41,1,0,9
02.17,121,0,43,1,0,2
02.18,121,0,55,1,0,12
02.19,121,0,58,1,0,3
02.20,121,0,61,1,0,3
02.21,121,0,66,1,0,5
02.22,121,0,68,1,0,2
02.23,121,0,73,1,0,5
02.24,121,0,83,1,0,10
02.25,121,0,88,1,0,5
02.26,121,0,92,1,0,4
02.27,121,0,93,1,0,1
02.28,121,0,93,1,0,0
02.29,122,1,101,1,0,8
03.01,122,1,103,1,0,2
03.02,125,3,103,1,0,0
03.03,125,0,106,1,0,3
03.04,125,0,106,1,0,0
03.05,125,0,106,1,0,0
03.06,125,0,106,1,0,0
03.07,125,0,108,1,0,2
03.08,125,0,109,1,0,1
03.09,125,0,110,1,0,1
03.10,125,0,111,1,0,1
03.11,125,0,111,1,0,0
03.12,125,0,112,1,0,1
03.13,125,0,113,1,0,1
03.14,125,0,113,1,0,0
03.15,125,0,114,1,0,1
03.16,125,0,119,1,0,5
03.17,125,0,122,1,0,3
03.18,125,0,122,1,0,0
03.19,125,0,122,1,0,0
03.20,126,1,122,2,1,0
03.21,126,0,122,2,0,0
03.22,127,1,124,2,0,2
03.23,127,0,124,2,0,0
03.24,127,0,124,2,0,0
03.25,127,0,124,2,0,0
03.26,128,1,124,2,0,0
03.27,131,3,124,2,0,0
03.28,134,3,124,2,0,0
03.29,136,2,124,2,0,0
03.30,139,3,124,2,0,0
03.31,140,1,124,2,0,0
04.01,140,0,124,2,0,0
04.02,141,1,124,2,0,0
04.03,141,0,125,2,0,1
04.04,142,0,126,2,0,1
04.05,142,0,128,2,0,2
04.06,144,2,130,2,0,2
04.07,144,0,131,2,0,1
04.08,144,0,131,2,0,0
04.09,144,0,132,2,0,1
04.10,145,1,133,2,0,1
04.11,145,0,136,2,0,3
04.12,145,0,136,2,0,0
04.13,145,0,138,2,0,2
04.14,145,0,138,2,0,0
04.15,145,0,138,2,0,0
04.16,146,1,140,2,0,2
04.17,146,0,142,2,0,2
04.18,146,0,142,2,0,0
04.19,146,0,143,2,0,1
04.20,146,0,143,2,0,0
04.21,146,0,143,2,0,0
04.22,146,0,143,2,0,0
04.23,146,0,143,2,0,0
04.24,146,0,143,2,0,0
04.25,146,0,143,2,0,0
04.26,146,0,143,2,0,0
04.27,146,0,143,2,0,0
04.28,146,0,143,2,0,0
04.29,146,0,143,2,0,0
04.30,146,0,143,2,0,0
05.01,146,0,144,2,0,1
05.02,146,0,144,2,0,0
05.03,146,0,144,2,0,0
05.04,146,0,144,2,0,0
05.05,146,0,144,2,0,0
05.06,146,0,144,2,0,0
05.07,146,0,144,2,0,0
05.08,146,0,144,2,0,0
05.09,146,0,144,2,0,0
05.10,147,1,144,2,0,0
05.11,147,0,144,2,0,0
05.12,147,0,144,2,0,0
05.13,149,2,144,2,0,0
05.14,149,0,144,2,0,0
05.15,149,0,144,2,0,0
05.16,149,0,144,2,0,0
05.17,149,0,144,2,0,0
05.18,149,0,144,2,0,0
05.19,149,0,144,2,0,0
05.20,149,0,144,2,0,0
05.21,149,0,144,2,0,0
05.22,149,0,144,2,0,0
05.23,149,0,144,2,0,0
05.24,149,0,145,2,0,1
05.25,149,0,147,2,0,2
05.26,149,0,147,2,0,0
05.27,149,0,147,2,0,0
05.28,149,0,147,2,0,0
05.29,149,0,147,2,0,0
05.30,149,0,147,2,0,0
05.31,149,0,147,2,0,0
06.01,149,0,147,2,0,0
06.02,149,0,147,2,0,0
06.03,149,0,147,2,0,0
06.04,149,0,147,2,0,0
06.05,149,0,147,2,0,0
06.06,149,0,147,2,0,0
06.07,149,0,147,2,0,0
06.08,149,0,147,2,0,0
06.09,149,0,147,2,0,0
06.10,149,0,147,2,0,0
06.11,149,0,147,2,0,0
06.12,149,0,147,2,0,0
06.13,151,2,147,2,0,0
06.14,151,0,147,2,0,0
06.15,152,1,147,2,0,0
06.16,152,0,147,2,0,0
06.17,152,0,147,2,0,0
06.18,153,1,147,2,0,0
06.19,153,1,147,2,0,0
