日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.21,6,0,0,0,0,0
01.22,9,3,0,0,0,0
01.23,27,18,0,0,0,0
01.24,58,30,0,0,0,0
01.25,75,18,0,0,0,0
01.26,110,35,0,0,0,0
01.27,132,22,0,0,0,0
01.28,147,15,0,0,0,0
01.29,165,18,1,0,0,1
01.30,206,41,1,0,0,0
01.31,238,32,1,1,1,0
02.01,262,24,3,1,0,2
02.02,300,38,7,2,1,4
02.03,337,37,9,2,0,2
02.04,366,29,14,2,0,5
02.05,390,24,15,2,0,1
02.06,411,22,24,2,0,9
02.07,426,15,31,2,0,7
02.08,446,20,39,2,0,8
02.09,468,22,51,2,0,12
02.10,473,5,60,2,0,9
02.11,505,19,79,3,1,19
02.12,518,13,102,3,0,23
02.13,529,11,128,4,1,26
02.14,537,8,152,5,1,24
02.15,544,7,184,5,0,32
02.16,551,7,207,5,0,23
02.17,553,2,225,5,0,18
02.18,553,2,254,5,0,29
02.19,560,5,274,5,0,20
02.20,567,7,299,6,1,25
02.21,572,5,316,6,0,17
02.22,573,1,328,6,0,12
02.23,575,2,335,6,0,7
02.24,576,1,349,6,0,14
02.25,576,0,372,6,0,23
02.26,576,0,384,6,0,12
02.27,576,0,401,6,0,17
02.28,576,0,422,6,0,21
02.29,576,0,438,6,0,16
03.01,576,0,450,6,0,12
03.02,576,0,469,6,0,19
03.03,576,0,490,6,0,21
03.04,576,0,502,6,0,12
03.05,576,0,502,6,0,0
03.06,576,0,520,6,0,18
03.07,576,0,526,6,0,6
03.08,576,0,527,6,0,1
03.09,576,0,542,6,0,15
03.10,576,0,547,6,0,5
03.11,576,0,554,6,0,7
03.12,576,0,564,6,0,10
03.13,576,0,566,6,0,2
03.14,576,0,569,6,0,3
03.15,576,0,570,6,0,1
03.16,576,0,570,6,0,0
03.17,576,0,570,6,0,0
03.18,576,0,570,6,0,0
03.19,576,0,570,6,0,0
03.20,576,0,570,6,0,0
03.21,577,1,570,6,0,0
03.22,577,0,570,6,0,0
03.23,578,1,570,6,0,0
03.24,578,0,570,6,0,0
03.25,578,0,570,6,0,0
03.26,578,0,570,6,0,0
03.27,578,0,570,6,0,0
03.28,579,1,570,6,0,0
03.29,579,0,570,6,0,0
03.30,579,0,570,6,0,0
03.31,579,0,570,6,0,0
04.01,579,0,570,6,0,0
04.02,579,0,570,6,0,0
04.03,579,0,570,6,0,0
04.04,579,0,570,6,0,0
04.05,579,0,570,6,0,0
04.06,579,0,570,6,0,0
04.07,579,0,570,6,0,0
04.08,579,0,570,6,0,0
04.09,579,0,570,6,0,0
04.10,579,0,570,6,0,0
04.11,579,0,570,6,0,0
04.12,579,0,570,6,0,0
04.13,579,0,570,6,0,0
04.14,579,0,570,6,0,0
04.15,579,0,570,6,0,0
04.16,579,0,570,6,0,0
04.17,579,0,570,6,0,0
04.18,579,0,570,6,0,0
04.19,579,0,570,6,0,0
04.20,579,0,570,6,0,0
04.21,579,0,570,6,0,0
04.22,579,0,570,6,0,0
04.23,579,0,573,6,0,3
04.24,579,0,573,6,0,0
04.25,579,0,573,6,0,0
04.26,579,0,573,6,0,0
04.27,579,0,573,6,0,0
04.28,579,0,573,6,0,0
04.29,579,0,573,6,0,0
04.30,579,0,573,6,0,0
05.01,579,0,573,6,0,0
05.02,579,0,573,6,0,0
05.03,579,0,573,6,0,0
05.04,579,0,573,6,0,0
05.05,579,0,573,6,0,0
05.06,579,0,573,6,0,0
05.07,579,0,573,6,0,0
05.08,579,0,573,6,0,0
05.09,579,0,573,6,0,0
05.10,579,0,573,6,0,0
05.11,579,0,573,6,0,0
05.12,579,0,573,6,0,0
05.13,579,0,573,6,0,0
05.14,579,0,573,6,0,0
05.15,579,0,573,6,0,0
05.16,579,0,573,6,0,0
05.17,579,0,573,6,0,0
05.18,579,0,573,6,0,0
05.19,579,0,573,6,0,0
05.20,579,0,573,6,0,0
05.21,579,0,573,6,0,0
05.22,579,0,573,6,0,0
05.23,579,0,573,6,0,0
05.24,579,0,573,6,0,0
05.25,579,0,573,6,0,0
05.26,579,0,573,6,0,0
05.27,579,0,573,6,0,0
05.28,579,0,573,6,0,0
05.29,579,0,573,6,0,0
05.30,579,0,573,6,0,0
05.31,579,0,573,6,0,0
06.01,579,0,573,6,0,0
06.02,579,0,573,6,0,0
06.03,579,0,573,6,0,0
06.04,579,0,573,6,0,0
06.05,579,0,573,6,0,0
06.06,579,0,573,6,0,0
06.07,579,0,573,6,0,0
06.08,579,0,573,6,0,0
06.09,579,0,573,6,0,0
06.10,579,0,573,6,0,0
06.11,579,0,573,6,0,0
06.12,579,0,573,6,0,0
06.13,580,1,573,6,0,0
06.14,582,2,573,6,0,0
06.15,582,0,573,6,0,0
06.16,582,0,573,6,0,0
06.17,582,0,573,6,0,0
06.18,582,0,573,6,0,0
06.19,582,0,573,6,0,0
