日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.20,0,0,0,0,0,0
01.21,0,0,0,0,0,0
01.22,0,0,0,0,0,0
01.23,0,0,0,0,0,0
01.24,1,0,0,0,0,0
01.25,1,1,0,0,0,0
01.26,4,3,0,0,0,0
01.27,6,2,0,0,0,0
01.28,6,0,0,0,0,0
01.29,6,0,0,0,0,0
01.30,8,2,0,0,0,0
01.31,9,1,0,0,0,0
02.01,9,0,0,0,0,0
02.02,13,4,0,0,0,0
02.03,15,2,0,0,0,0
02.04,17,2,0,0,0,0
02.05,18,1,3,0,0,3
02.06,18,0,3,0,0,0
02.07,18,0,18,0,0,15
02.08,18,0,18,0,0,0
02.09,18,0,3,0,0,-15
02.10,18,0,3,0,0,0
02.11,18,0,5,0,0,2
02.12,18,0,9,0,0,4
02.13,18,0,11,0,0,2
02.14,18,0,11,0,0,0
02.15,18,0,13,0,0,2
02.16,18,0,13,0,0,0
02.17,18,0,13,0,0,0
02.18,18,0,15,0,0,2
02.19,18,0,16,0,0,1
02.20,18,0,16,0,0,0
02.21,18,0,18,0,0,2
02.22,18,0,18,0,0,0
02.23,18,0,18,0,0,0
02.24,18,0,18,0,0,0
02.25,18,0,18,0,0,0
02.26,18,0,18,0,0,0
02.27,18,0,18,0,0,0
02.28,18,0,18,0,0,0
02.29,18,0,18,0,0,0
03.01,18,0,18,0,0,0
03.02,18,0,18,0,0,0
03.03,18,0,18,0,0,0
03.04,18,0,18,0,0,0
03.05,18,0,18,0,0,0
03.06,18,0,18,0,0,0
03.07,18,0,18,0,0,0
03.08,18,0,18,0,0,0
03.09,18,0,18,0,0,0
03.10,18,0,18,0,0,0
03.11,18,0,18,0,0,0
03.12,18,0,18,0,0,0
03.13,18,0,18,0,0,0
03.14,18,0,18,0,0,0
03.15,18,0,18,0,0,0
03.16,18,0,18,0,0,0
03.17,18,0,18,0,0,0
03.18,18,0,18,0,0,0
03.19,18,0,18,0,0,0
03.20,18,0,18,0,0,0
03.21,18,0,18,0,0,0
03.22,18,0,18,0,0,0
03.23,18,0,18,0,0,0
03.24,18,0,18,0,0,0
03.25,18,0,18,0,0,0
03.26,18,0,18,0,0,0
03.27,18,0,18,0,0,0
03.28,18,0,18,0,0,0
03.29,18,0,18,0,0,0
03.30,18,0,18,0,0,0
03.31,18,0,18,0,0,0
04.01,18,0,18,0,0,0
04.02,18,0,18,0,0,0
04.03,18,0,18,0,0,0
04.04,18,0,18,0,0,0
04.05,18,0,18,0,0,0
04.06,18,0,18,0,0,0
04.07,18,0,18,0,0,0
04.08,18,0,18,0,0,0
04.09,18,0,18,0,0,0
04.10,18,0,18,0,0,0
04.11,18,0,18,0,0,0
04.12,18,0,18,0,0,0
04.13,18,0,18,0,0,0
04.14,18,0,18,0,0,0
04.15,18,0,18,0,0,0
04.16,18,0,18,0,0,0
04.17,18,0,18,0,0,0
04.18,18,0,18,0,0,0
04.19,18,0,18,0,0,0
04.20,18,0,18,0,0,0
04.21,18,0,18,0,0,0
04.22,18,0,18,0,0,0
04.23,18,0,18,0,0,0
04.24,18,0,18,0,0,0
04.25,18,0,18,0,0,0
04.26,18,0,18,0,0,0
04.27,18,0,18,0,0,0
04.28,18,0,18,0,0,0
04.29,18,0,18,0,0,0
04.30,18,0,18,0,0,0
05.01,18,0,18,0,0,0
05.02,18,0,18,0,0,0
05.03,18,0,18,0,0,0
05.04,18,0,18,0,0,0
05.05,18,0,18,0,0,0
05.06,18,0,18,0,0,0
05.07,18,0,18,0,0,0
05.08,18,0,18,0,0,0
05.09,18,0,18,0,0,0
05.10,18,0,18,0,0,0
05.11,18,0,18,0,0,0
05.12,18,0,18,0,0,0
05.13,18,0,18,0,0,0
05.14,18,0,18,0,0,0
05.15,18,0,18,0,0,0
05.16,18,0,18,0,0,0
05.17,18,0,18,0,0,0
05.18,18,0,18,0,0,0
05.19,18,0,18,0,0,0
05.20,18,0,18,0,0,0
05.21,18,0,18,0,0,0
05.22,18,0,18,0,0,0
05.23,18,0,18,0,0,0
05.24,18,0,18,0,0,0
05.25,18,0,18,0,0,0
05.26,18,0,18,0,0,0
05.27,18,0,18,0,0,0
05.28,18,0,18,0,0,0
05.29,18,0,18,0,0,0
05.30,18,0,18,0,0,0
05.31,18,0,18,0,0,0
06.01,18,0,18,0,0,0
06.02,18,0,18,0,0,0
06.03,18,0,18,0,0,0
06.04,18,0,18,0,0,0
06.05,18,0,18,0,0,0
06.06,18,0,18,0,0,0
06.07,18,0,18,0,0,0
06.08,18,0,18,0,0,0
06.09,18,0,18,0,0,0
06.10,18,0,18,0,0,0
06.11,18,0,18,0,0,0
06.12,18,0,18,0,0,0
06.13,18,0,18,0,0,0
06.14,18,0,18,0,0,0
06.15,18,0,18,0,0,0
06.16,18,0,18,0,0,0
06.17,18,0,18,0,0,0
06.18,18,0,18,0,0,0
06.19,18,0,18,0,0,0
