日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.31,80,21,0,0,0,0
02.01,95,15,2,0,0,2
02.02,118,23,2,0,0,0
02.03,155,37,2,0,0,0
02.04,190,35,4,0,0,2
02.05,227,37,7,1,1,3
02.06,277,50,8,3,2,1
02.07,295,19,12,5,2,4
02.08,307,26,13,6,1,1
02.09,331,24,15,7,1,2
02.10,360,29,27,8,1,12
02.11,378,18,28,8,0,1
02.12,395,17,31,9,1,3
02.13,418,23,37,11,2,6
02.14,425,7,48,11,0,11
02.15,445,20,70,11,0,22
02.16,457,12,80,11,0,10
02.17,464,7,85,11,0,5
02.18,470,6,108,12,1,23
02.19,476,6,123,12,0,15
02.20,479,3,141,12,0,18
02.21,479,0,183,12,0,42
02.22,480,1,215,12,0,32
02.23,480,0,224,12,0,9
02.24,480,0,232,12,0,8
02.25,480,0,245,12,0,13
02.26,480,0,262,13,1,17
02.27,480,0,280,13,0,18
02.28,480,0,295,13,0,15
02.29,480,0,330,13,0,35
03.01,480,0,350,13,0,20
03.02,480,0,358,13,0,8
03.03,480,0,372,13,0,14
03.04,481,1,379,13,0,7
03.05,481,0,380,13,0,1
03.06,481,0,402,13,0,22
03.07,481,0,409,13,0,7
03.08,481,0,421,13,0,12
03.09,481,0,434,13,0,13
03.10,482,1,435,13,0,1
03.11,482,0,440,13,0,5
03.12,482,0,446,13,0,6
03.13,482,0,447,13,0,1
03.14,482,0,453,13,0,6
03.15,482,0,454,13,0,1
03.16,482,0,456,13,0,2
03.17,482,0,459,13,0,3
03.18,482,0,459,13,0,0
03.19,484,1,463,13,0,4
03.20,484,0,463,13,0,0
03.21,484,0,463,13,0,0
03.22,484,0,465,13,0,2
03.23,484,0,468,13,0,3
03.24,484,0,468,13,0,0
03.25,484,0,469,13,0,1
03.26,484,0,469,13,0,0
03.27,484,0,469,13,0,0
03.28,484,0,469,13,0,0
03.29,484,0,469,13,0,0
03.30,484,0,469,13,0,0
03.31,484,0,469,13,0,0
04.01,488,4,469,13,0,0
04.02,489,1,469,13,0,0
04.03,491,2,469,13,0,0
04.04,504,13,469,13,0,0
04.05,524,20,469,13,0,0
04.06,544,20,469,13,0,0
04.07,569,25,470,13,0,1
04.08,609,40,470,13,0,0
04.09,638,29,470,13,0,0
04.10,661,23,470,13,0,0
04.11,684,23,470,13,0,0
04.12,740,56,470,13,0,0
04.13,819,79,470,13,0,0
04.14,841,22,470,13,0,0
04.15,861,20,471,13,0,1
04.16,872,11,471,13,0,0
04.17,892,20,472,13,0,1
04.18,898,6,472,13,0,0
04.19,905,7,472,13,0,0
04.20,913,8,475,13,0,3
04.21,921,8,477,13,0,2
04.22,925,4,485,13,0,8
04.23,928,3,485,13,0,0
04.24,930,2,508,13,0,23
04.25,935,5,511,13,0,3
04.26,936,1,556,13,0,45
04.27,939,3,586,13,0,30
04.28,939,0,587,13,0,1
04.29,939,0,587,13,0,0
04.30,944,5,587,13,0,0
05.01,944,0,604,13,0,17
05.02,944,0,620,13,0,16
05.03,944,0,657,13,0,37
05.04,944,0,719,13,0,62
05.05,944,0,758,13,0,39
05.06,944,0,793,13,0,35
05.07,944,0,815,13,0,22
05.08,944,0,835,13,0,20
05.09,945,1,891,13,0,56
05.10,945,1,904,13,0,13
05.11,945,0,924,13,0,20
05.12,945,0,929,13,0,5
05.13,945,0,930,13,0,1
05.14,945,0,930,13,0,0
05.15,945,0,931,13,0,1
05.16,945,0,932,13,0,1
05.17,945,0,932,13,0,0
05.18,945,0,932,13,0,0
05.19,945,0,932,13,0,0
05.20,945,0,932,13,0,0
05.21,945,0,932,13,0,0
05.22,945,0,932,13,0,0
05.23,945,0,932,13,0,0
05.24,945,0,932,13,0,0
05.25,945,0,932,13,0,0
05.26,945,0,932,13,0,0
05.27,945,0,932,13,0,0
05.28,945,0,932,13,0,0
05.29,945,0,932,13,0,0
05.30,945,0,932,13,0,0
05.31,945,0,932,13,0,0
06.01,945,0,932,13,0,0
06.02,945,0,932,13,0,0
06.03,947,0,934,13,0,2
06.04,947,0,934,13,0,0
06.05,947,0,934,13,0,0
06.06,947,0,934,13,0,0
06.07,947,0,934,13,0,0
06.08,947,0,934,13,0,0
06.09,947,0,934,13,0,0
06.10,947,0,934,13,0,0
06.11,947,0,934,13,0,0
06.12,947,0,934,13,0,0
06.13,947,0,934,13,0,0
06.14,947,0,934,13,0,0
06.15,947,0,934,13,0,0
06.16,947,0,934,13,0,0
06.17,947,0,934,13,0,0
06.18,947,0,934,13,0,0
06.19,947,0,934,13,0,0
