日期,新增确诊,确诊总数,治愈数,死亡数
03.15,1,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,2,3,0,0
03.21,0,3,0,0
03.22,0,3,0,0
03.23,0,3,0,0
03.24,0,3,0,0
03.25,0,3,0,0
03.26,0,3,0,0
03.27,0,3,0,0
03.28,3,6,0,0
03.29,-3,3,0,0
03.30,0,3,0,0
03.31,0,3,0,0
04.01,0,3,0,0
04.02,0,3,0,0
04.03,5,8,0,0
04.04,0,8,0,0
04.05,0,8,0,0
04.06,0,8,0,0
04.07,0,8,0,0
04.08,0,8,0,0
04.09,0,8,0,0
04.10,0,8,0,0
04.11,0,8,0,0
04.12,0,8,0,0
04.13,3,11,3,0
04.14,0,11,4,0
04.15,0,11,4,0
04.16,1,12,4,0
04.17,0,12,4,0
04.18,0,12,4,0
04.19,0,12,4,0
04.20,0,12,4,0
04.21,2,14,10,0
04.22,0,14,10,0
04.23,0,14,10,0
04.24,2,16,10,0
04.25,0,16,10,0
04.26,3,19,10,0
04.27,0,19,10,0
04.28,31,50,10,0
04.29,0,50,10,0
04.30,0,50,10,0
05.01,14,64,10,0
05.02,8,72,10,0
05.03,0,72,10,0
05.04,13,85,10,0
05.05,0,85,10,0
05.06,9,94,10,0
05.07,0,94,10,0
05.08,0,94,10,0
05.09,49,143,10,0
05.10,0,143,10,0
05.11,0,143,10,0
05.12,0,143,10,0
05.13,0,143,10,0
05.14,0,143,10,0
05.15,0,143,10,0
05.16,158,301,13,0
05.17,26,327,13,0
05.18,0,327,13,0
05.19,39,366,18,0
05.20,0,366,18,0
05.21,52,418,18,0
05.22,18,436,18,0
05.23,43,479,18,0
05.24,73,552,18,1
05.25,52,604,22,1
05.26,48,652,22,1
05.27,19,671,22,1
05.28,31,702,23,1
05.29,53,755,23,1
05.30,119,874,23,1
05.31,88,962,23,1
06.01,49,1011,23,2
06.02,58,1069,23,4
06.03,0,1069,23,4
06.04,104,1173,23,4
06.05,115,1288,23,4
06.06,163,1451,29,4
06.07,119,1570,37,5
06.08,64,1634,38,5
06.09,216,1850,38,5
06.10,38,1888,38,5
06.11,64,1952,38,5
06.12,0,1952,38,5
06.13,105,2057,363,7
06.14,0,2057,363,7
06.15,165,2222,369,7
06.16,67,2289,382,10
06.17,121,2410,396,14
06.18,0,2410,396,14
