日期,新增确诊,确诊总数,治愈数,死亡数
02.27,1,1,0,0
02.28,0,1,0,0
02.29,2,3,0,0
03.01,0,3,0,0
03.02,1,4,0,0
03.03,0,6,0,0
03.04,5,11,0,0
03.05,4,15,0,0
03.06,5,20,0,0
03.07,7,27,0,0
03.08,0,27,0,0
03.09,8,35,0,0
03.10,121,156,1,0
03.11,250,340,1,0
03.12,353,615,1,0
03.13,170,785,1,0
03.14,16,827,1,0
03.15,0,827,1,0
03.16,71,898,1,3
03.17,62,960,1,4
03.18,84,1044,1,4
03.19,73,1117,1,4
03.20,109,1226,1,9
03.21,29,1255,1,9
03.22,71,1326,1,13
03.23,124,1450,1,24
03.24,127,1577,1,24
03.25,131,1591,1,32
03.26,133,1724,1,34
03.27,153,1877,1,41
03.28,489,2366,1,65
03.29,489,2366,1,65
03.30,358,2724,73,72
03.31,270,2994,77,90
04.01,281,3275,78,104
04.02,267,3542,1172,123
04.03,319,3861,1287,139
04.04,407,4268,1379,161
04.05,293,4561,1429,179
04.06,280,4841,1488,187
04.07,332,5173,1615,203
04.08,408,5581,1762,218
04.09,249,5830,1883,237
04.10,184,6014,1929,247
04.11,177,6191,2111,260
04.12,178,6369,2291,273
04.13,144,6513,2403,285
04.14,178,6691,2689,299
04.15,185,6876,2925,309
04.16,198,7074,3203,321
04.17,194,7268,3571,336
04.18,169,7437,4031,346
04.19,143,7580,4328,355
04.20,131,7711,4499,364
04.21,180,7891,4889,370
04.22,217,8108,5276,384
04.23,163,8271,5573,394
04.24,137,8408,5715,403
04.25,235,8643,5858,418
04.26,130,8773,5994,422
04.27,123,8896,6148,427
04.28,153,9049,6313,434
04.29,157,9206,6558,443
04.30,150,9356,6741,452
05.01,153,9509,6741,452
05.02,96,9605,7084,475
05.03,0,9605,7084,475
05.04,263,9868,7284,493
05.05,151,10019,7492,503
05.06,117,10136,7689,506
05.07,145,10281,7689,506
05.08,135,10416,8124,522
05.09,101,10517,8291,526
05.10,110,10627,8415,529
05.11,84,10711,8526,533
05.12,78,10789,8526,533
05.13,76,10865,8861,533
05.14,46,10911,9003,537
05.15,78,10989,9157,537
05.16,67,11056,9305,543
05.17,69,11125,9425,547
05.18,41,11166,9499,548
05.19,76,11242,9614,551
05.20,73,11315,9734,554
05.21,65,11380,9841,561
05.22,48,11428,9962,561
05.23,59,11487,10034,561
05.24,71,11558,10098,562
05.25,28,11586,10162,563
05.26,41,11627,10242,563
05.27,52,11679,10304,565
05.28,33,11712,10378,568
05.29,81,11793,10438,568
05.30,40,11833,10525,571
05.31,36,11869,10560,574
06.01,30,11899,10610,576
06.02,35,11934,10687,580
06.03,0,11934,10687,580
06.04,77,12011,10818,582
06.05,64,12075,10853,586
06.06,49,12124,10921,587
06.07,24,12148,10955,589
06.08,14,12162,10992,593
06.09,0,12162,10992,593
06.10,39,12201,11049,593
06.11,34,12235,11155,593
06.12,64,12299,11193,594
06.13,40,12339,11235,597
06.14,54,12393,11268,597
06.15,24,12417,11290,598
06.16,33,12450,11325,598
06.17,44,12494,11385,598
06.18,0,12494,11385,598
