日期,新增确诊,确诊总数,治愈数,死亡数
03.22,1,1,0,0
03.23,0,1,0,0
03.24,8,9,0,0
03.25,5,14,0,0
03.26,0,14,0,0
03.27,4,18,0,0
03.28,5,23,0,0
03.29,7,30,0,0
03.30,3,33,0,0
03.31,0,33,0,0
04.01,11,44,0,0
04.02,0,44,0,0
04.03,1,45,0,0
04.04,3,48,0,0
04.05,0,48,0,0
04.06,4,52,0,0
04.07,0,52,0,0
04.08,0,52,0,0
04.09,1,53,0,0
04.10,0,53,0,0
04.11,0,53,3,0
04.12,0,53,4,0
04.13,1,54,7,0
04.14,0,54,8,0
04.15,1,55,12,0
04.16,0,55,12,0
04.17,0,55,20,0
04.18,0,55,20,0
04.19,0,55,28,0
04.20,0,55,38,0
04.21,3,58,38,0
04.22,3,61,45,0
04.23,2,63,46,0
04.24,11,74,46,0
04.25,1,75,46,0
04.26,0,75,46,0
04.27,4,79,46,0
04.28,0,79,52,0
04.29,0,79,52,0
04.30,2,81,52,0
05.01,2,83,52,0
05.02,2,85,52,0
05.03,3,88,52,0
05.04,1,89,55,0
05.05,8,97,55,0
05.06,1,98,55,0
05.07,2,100,55,0
05.08,1,101,55,0
05.09,13,114,55,0
05.10,2,116,55,0
05.11,5,121,55,0
05.12,1,122,55,0
05.13,4,126,55,0
05.14,13,139,55,0
05.15,21,160,63,0
05.16,43,203,63,0
05.17,24,227,63,0
05.18,21,248,63,0
05.19,12,260,63,0
05.20,4,264,65,0
05.21,-119,145,65,0
05.22,15,160,66,0
05.23,15,175,68,0
05.24,23,198,68,0
05.25,14,212,68,0
05.26,10,222,69,0
05.27,31,253,69,0
05.28,28,281,69,0
05.29,36,317,69,0
05.30,12,329,72,0
05.31,84,413,72,0
06.01,44,457,72,0
06.02,32,489,79,0
06.03,0,489,82,0
06.04,33,522,82,0
06.05,35,557,82,0
06.06,0,557,82,0
06.07,59,616,96,0
06.08,30,646,103,0
06.09,11,657,118,0
06.10,8,665,119,0
06.11,14,679,161,0
06.12,7,686,161,0
06.13,8,694,199,0
06.14,2,696,240,0
06.15,9,705,299,0
06.16,19,724,351,0
06.17,8,732,420,0
06.18,0,732,420,0
