日期,新增确诊,确诊总数,治愈数,死亡数
03.14,4,4,0,0
03.15,2,6,0,0
03.16,0,6,0,0
03.17,0,6,0,0
03.18,21,50,0,0
03.19,29,79,0,0
03.20,15,94,0,0
03.21,16,110,0,0
03.22,25,135,0,0
03.23,23,158,0,0
03.24,4,162,0,0
03.25,31,189,0,0
03.26,28,217,6,0
03.27,21,238,6,0
03.28,36,274,6,0
03.29,30,304,6,1
03.30,6,309,6,1
03.31,11,320,25,1
04.01,18,338,41,2
04.02,12,350,62,4
04.03,19,369,68,4
04.04,17,386,86,4
04.05,14,400,93,5
04.06,6,406,104,6
04.07,9,415,123,6
04.08,9,424,150,7
04.09,32,456,192,7
04.10,17,473,206,7
04.11,21,494,214,7
04.12,7,501,224,7
04.13,-21,480,231,8
04.14,3,483,248,8
04.15,9,492,260,8
04.16,1,493,272,9
04.17,9,502,286,9
04.18,6,508,294,9
04.19,9,517,298,10
04.20,11,528,298,10
04.21,7,535,313,11
04.22,8,543,324,12
04.23,6,549,337,12
04.24,8,557,354,12
04.25,6,563,369,12
04.26,33,596,370,14
04.27,10,606,375,15
04.28,14,620,386,15
04.29,5,625,394,15
04.30,5,630,412,15
05.01,13,643,417,17
05.02,5,648,435,17
05.03,4,652,440,17
05.04,3,655,442,17
05.05,2,657,447,17
05.06,13,670,468,17
05.07,3,673,486,17
05.08,11,684,492,17
05.09,10,694,506,18
05.10,8,702,513,18
05.11,5,707,517,19
05.12,4,711,523,19
05.13,6,717,532,19
05.14,2,719,545,19
05.15,5,724,547,19
05.16,8,732,553,19
05.17,1,733,558,19
05.18,1,734,564,20
05.19,3,737,569,20
05.20,1,738,579,20
05.21,8,746,588,20
05.22,3,749,594,20
05.23,4,753,603,20
05.24,11,764,616,22
05.25,5,769,618,22
05.26,18,787,629,22
05.27,2,789,638,22
05.28,14,803,650,22
05.29,8,811,654,22
05.30,5,816,680,22
05.31,5,821,682,22
06.01,2,823,685,22
06.02,2,825,689,23
06.03,1,826,691,23
06.04,2,828,698,23
06.05,4,832,709,23
06.06,2,834,721,23
06.07,11,845,726,23
06.08,0,845,730,23
06.09,0,845,738,23
06.10,1,846,754,23
06.11,1,847,758,23
06.12,0,847,772,23
06.13,0,847,780,23
06.14,0,847,784,23
06.15,1,848,788,23
06.16,0,848,792,23
06.17,1,849,801,24
06.18,0,849,801,24
