日期,新增确诊,确诊总数,治愈数,死亡数
03.20,1,1,0,0
03.21,0,1,0,0
03.22,0,1,0,0
03.23,0,1,0,0
03.24,2,3,0,0
03.25,2,3,0,0
03.26,0,3,0,0
03.27,0,3,0,0
03.28,0,3,0,0
03.29,2,5,0,0
03.30,0,5,0,0
03.31,2,7,0,0
04.01,0,7,0,0
04.02,0,7,0,0
04.03,1,8,0,0
04.04,1,9,0,0
04.05,0,9,0,0
04.06,0,9,0,0
04.07,0,9,0,0
04.08,1,10,2,0
04.09,0,10,2,0
04.10,1,11,2,0
04.11,0,11,2,0
04.12,7,18,2,0
04.13,0,18,2,0
04.14,5,23,2,0
04.15,0,23,2,0
04.16,4,27,5,0
04.17,0,27,5,0
04.18,6,33,8,0
04.19,0,33,8,0
04.20,0,33,8,0
04.21,0,33,8,0
04.22,0,33,8,0
04.23,0,33,8,0
04.24,7,40,8,0
04.25,0,40,8,0
04.26,6,46,15,0
04.27,0,46,15,0
04.28,0,46,15,0
04.29,6,52,19,2
04.30,0,52,19,2
05.01,21,73,33,5
05.02,0,73,33,5
05.03,44,117,39,10
05.04,0,117,39,10
05.05,0,117,39,10
05.06,53,170,43,17
05.07,0,170,43,17
05.08,83,253,50,27
05.09,7,260,50,28
05.10,62,322,53,31
05.11,0,322,53,31
05.12,0,322,53,31
05.13,50,372,78,42
05.14,0,372,78,42
05.15,27,399,83,46
05.16,29,428,88,48
05.17,46,474,111,50
05.18,29,503,117,53
05.19,16,519,117,53
05.20,26,545,139,56
05.21,20,565,177,57
05.22,23,588,186,58
05.23,23,611,196,58
05.24,37,648,204,60
05.25,27,675,215,60
05.26,12,687,244,61
05.27,13,700,303,62
05.28,15,715,359,64
05.29,11,726,413,65
05.30,33,759,444,65
05.31,0,759,470,65
06.01,19,778,491,65
06.02,12,790,539,66
06.03,13,803,562,66
06.04,17,820,590,66
06.05,8,828,633,66
06.06,8,836,657,68
06.07,0,836,672,69
06.08,1,837,672,69
06.09,2,839,685,70
06.10,5,844,706,71
06.11,2,846,706,72
06.12,2,848,706,72
06.13,0,848,711,72
06.14,0,848,718,72
06.15,2,850,720,73
06.16,0,850,720,73
06.17,3,853,720,74
06.18,0,853,720,74
