日期,新增确诊,确诊总数,治愈数,死亡数
03.12,3,4,0,0
03.13,2,6,0,0
03.14,5,13,0,0
03.15,7,20,0,0
03.16,8,28,0,0
03.17,36,64,1,0
03.18,14,78,1,0
03.19,44,122,1,0
03.20,14,136,1,0
03.21,24,160,1,0
03.22,24,160,1,0
03.23,37,194,2,0
03.24,41,235,2,0
03.25,30,265,16,0
03.26,25,290,18,0
03.27,39,329,18,1
03.28,43,372,28,1
03.29,52,424,30,3
03.30,57,481,30,3
03.31,51,532,30,3
04.01,39,571,31,3
04.02,92,663,33,5
04.03,73,736,43,7
04.04,34,770,43,7
04.05,52,822,57,7
04.06,11,833,62,8
04.07,20,853,87,8
04.08,28,881,114,9
04.09,40,921,138,10
04.10,16,937,149,12
04.11,30,967,173,13
04.12,46,1013,197,13
04.13,26,1039,211,14
04.14,28,1067,265,16
04.15,44,1111,297,17
04.16,48,1159,358,18
04.17,42,1201,402,19
04.18,47,1248,523,20
04.19,43,1291,545,20
04.20,48,1339,580,22
04.21,62,1401,609,24
04.22,72,1473,633,24
04.23,50,1523,659,24
04.24,73,1596,728,27
04.25,81,1677,803,28
04.26,69,1746,833,28
04.27,62,1808,848,29
04.28,59,1867,866,30
04.29,65,1932,900,30
04.30,134,2066,929,32
05.01,82,2148,977,33
05.02,125,2273,1010,33
05.03,0,2273,1010,33
05.04,234,2507,1071,39
05.05,112,2619,1111,40
05.06,163,2782,1135,40
05.07,102,2884,1185,42
05.08,145,3029,1218,43
05.09,146,3175,1267,44
05.10,138,3313,1325,45
05.11,79,3392,1359,46
05.12,146,3538,1430,47
05.13,180,3718,1500,48
05.14,142,3860,1572,49
05.15,184,4044,1666,52
05.16,239,4283,1791,55
05.17,189,4472,1925,60
05.18,351,4823,2019,61
05.19,218,5041,2164,64
05.20,230,5271,2419,67
05.21,335,5606,2581,70
05.22,322,5928,2874,74
05.23,374,6302,2936,77
05.24,359,6661,3064,81
05.25,452,7113,3145,87
05.26,289,7402,3220,91
05.27,372,7774,3255,98
05.28,442,8216,3287,113
05.29,460,8676,3297,120
05.30,251,8927,3317,127
05.31,355,9282,3386,131
06.01,210,9492,3402,139
06.02,517,10009,3427,158
06.03,0,10009,3427,158
06.04,1212,11221,3468,176
06.05,596,11817,3513,183
06.06,547,12364,3720,190
06.07,766,13130,4014,200
06.08,195,13325,4099,211
06.09,350,13675,4451,217
06.10,428,14103,5226,227
06.11,566,14669,5466,245
06.12,612,15281,5639,258
06.13,723,16004,6081,264
06.14,663,16667,6214,269
06.15,397,17064,6276,285
06.16,425,17489,6571,293
06.17,544,18033,6814,302
06.18,0,18033,6814,302
