日期,新增确诊,确诊总数,治愈数,死亡数
02.21,0,1,0,0
02.22,0,1,0,0
02.23,0,1,0,0
02.24,1,2,0,0
02.25,0,2,0,0
02.26,4,6,1,0
02.27,0,6,1,0
02.28,2,8,1,0
02.29,1,9,2,0
03.01,1,10,2,0
03.02,0,10,2,0
03.03,2,12,2,0
03.04,3,15,2,0
03.05,0,15,2,0
03.06,2,17,2,0
03.07,4,21,2,0
03.08,2,25,2,0
03.09,14,39,2,0
03.10,11,50,4,0
03.11,26,76,4,0
03.12,24,100,4,0
03.13,26,126,4,0
03.14,11,154,28,0
03.15,46,200,28,0
03.16,131,344,28,0
03.17,0,344,28,0
03.18,89,433,28,0
03.19,96,529,28,0
03.20,176,705,14,0
03.21,178,883,14,1
03.22,62,945,37,1
03.23,293,1238,37,1
03.24,585,1656,49,1
03.25,514,2170,58,5
03.26,496,2666,58,8
03.27,369,3035,79,10
03.28,425,3460,79,12
03.29,405,3865,89,12
03.30,728,4347,139,15
03.31,484,4831,163,17
04.01,760,5591,226,23
04.02,769,6360,289,33
04.03,670,7030,338,39
04.04,559,7589,427,44
04.05,429,8018,477,47
04.06,593,8611,585,55
04.07,395,9006,683,60
04.08,398,9404,801,72
04.09,351,9755,864,79
04.10,340,10095,1061,92
04.11,430,10525,1258,96
04.12,353,10878,1388,103
04.13,357,11235,1689,113
04.14,633,11868,2000,117
04.15,332,12200,2309,126
04.16,391,12591,2624,140
04.17,264,12855,2967,148
04.18,252,13107,3247,158
04.19,255,13362,3564,171
04.20,292,13654,3872,173
04.21,229,13883,4353,181
04.22,443,14326,4961,187
04.23,266,14592,5334,191
04.24,290,14882,5685,193
04.25,266,15148,6159,198
04.26,250,15398,6602,199
04.27,68,15466,6796,202
04.28,123,15589,7375,208
04.29,193,15782,7929,212
04.30,88,15870,8412,219
05.01,134,16004,8758,223
05.02,148,16152,9400,227
05.03,33,16185,9593,229
05.04,52,16237,9858,234
05.05,31,16268,10223,237
05.06,46,16314,10527,238
05.07,32,16346,10737,239
05.08,63,16409,11007,245
05.09,35,16444,11313,245
05.10,14,16458,11384,248
05.11,34,16492,11548,254
05.12,34,16526,11956,258
05.13,13,16539,12173,262
05.14,28,16567,12364,264
05.15,22,16589,12587,266
05.16,17,16606,12820,267
05.17,1,16607,12884,271
05.18,14,16621,13014,272
05.19,29,16650,13299,277
05.20,9,16659,13435,278
05.21,11,16670,13617,279
05.22,20,16690,13915,279
05.23,22,16712,14085,279
05.24,0,16712,14093,279
05.25,8,16720,14203,280
05.26,23,16743,14362,281
05.27,28,16771,14486,281
05.28,38,16809,14602,281
05.29,78,16887,14727,284
05.30,121,17008,14776,284
05.31,16,17024,14812,284
06.01,82,17106,14826,285
06.02,113,17219,14915,287
06.03,66,17285,14940,290
06.04,144,17429,14993,291
06.05,133,17562,15026,291
06.06,144,17706,15042,292
06.07,77,17783,15064,297
06.08,132,17915,15102,298
06.09,174,18089,15137,298
06.10,179,18268,15168,299
06.11,193,18461,15214,300
06.12,240,18701,15288,300
06.13,175,18876,15319,300
06.14,132,19008,15360,300
06.15,113,19121,15389,302
06.16,217,19338,15438,302
06.17,299,19637,15459,303
06.18,0,19637,15459,303
