日期,新增确诊,确诊总数,治愈数,死亡数
02.25,0,5,0,0
02.26,0,5,0,0
02.27,1,6,0,0
02.28,1,7,0,0
02.29,1,8,0,0
03.01,5,13,0,0
03.02,8,21,0,0
03.03,5,26,0,0
03.04,5,31,0,1
03.05,0,31,0,2
03.06,7,38,0,2
03.07,8,46,0,4
03.08,9,55,0,4
03.09,6,61,0,6
03.10,10,71,9,7
03.11,0,71,9,7
03.12,2,73,15,8
03.13,6,83,24,8
03.14,10,93,24,9
03.15,5,110,26,9
03.16,14,124,26,9
03.17,27,154,41,11
03.18,10,164,43,12
03.19,13,177,49,12
03.20,15,192,49,13
03.21,15,208,49,17
03.22,6,214,49,17
03.23,19,233,57,20
03.24,33,266,62,23
03.25,80,346,89,29
03.26,36,382,107,36
03.27,76,458,122,40
03.28,41,547,143,42
03.29,41,547,143,42
03.30,0,547,143,42
03.31,83,630,152,46
04.01,64,694,170,50
04.02,78,772,202,54
04.03,0,772,202,54
04.04,48,820,226,54
04.05,58,878,259,56
04.06,83,961,279,61
04.07,70,1031,344,64
04.08,91,1122,373,65
04.09,80,1202,452,69
04.10,30,1232,496,69
04.11,47,1279,550,70
04.12,39,1318,601,72
04.13,60,1378,717,78
04.14,0,1378,717,78
04.15,22,1400,766,78
04.16,15,1415,812,79
04.17,19,1434,856,80
04.18,48,1482,906,81
04.19,31,1513,953,82
04.20,26,1539,1009,82
04.21,35,1574,1043,82
04.22,28,1602,1096,83
04.23,75,1677,1171,83
04.24,0,1677,1171,83
04.25,31,1708,1204,86
04.26,55,1763,1224,86
04.27,57,1820,1263,87
04.28,27,1847,1286,88
04.29,81,1928,1319,90
04.30,75,2003,1346,92
05.01,82,2085,1375,93
05.02,68,2153,1414,94
05.03,66,2219,1473,95
05.04,77,2296,1490,97
05.05,50,2346,1544,98
05.06,85,2431,1571,102
05.07,49,2480,1602,102
05.08,63,2543,1626,102
05.09,60,2603,1661,104
05.10,164,2767,1734,109
05.11,51,2818,1790,110
05.12,95,2913,1903,112
05.13,119,3032,1966,115
05.14,0,3032,1966,115
05.15,111,3143,2028,115
05.16,50,3193,2089,117
05.17,67,3260,2126,121
05.18,144,3404,2218,123
05.19,150,3554,2310,127
05.20,57,3611,2366,131
05.21,113,3724,2438,134
05.22,153,3877,2483,140
05.23,87,3964,2532,147
05.24,308,4272,2585,152
05.25,360,4632,2811,163
05.26,0,4632,2811,163
05.27,216,4848,2852,169
05.28,609,5457,2971,179
05.29,416,5873,3044,185
05.30,0,5873,3044,185
05.31,566,6439,3156,205
06.01,429,6868,3275,215
06.02,519,7387,3508,235
06.03,0,7387,3508,235
06.04,1453,8840,4338,271
06.05,1006,9846,4573,285
06.06,0,9846,4573,285
06.07,2520,12366,5186,346
06.08,1115,13481,5572,370
06.09,787,14268,5831,392
06.10,0,14268,5831,392
06.11,2407,16675,6568,457
06.12,1095,17770,6868,496
06.13,0,17770,6868,496
06.14,2439,20209,8121,607
06.15,1106,21315,9271,652
06.16,0,21315,9271,652
06.17,2939,24254,10770,773
06.18,0,24254,10770,773
